order,Unit Nbr,Time Completed,Unit Weight (kg),position_id,Unit POD,from_yard,from_bay,from_col,from_layer
274,TCKU6029152,25-04-04 2253,-0.2778139099028405,1,1,1,30,9,2
275,EGSU9180569,25-04-04 2255,-0.2778139099028405,2,1,1,30,8,2
276,TIIU5433538,25-04-04 2257,-0.2778139099028405,3,1,1,30,7,2
277,BMOU5381302,25-04-04 2259,-0.2778139099028405,4,1,1,30,6,2
285,EGHU9651897,25-04-04 2343,-0.2778139099028405,1,1,1,30,9,1
286,EITU1336689,25-04-04 2346,-0.2778139099028405,2,1,1,30,8,1
287,EMCU1751554,25-04-04 2355,-0.2778139099028405,3,1,1,30,7,1
288,TEMU6241905,25-04-04 2357,-0.2778139099028405,4,1,1,30,6,1
289,TLLU8918750,25-04-05 0002,-0.2778139099028405,5,1,1,30,5,1
422,EMCU9985414,25-04-04 1506,-0.2778139099028405,6,1,2,24,9,3
423,TGBU7058714,25-04-04 1508,-0.2778139099028405,7,1,2,24,8,3
424,TGBU7294793,25-04-04 1511,-0.2778139099028405,8,1,2,24,7,3
425,EMCU8965497,25-04-04 1513,-0.2778139099028405,9,1,2,24,6,3
426,EGSU1424801,25-04-04 1516,-0.2778139099028405,10,1,2,24,5,3
431,FFAU4980272,25-04-04 1528,-0.2778139099028405,6,1,2,24,9,2
432,BSIU9974209,25-04-04 1532,-0.2778139099028405,7,1,2,24,8,2
433,MAGU5387582,25-04-04 1535,-0.2778139099028405,8,1,2,24,7,2
434,GCXU6047420,25-04-04 1536,-0.2778139099028405,9,1,2,24,6,2
435,EMCU9928862,25-04-04 1539,-0.2778139099028405,10,1,2,24,5,2
436,EGSU1386677,25-04-04 1541,-0.2778139099028405,11,1,2,24,4,2
440,TEMU6137151,25-04-04 1550,-0.2778139099028405,6,1,2,24,9,1
441,TCNU1746140,25-04-04 1552,-0.2778139099028405,7,1,2,24,8,1
442,TIIU5051290,25-04-04 1554,-0.2778139099028405,8,1,2,24,7,1
443,TRHU8101233,25-04-04 1557,-0.2778139099028405,9,1,2,24,6,1
444,EMCU8681700,25-04-04 1559,-0.2778139099028405,10,1,2,24,5,1
445,EGHU8491243,25-04-04 1601,-0.2778139099028405,11,1,2,24,4,1
481,TGBU4042674,25-04-05 0101,-0.2778139099028405,12,1,2,28,9,3
482,EGSU1716193,25-04-05 0104,-0.2778139099028405,13,1,2,28,8,3
483,TLLU8675584,25-04-05 0121,-0.2778139099028405,14,1,2,28,7,3
484,TLLU4033014,25-04-05 0123,-0.2778139099028405,15,1,2,28,6,3
486,TRHU5646522,25-04-05 0127,-0.2778139099028405,12,1,2,28,9,2
487,EGSU9565956,25-04-05 0129,-0.2778139099028405,13,1,2,28,8,2
488,EGHU9884008,25-04-05 0157,-0.2778139099028405,14,1,2,28,7,2
489,MAGU5383381,25-04-05 0201,-0.2778139099028405,15,1,2,28,6,2
490,TGBU7872891,25-04-05 0204,-0.2778139099028405,16,1,2,28,5,2
491,EITU1467077,25-04-05 0206,-0.2778139099028405,12,1,2,28,9,1
492,EMCU9978570,25-04-05 0212,-0.2778139099028405,13,1,2,28,8,1
493,TXGU5831725,25-04-05 0213,-0.2778139099028405,14,1,2,28,7,1
494,EITU9180191,25-04-05 0216,-0.2778139099028405,15,1,2,28,6,1
495,EGHU9727890,25-04-05 0218,-0.2778139099028405,16,1,2,28,5,1
498,TGBU6887794,25-04-05 0514,-0.2778139099028405,17,1,2,28,4,2
499,TCLU8902057,25-04-05 0516,-0.2778139099028405,17,1,2,28,4,1
507,EGSU3678554,25-04-04 1749,4.712503575672272,18,2,3,19,6,1
533,DRYU9853500,25-04-04 2332,0.8852627520685326,19,2,3,22,7,2
535,TGBU9772736,25-04-04 2338,0.8586477254787986,19,2,3,22,7,1
551,FFAU1594743,25-04-05 0011,1.0407388657302283,20,2,3,22,6,1
552,EMCU8486806,25-04-05 0014,0.791888367116216,21,2,3,22,5,1
570,EGSU9448137,25-04-05 0100,3.895200467479193,22,2,3,22,9,1
576,GCXU6047712,25-04-05 0121,4.762406750528024,23,2,3,32,8,1
640,EGSU9448353,25-04-04 1531,-0.2778139099028405,24,1,4,24,9,3
644,GAOU6394411,25-04-04 1538,-0.2778139099028405,25,1,4,24,6,3
645,TIIU4578049,25-04-04 1544,-0.2778139099028405,24,1,4,24,9,2
653,TIIU5410044,25-04-04 2008,-0.2778139099028405,26,1,4,24,4,2
664,TIIU6253675,25-04-05 0208,-0.2778139099028405,27,1,4,24,8,3
665,EGSU9291238,25-04-05 0210,-0.2778139099028405,28,1,4,24,7,3
666,EGSU9507097,25-04-05 0212,-0.2778139099028405,25,1,4,24,6,2
667,TGBU7271735,25-04-05 0214,-0.2778139099028405,27,1,4,24,8,2
668,BMOU5780853,25-04-05 0217,-0.2778139099028405,28,1,4,24,7,2
670,EGSU9691358,25-04-05 0221,-0.2778139099028405,24,1,4,24,9,1
671,BMOU5007870,25-04-05 0234,-0.2778139099028405,29,1,4,24,5,2
672,EITU1667141,25-04-05 0237,-0.2778139099028405,25,1,4,24,6,1
673,EGSU9208521,25-04-05 0242,-0.2778139099028405,27,1,4,24,8,1
674,TIIU4054530,25-04-05 0244,-0.2778139099028405,28,1,4,24,7,1
694,EISU8307729,25-04-05 0008,-0.2778139099028405,30,1,5,16,7,2
697,TGBU6942037,25-04-05 0015,-0.2778139099028405,31,1,5,16,6,2
704,TGBU6620982,25-04-05 0126,-0.2778139099028405,30,1,5,16,7,1
705,EMCU8271691,25-04-05 0128,-0.2778139099028405,31,1,5,16,6,1
707,TEMU6047654,25-04-05 0132,-0.2778139099028405,32,1,5,16,5,1
