order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-11 1413,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2139367,Y-TSCT-1B5302.3,1B5302.3,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-050586,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-210582,1B,53,2,3,V-BAOAC89_297,21,5,82,2
1,25-02-11 1610,UNIT_YARD_MOVE,LOAD,EXPRT,IPXU3265997,Y-TSCT-1B5308.5,1B5308.5,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-090506,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-250182,1B,53,8,5,V-BAOAC89_297,25,1,82,2
2,25-02-11 1612,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU3631606,Y-TSCT-1B5308.4,1B5308.4,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-150482,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-270182,1B,53,8,4,V-BAOAC89_297,27,1,82,2
3,25-02-11 1618,UNIT_YARD_MOVE,LOAD,EXPRT,UETU2663658,Y-TSCT-1B5307.5,1B5307.5,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-210106,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-250282,1B,53,7,5,V-BAOAC89_297,25,2,82,2
4,25-02-11 1619,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU2084282,Y-TSCT-1B5307.4,1B5307.4,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-230208,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-270282,1B,53,7,4,V-BAOAC89_297,27,2,82,2
5,25-02-11 1624,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2556488,Y-TSCT-1B5306.5,1B5306.5,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-130888,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-250482,1B,53,6,5,V-BAOAC89_297,25,4,82,2
6,25-02-11 1627,UNIT_YARD_MOVE,LOAD,EXPRT,CSNU1336643,Y-TSCT-1B5306.4,1B5306.4,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-230608,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-270482,1B,53,6,4,V-BAOAC89_297,27,4,82,2
7,25-02-11 1629,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU4850390,Y-TSCT-1B5305.5,1B5305.5,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-010082,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-250682,1B,53,5,5,V-BAOAC89_297,25,6,82,2
8,25-02-11 1631,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU1580328,Y-TSCT-1B5305.4,1B5305.4,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-170508,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-270682,1B,53,5,4,V-BAOAC89_297,27,6,82,2
9,25-02-11 1632,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5115810,Y-TSCT-1B5304.5,1B5304.5,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-150088,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-250882,1B,53,4,5,V-BAOAC89_297,25,8,82,2
10,25-02-11 1634,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU2992257,Y-TSCT-1B5304.4,1B5304.4,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-090282,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-270882,1B,53,4,4,V-BAOAC89_297,27,8,82,2
11,25-02-11 1636,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU2979280,Y-TSCT-1B5309.4,1B5309.4,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-150784,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-250784,1B,53,9,4,V-BAOAC89_297,25,7,84,2
12,25-02-11 1637,UNIT_YARD_MOVE,LOAD,EXPRT,MAGU2297227,Y-TSCT-1B5303.4,1B5303.4,Y-TSCT-Q03,1BA53,R313,V-BAOACH79_11E-110308,BAOAC89_297,CNQHD,CNTSN,NOM86,NOM20,22G1,2300,V-BAOAC89_297-270784,1B,53,3,4,V-BAOAC89_297,27,7,84,2
