order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-26 1705,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2397030,Y-TSCT-2A3910.5,2A3910.5,Y-TSCT-Q05,2AA39,R321,T-TJCB9578-3 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22407,V-BEIJ_0C4-070508,2A,39,10,5,V-BEIJ_0C4,7,5,8,2
1,25-02-26 1723,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU2389324,Y-TSCT-2A3901.1,2A3901.1,Y-TSCT-Q05,2AA39,R322,T-TJC19739-3 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,11526,V-BEIJ_0C4-070608,2A,39,1,1,V-BEIJ_0C4,7,6,8,2
2,25-02-26 1726,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU2390290,Y-TSCT-2A3910.4,2A3910.4,Y-TSCT-Q05,2AA39,R322,T-TJCK6617-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22527,V-BEIJ_0C4-050002,2A,39,10,4,V-BEIJ_0C4,5,0,2,2
3,25-02-26 1728,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU2360309,Y-TSCT-2A3910.3,2A3910.3,Y-TSCT-Q05,2AA39,R322,T-TJCC3871-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22407,V-BEIJ_0C4-070002,2A,39,10,3,V-BEIJ_0C4,7,0,2,2
4,25-02-26 1745,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2274530,Y-TSCT-2A3910.2,2A3910.2,Y-TSCT-Q05,2AA39,R322,T-TJCA5065-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22447,V-BEIJ_0C4-050306,2A,39,10,2,V-BEIJ_0C4,5,3,6,2
5,25-02-26 1746,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2272753,Y-TSCT-2A3910.1,2A3910.1,Y-TSCT-Q05,2AA39,R322,T-TJCC1095-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22447,V-BEIJ_0C4-070306,2A,39,10,1,V-BEIJ_0C4,7,3,6,2
6,25-02-26 1814,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU2360910,Y-TSCT-2A3908.4,2A3908.4,Y-TSCT-Q04,2AA39,R322,T-TJCD0120-3 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-BEIJ_0C4-210302,2A,39,8,4,V-BEIJ_0C4,21,3,2,2
7,25-02-26 1816,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2400242,Y-TSCT-2A3908.3,2A3908.3,Y-TSCT-Q04,2AA39,R322,T-TJC97625-3 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,30140,V-BEIJ_0C4-230302,2A,39,8,3,V-BEIJ_0C4,23,3,2,2
8,25-02-26 1818,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU2391300,Y-TSCT-2A3908.2,2A3908.2,Y-TSCT-Q04,2AA39,R322,T-TJC09160-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-BEIJ_0C4-210202,2A,39,8,2,V-BEIJ_0C4,21,2,2,2
9,25-02-26 1819,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2248823,Y-TSCT-2A3908.1,2A3908.1,Y-TSCT-Q04,2AA39,R322,T-HBJY3522-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,30185,V-BEIJ_0C4-230202,2A,39,8,1,V-BEIJ_0C4,23,2,2,2
10,25-02-26 1828,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2307588,Y-TSCT-2A3911.4,2A3911.4,Y-TSCT-Q04,2AA39,R322,T-TJCK6067-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22492,V-BEIJ_0C4-210506,2A,39,11,4,V-BEIJ_0C4,21,5,6,2
11,25-02-26 1830,UNIT_YARD_MOVE,LOAD,EXPRT,SLPU2005470,Y-TSCT-2A3911.3,2A3911.3,Y-TSCT-Q04,2AA39,R322,T-TJCA0697-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22437,V-BEIJ_0C4-230506,2A,39,11,3,V-BEIJ_0C4,23,5,6,2
12,25-02-26 1831,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2284311,Y-TSCT-2A3911.2,2A3911.2,Y-TSCT-Q04,2AA39,R322,T-TJCK6088-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22447,V-BEIJ_0C4-210606,2A,39,11,2,V-BEIJ_0C4,21,6,6,2
13,25-02-26 1833,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU2361183,Y-TSCT-2A3911.1,2A3911.1,Y-TSCT-Q04,2AA39,R322,T-TJC91060-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22407,V-BEIJ_0C4-230606,2A,39,11,1,V-BEIJ_0C4,23,6,6,2
14,25-02-26 1836,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU2120427,Y-TSCT-2A3907.2,2A3907.2,Y-TSCT-Q05,2AA39,R322,T-TJC91060-2 (TQ),BEIJ_0C4,PHMNL,CNTSN,NOM86,NOM20,22G1,22407,V-BEIJ_0C4-130306,2A,39,7,2,V-BEIJ_0C4,13,3,6,2
