order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-21 1351,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU7994793,Y-TSCT-1A1809.5,1A1809.5,Y-TSCT-Q02,1AA18,R312,T-TJC59263-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,31350,V-BOL_007-500702,1A,18,9,5,V-BOL_007,50,7,2,11
1,25-02-21 1353,UNIT_YARD_MOVE,LOAD,EXPRT,SLVU4723410,Y-TSCT-1A1808.5,1A1808.5,Y-TSCT-Q02,1AA18,R312,T-TJC31132-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,31540,V-BOL_007-500502,1A,18,8,5,V-BOL_007,50,5,2,11
2,25-02-21 1401,UNIT_YARD_MOVE,LOAD,EXPRT,CIPU5146504,Y-TSCT-1A1809.4,1A1809.4,Y-TSCT-Q02,1AA18,R312,T-TJCK2805-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,31000,V-BOL_007-500704,1A,18,9,4,V-BOL_007,50,7,4,11
3,25-02-21 1404,UNIT_YARD_MOVE,LOAD,EXPRT,ESHU7269256,Y-TSCT-1A1808.4,1A1808.4,Y-TSCT-Q02,1AA18,R312,T-TJCD1165-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,32080,V-BOL_007-500504,1A,18,8,4,V-BOL_007,50,5,4,11
4,25-02-21 1413,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU4587381,Y-TSCT-1A1809.3,1A1809.3,Y-TSCT-Q02,1AA18,R312,T-TJC93183-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,32096,V-BOL_007-500706,1A,18,9,3,V-BOL_007,50,7,6,11
5,25-02-21 1416,UNIT_YARD_MOVE,LOAD,EXPRT,SLVU4979150,Y-TSCT-1A1808.3,1A1808.3,Y-TSCT-Q02,1AA18,R312,T-TJCD1915-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,32096,V-BOL_007-500506,1A,18,8,3,V-BOL_007,50,5,6,11
6,25-02-21 1423,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU4643886,Y-TSCT-1A1809.2,1A1809.2,Y-TSCT-Q02,1AA18,R312,T-TJCG8398-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,31859,V-BOL_007-500708,1A,18,9,2,V-BOL_007,50,7,8,11
7,25-02-21 1430,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4607828,Y-TSCT-1A1808.2,1A1808.2,Y-TSCT-Q02,1AA18,R312,T-TJC91192-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,30512,V-BOL_007-500508,1A,18,8,2,V-BOL_007,50,5,8,11
8,25-02-21 1440,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4406931,Y-TSCT-1A1809.1,1A1809.1,Y-TSCT-Q02,1AA18,R312,T-TJC05192-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,32008,V-BOL_007-500710,1A,18,9,1,V-BOL_007,50,7,10,11
9,25-02-21 1442,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU4530909,Y-TSCT-1A1808.1,1A1808.1,Y-TSCT-Q02,1AA18,R312,T-TJCF1581-2 (TQ),BOL_007,AEJEA,CNTSN,NOM96,NOM40,45G1,30080,V-BOL_007-500510,1A,18,8,1,V-BOL_007,50,5,10,11
