order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-26 0207,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU3942326,Y-TSCT-1A1509.3,1A1509.3,Y-TSCT-Q06,1AA15,R312,T-TJCG1999-3 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,22460,V-CHANGC5_000-090310,1A,15,9,3,V-CHANGC5_000,9,3,10,19
1,25-04-26 0404,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU6894163,Y-TSCT-1A1511.1,1A1511.1,Y-TSCT-Q06,1AA15,R312,T-TJCM5655-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,22440,V-CHANGC5_000-090710,1A,15,11,1,V-CHANGC5_000,9,7,10,19
2,25-04-26 0406,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2094176,Y-TSCT-1A1504.2,1A1504.2,Y-TSCT-Q06,1AA15,R312,T-TJC56969-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,22280,V-CHANGC5_000-110710,1A,15,4,2,V-CHANGC5_000,11,7,10,19
3,25-04-26 0407,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3232342,Y-TSCT-1A1508.5,1A1508.5,Y-TSCT-Q03,1AA15,R312,T-HBJ0G160-3 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,29980,V-CHANGC5_000-410104,1A,15,8,5,V-CHANGC5_000,41,1,4,19
4,25-04-26 0409,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2092173,Y-TSCT-1A1507.5,1A1507.5,Y-TSCT-Q03,1AA15,R312,T-TJCB0370-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,28520,V-CHANGC5_000-430104,1A,15,7,5,V-CHANGC5_000,43,1,4,19
5,25-04-26 0418,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2098696,Y-TSCT-1A1510.2,1A1510.2,Y-TSCT-Q06,1AA15,R312,T-TJCK8366-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,23190,V-CHANGC5_000-090714,1A,15,10,2,V-CHANGC5_000,9,7,14,19
6,25-04-26 0420,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2094216,Y-TSCT-1A1503.2,1A1503.2,Y-TSCT-Q06,1AA15,R312,T-TJCK2312-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,21232,V-CHANGC5_000-110714,1A,15,3,2,V-CHANGC5_000,11,7,14,19
7,25-04-26 0422,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2098130,Y-TSCT-1A1510.1,1A1510.1,Y-TSCT-Q06,1AA15,R312,T-SDUU3262-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,18280,V-CHANGC5_000-090716,1A,15,10,1,V-CHANGC5_000,9,7,16,19
8,25-04-26 0423,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU3343466,Y-TSCT-1A1509.2,1A1509.2,Y-TSCT-Q06,1AA15,R312,T-TJCH8520-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,22360,V-CHANGC5_000-110718,1A,15,9,2,V-CHANGC5_000,11,7,18,19
9,25-04-26 0427,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2099727,Y-TSCT-1A1506.1,1A1506.1,Y-TSCT-Q06,1AA15,R312,T-TJCG1208-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,22640,V-CHANGC5_000-090506,1A,15,6,1,V-CHANGC5_000,9,5,6,19
10,25-04-26 0429,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2095104,Y-TSCT-1A1505.3,1A1505.3,Y-TSCT-Q06,1AA15,R312,T-SDUU0305-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,21389,V-CHANGC5_000-090508,1A,15,5,3,V-CHANGC5_000,9,5,8,19
11,25-04-26 0430,UNIT_YARD_MOVE,LOAD,EXPRT,MAGU2283012,Y-TSCT-1A1511.1,1A1511.1,Y-TSCT-Q06,1AA15,R312,T-TJC75085-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,23205,V-CHANGC5_000-110508,1A,15,11,1,V-CHANGC5_000,11,5,8,19
12,25-04-26 0432,UNIT_YARD_MOVE,LOAD,EXPRT,EISU2272800,Y-TSCT-1A1509.1,1A1509.1,Y-TSCT-Q06,1AA15,R312,T-TJCK8366-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,22380,V-CHANGC5_000-090512,1A,15,9,1,V-CHANGC5_000,9,5,12,19
13,25-04-26 0434,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0605741,Y-TSCT-1A1505.2,1A1505.2,Y-TSCT-Q06,1AA15,R312,T-TJCG1215-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,24037,V-CHANGC5_000-110512,1A,15,5,2,V-CHANGC5_000,11,5,12,19
14,25-04-26 0436,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2094941,Y-TSCT-1A1508.4,1A1508.4,Y-TSCT-Q03,1AA15,R312,T-TJCD3580-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,29176,V-CHANGC5_000-410106,1A,15,8,4,V-CHANGC5_000,41,1,6,19
15,25-04-26 0438,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU3634380,Y-TSCT-1A1507.4,1A1507.4,Y-TSCT-Q03,1AA15,R312,T-TJCA1772-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,26905,V-CHANGC5_000-430106,1A,15,7,4,V-CHANGC5_000,43,1,6,19
16,25-04-26 0443,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU3970931,Y-TSCT-1A1508.3,1A1508.3,Y-TSCT-Q03,1AA15,R312,T-TJCG1035-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,29264,V-CHANGC5_000-410108,1A,15,8,3,V-CHANGC5_000,41,1,8,19
17,25-04-26 0445,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0474507,Y-TSCT-1A1507.3,1A1507.3,Y-TSCT-Q03,1AA15,R312,T-TJCD3506-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,26258,V-CHANGC5_000-430108,1A,15,7,3,V-CHANGC5_000,43,1,8,19
18,25-04-26 0447,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2090205,Y-TSCT-1A1508.2,1A1508.2,Y-TSCT-Q03,1AA15,R312,T-TJCE2976-2 (TQ),CHANGC5_000,SGSIN,CNTSN,NOM86,NOM20,22G1,28172,V-CHANGC5_000-410110,1A,15,8,2,V-CHANGC5_000,41,1,10,19
