order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-10 2214,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU1704947,Y-TSCT-1B4001.1,1B4001.1,Y-TSCT-Q11,1BA40,R313,T-TJA02975D-2 (TQ),CHANGL4_003,BEANR,CNTSN,NOM96,NOM40,45G1,14958,V-CHANGL4_003-261272,1B,40,1,1,V-CHANGL4_003,26,12,72,7
1,25-04-11 0540,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU6716702,Y-TSCT-1B5209.3,1B5209.3,Y-TSCT-Q12,1BA52,R313,T-TJC55125-2 (TQ),CHANGL4_003,SGSIN,CNTSN,NOM96,NOM40,45G1,26690,V-CHANGL4_003-060714,1B,52,9,3,V-CHANGL4_003,6,7,14,16
2,25-04-11 0543,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU4619235,Y-TSCT-1B5209.2,1B5209.2,Y-TSCT-Q12,1BA52,R313,T-TJCK6862-2 (TQ),CHANGL4_003,SGSIN,CNTSN,NOM96,NOM40,45G1,28700,V-CHANGL4_003-060514,1B,52,9,2,V-CHANGL4_003,6,5,14,16
3,25-04-11 0548,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1750826,Y-TSCT-1B5209.1,1B5209.1,Y-TSCT-Q12,1BA52,R313,T-TJCB0757-2 (TQ),CHANGL4_003,SGSIN,CNTSN,NOM96,NOM40,45G1,28940,V-CHANGL4_003-060314,1B,52,9,1,V-CHANGL4_003,6,3,14,1
4,25-04-11 0606,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU5345568,Y-TSCT-1B5208.3,1B5208.3,Y-TSCT-Q07,1BA52,R313,T-TJC67153-2 (TQ),CHANGL4_003,SGSIN,CNTSN,NOM96,NOM40,45G1,14906,V-CHANGL4_003-620272,1B,52,8,3,V-CHANGL4_003,62,2,72,16
5,25-04-11 0609,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU9149718,Y-TSCT-1B5208.2,1B5208.2,Y-TSCT-Q07,1BA52,R313,T-TJCE2830-2 (TQ),CHANGL4_003,SGSIN,CNTSN,NOM96,NOM40,45G1,14220,V-CHANGL4_003-620472,1B,52,8,2,V-CHANGL4_003,62,4,72,16
6,25-04-11 0615,UNIT_YARD_MOVE,LOAD,EXPRT,EITU9134811,Y-TSCT-1B5208.1,1B5208.1,Y-TSCT-Q07,1BA52,R313,T-TJC57232-2 (TQ),CHANGL4_003,SGSIN,CNTSN,NOM96,NOM40,45G1,12289,V-CHANGL4_003-620474,1B,52,8,1,V-CHANGL4_003,62,4,74,1
7,25-04-11 0659,UNIT_YARD_MOVE,LOAD,EXPRT,EISU8482167,Y-TSCT-1B5210.2,1B5210.2,Y-TSCT-Q07,1BA52,R313,T-TJCK2192-2 (TQ),CHANGL4_003,SGSIN,CNTSN,NOM96,NOM40,45G1,10284,V-CHANGL4_003-620676,1B,52,10,2,V-CHANGL4_003,62,6,76,16
8,25-04-11 0701,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU1683070,Y-TSCT-1B5210.1,1B5210.1,Y-TSCT-Q07,1BA52,R313,T-TJCK6296-2 (TQ),CHANGL4_003,SGSIN,CNTSN,NOM96,NOM40,45G1,10204,V-CHANGL4_003-620876,1B,52,10,1,V-CHANGL4_003,62,8,76,1
9,25-04-11 0711,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU5135243,Y-TSCT-1B5207.4,1B5207.4,Y-TSCT-Q07,1BA52,R313,T-TJC80961-2 (TQ),CHANGL4_003,SGSIN,CNTSN,NOM96,NOM40,45G1,9581,V-CHANGL4_003-620678,1B,52,7,4,V-CHANGL4_003,62,6,78,13
