order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-01 0234,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2769027,Y-TSCT-1A1308.2,1A1308.2,Y-TSCT-Q02,1AA13,R312,T-TJC91582-3 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,22110,V-CHANGY1_00E-451004,1A,13,8,2,V-CHANGY1_00E,45,10,4,12
1,25-03-01 0236,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2770413,Y-TSCT-1A1308.1,1A1308.1,Y-TSCT-Q02,1AA13,R312,T-TJC55580-2 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,21040,V-CHANGY1_00E-471004,1A,13,8,1,V-CHANGY1_00E,47,10,4,12
2,25-03-01 0248,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU1660238,Y-TSCT-1A1310.5,1A1310.5,Y-TSCT-Q02,1AA13,R312,T-TJCD0075-3 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,29780,V-CHANGY1_00E-451404,1A,13,10,5,V-CHANGY1_00E,45,14,4,12
3,25-03-01 0249,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU1874670,Y-TSCT-1A1310.4,1A1310.4,Y-TSCT-Q02,1AA13,R312,T-TJC67829-2 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,29813,V-CHANGY1_00E-471404,1A,13,10,4,V-CHANGY1_00E,47,14,4,12
4,25-03-01 0253,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1493496,Y-TSCT-1A1310.3,1A1310.3,Y-TSCT-Q02,1AA13,R312,T-TJC36298-2 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,29700,V-CHANGY1_00E-451206,1A,13,10,3,V-CHANGY1_00E,45,12,6,12
5,25-03-01 0254,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1248070,Y-TSCT-1A1310.2,1A1310.2,Y-TSCT-Q02,1AA13,R312,T-TJCC9825-2 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,30080,V-CHANGY1_00E-471206,1A,13,10,2,V-CHANGY1_00E,47,12,6,12
6,25-03-01 0256,UNIT_YARD_MOVE,LOAD,EXPRT,AMFU3093042,Y-TSCT-1A1310.1,1A1310.1,Y-TSCT-Q02,1AA13,R312,T-TJC55850-2 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,27070,V-CHANGY1_00E-451008,1A,13,10,1,V-CHANGY1_00E,45,10,8,12
7,25-03-01 0258,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0430617,Y-TSCT-1A1306.1,1A1306.1,Y-TSCT-Q02,1AA13,R312,T-TJCJ2011-3 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,27215,V-CHANGY1_00E-471008,1A,13,6,1,V-CHANGY1_00E,47,10,8,12
8,25-03-01 0300,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5138203,Y-TSCT-1A1309.2,1A1309.2,Y-TSCT-Q02,1AA13,R312,T-TJC85018-3 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,18445,V-CHANGY1_00E-451408,1A,13,9,2,V-CHANGY1_00E,45,14,8,12
9,25-03-01 0301,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU1570288,Y-TSCT-1A1309.1,1A1309.1,Y-TSCT-Q02,1AA13,R312,T-TJCE2088-2 (TQ),CHANGY1_00E,SGSIN,CNTSN,NOM86,NOM20,22G1,18515,V-CHANGY1_00E-471408,1A,13,9,1,V-CHANGY1_00E,47,14,8,12
