order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-21 2112,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2093842,Y-TSCT-1A3111.4,1A3111.4,Y-TSCT-Q05,1AA31,R311,T-HBEV1463-3 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,28650,V-CHANGY1_00F-130002,1A,31,11,4,V-CHANGY1_00F,13,0,2,14
1,25-04-21 1723,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU1795917,Y-TSCT-1A4408.5,1A4408.5,Y-TSCT-Q05,1AA44,R311,T-TJCH8832-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,31610,V-CHANGY1_00F-300116,1A,44,8,5,V-CHANGY1_00F,30,1,16,14
2,25-04-21 1729,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1393104,Y-TSCT-1A4407.5,1A4407.5,Y-TSCT-Q05,1AA44,R311,T-TJCG1396-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,19880,V-CHANGY1_00F-300016,1A,44,7,5,V-CHANGY1_00F,30,0,16,14
3,25-04-21 1731,UNIT_YARD_MOVE,LOAD,EXPRT,CMAU6479702,Y-TSCT-1A4408.4,1A4408.4,Y-TSCT-Q05,1AA44,R311,T-TJCK0390-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,31689,V-CHANGY1_00F-300216,1A,44,8,4,V-CHANGY1_00F,30,2,16,14
4,25-04-21 1732,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5621096,Y-TSCT-1A4406.3,1A4406.3,Y-TSCT-Q05,1AA44,R311,T-TJC80288-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,26711,V-CHANGY1_00F-300182,1A,44,6,3,V-CHANGY1_00F,30,1,82,14
5,25-04-21 1735,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1409812,Y-TSCT-1A4406.2,1A4406.2,Y-TSCT-Q05,1AA44,R311,T-TJCH8550-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,29287,V-CHANGY1_00F-300082,1A,44,6,2,V-CHANGY1_00F,30,0,82,14
6,25-04-21 1748,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5647589,Y-TSCT-1A4406.1,1A4406.1,Y-TSCT-Q05,1AA44,R311,T-TJC79698-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,27306,V-CHANGY1_00F-300282,1A,44,6,1,V-CHANGY1_00F,30,2,82,14
7,25-04-21 1754,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU5630797,Y-TSCT-1A4402.4,1A4402.4,Y-TSCT-Q05,1AA44,R311,T-TJCB5220-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,18129,V-CHANGY1_00F-300184,1A,44,2,4,V-CHANGY1_00F,30,1,84,14
8,25-04-21 1756,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5761185,Y-TSCT-1A4402.3,1A4402.3,Y-TSCT-Q05,1AA44,R311,T-TJCB1026-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,18320,V-CHANGY1_00F-300084,1A,44,2,3,V-CHANGY1_00F,30,0,84,14
9,25-04-21 1758,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1711490,Y-TSCT-1A4402.2,1A4402.2,Y-TSCT-Q05,1AA44,R311,T-TJCK6022-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,18118,V-CHANGY1_00F-300284,1A,44,2,2,V-CHANGY1_00F,30,2,84,14
10,25-04-22 0524,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU4889282,Y-TSCT-1A4405.2,1A4405.2,Y-TSCT-Q03,1AA44,R311,T-TJCX1159-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,14330,V-CHANGY1_00F-300186,1A,44,5,2,V-CHANGY1_00F,30,1,86,14
11,25-04-22 0526,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1878213,Y-TSCT-1A4402.1,1A4402.1,Y-TSCT-Q03,1AA44,R311,T-TJCH1927-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,16524,V-CHANGY1_00F-300086,1A,44,2,1,V-CHANGY1_00F,30,0,86,14
12,25-04-22 0529,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1094823,Y-TSCT-1A4405.1,1A4405.1,Y-TSCT-Q03,1AA44,R311,T-TJCJ0338-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,12445,V-CHANGY1_00F-300286,1A,44,5,1,V-CHANGY1_00F,30,2,86,14
13,25-04-22 0531,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU9671772,Y-TSCT-1A4401.3,1A4401.3,Y-TSCT-Q03,1AA44,R311,T-TJCK2568-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,12430,V-CHANGY1_00F-300188,1A,44,1,3,V-CHANGY1_00F,30,1,88,14
14,25-04-22 0533,UNIT_YARD_MOVE,LOAD,EXPRT,FDCU0578940,Y-TSCT-1A4401.2,1A4401.2,Y-TSCT-Q03,1AA44,R311,T-TJC85027-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,10220,V-CHANGY1_00F-300088,1A,44,1,2,V-CHANGY1_00F,30,0,88,14
15,25-04-22 0539,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1408768,Y-TSCT-1A4401.1,1A4401.1,Y-TSCT-Q03,1AA44,R311,T-TJCK6336-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,9949,V-CHANGY1_00F-300288,1A,44,1,1,V-CHANGY1_00F,30,2,88,14
16,25-04-22 0615,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU1797849,Y-TSCT-1A4404.5,1A4404.5,Y-TSCT-Q01,1AA44,R311,T-TJCE2332-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,22614,V-CHANGY1_00F-541582,1A,44,4,5,V-CHANGY1_00F,54,15,82,14
17,25-04-22 0620,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0128364,Y-TSCT-1A4404.3,1A4404.3,Y-TSCT-Q01,1AA44,R311,T-TJCJ2599-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,23466,V-CHANGY1_00F-541584,1A,44,4,3,V-CHANGY1_00F,54,15,84,14
18,25-04-22 0637,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU3685837,Y-TSCT-1A4407.3,1A4407.3,Y-TSCT-Q01,1AA44,R311,T-TJCE2055-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,20008,V-CHANGY1_00F-541586,1A,44,7,3,V-CHANGY1_00F,54,15,86,14
19,25-04-22 0650,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU3089825,Y-TSCT-1A4404.2,1A4404.2,Y-TSCT-Q01,1AA44,R312,T-TJCE2229-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,23832,V-CHANGY1_00F-541386,1A,44,4,2,V-CHANGY1_00F,54,13,86,14
20,25-04-22 0708,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1223933,Y-TSCT-1A4408.3,1A4408.3,Y-TSCT-Q04,1AA44,R312,T-TJCK8058-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,30900,V-CHANGY1_00F-100414,1A,44,8,3,V-CHANGY1_00F,10,4,14,14
21,25-04-22 0716,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU4260526,Y-TSCT-1A4408.2,1A4408.2,Y-TSCT-Q04,1AA44,R312,T-TJCA9739-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,30960,V-CHANGY1_00F-100316,1A,44,8,2,V-CHANGY1_00F,10,3,16,14
22,25-04-22 0717,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1262552,Y-TSCT-1A4408.1,1A4408.1,Y-TSCT-Q04,1AA44,R312,T-TJCC1800-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,31600,V-CHANGY1_00F-100416,1A,44,8,1,V-CHANGY1_00F,10,4,16,14
23,25-04-22 0942,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5539964,Y-TSCT-1A4403.5,1A4403.5,Y-TSCT-Q03,1AA44,R312,T-TJC55866-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,19090,V-CHANGY1_00F-541588,1A,44,3,5,V-CHANGY1_00F,54,15,88,14
24,25-04-22 0945,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU1422261,Y-TSCT-1A4407.1,1A4407.1,Y-TSCT-Q03,1AA44,R312,T-TJCX1870-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,22693,V-CHANGY1_00F-541388,1A,44,7,1,V-CHANGY1_00F,54,13,88,14
25,25-04-22 0947,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU9412104,Y-TSCT-1A4403.4,1A4403.4,Y-TSCT-Q03,1AA44,R312,T-TJCC5970-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,16680,V-CHANGY1_00F-541188,1A,44,3,4,V-CHANGY1_00F,54,11,88,14
26,25-04-22 0954,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU4568261,Y-TSCT-1A4406.1,1A4406.1,Y-TSCT-Q03,1AA44,R311,T-TJCK6323-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,21700,V-CHANGY1_00F-541682,1A,44,6,1,V-CHANGY1_00F,54,16,82,14
27,25-04-22 0956,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU4513325,Y-TSCT-1A4405.1,1A4405.1,Y-TSCT-Q03,1AA44,R311,T-TJCJ2599-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,22163,V-CHANGY1_00F-541684,1A,44,5,1,V-CHANGY1_00F,54,16,84,14
28,25-04-22 0958,UNIT_YARD_MOVE,LOAD,EXPRT,FDCU0351469,Y-TSCT-1A4404.1,1A4404.1,Y-TSCT-Q03,1AA44,R311,T-TJCG1612-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,22796,V-CHANGY1_00F-541486,1A,44,4,1,V-CHANGY1_00F,54,14,86,14
29,25-04-22 1006,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU1408540,Y-TSCT-1A4408.1,1A4408.1,Y-TSCT-Q03,1AA44,R311,T-TJCB1306-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,21721,V-CHANGY1_00F-541686,1A,44,8,1,V-CHANGY1_00F,54,16,86,14
30,25-04-22 1008,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5067718,Y-TSCT-1A4403.3,1A4403.3,Y-TSCT-Q03,1AA44,R311,T-TJCE7163-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,14960,V-CHANGY1_00F-541288,1A,44,3,3,V-CHANGY1_00F,54,12,88,14
31,25-04-22 1010,UNIT_YARD_MOVE,LOAD,EXPRT,FDCU0517755,Y-TSCT-1A4403.2,1A4403.2,Y-TSCT-Q03,1AA44,R311,T-TJCK6212-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,15860,V-CHANGY1_00F-541488,1A,44,3,2,V-CHANGY1_00F,54,14,88,14
32,25-04-22 1012,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0486250,Y-TSCT-1A4403.1,1A4403.1,Y-TSCT-Q03,1AA44,R311,T-TJC75812-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM96,NOM40,45G1,11050,V-CHANGY1_00F-541688,1A,44,3,1,V-CHANGY1_00F,54,16,88,14
33,25-04-21 1404,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU3415415,Y-TSCT-1A4708.5,1A4708.5,Y-TSCT-Q05,1AA47,R312,T-TJCK2301-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,29640,V-CHANGY1_00F-290102,1A,47,8,5,V-CHANGY1_00F,29,1,2,14
34,25-04-21 1406,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU2461459,Y-TSCT-1A4708.4,1A4708.4,Y-TSCT-Q05,1AA47,R312,T-TJCC1251-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,27400,V-CHANGY1_00F-310102,1A,47,8,4,V-CHANGY1_00F,31,1,2,14
35,25-04-21 1407,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU2030536,Y-TSCT-1A4706.5,1A4706.5,Y-TSCT-Q05,1AA47,R312,T-TJC85833-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,27026,V-CHANGY1_00F-290202,1A,47,6,5,V-CHANGY1_00F,29,2,2,14
36,25-04-21 1409,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU2028457,Y-TSCT-1A4706.4,1A4706.4,Y-TSCT-Q05,1AA47,R312,T-TJC97162-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,26582,V-CHANGY1_00F-310202,1A,47,6,4,V-CHANGY1_00F,31,2,2,14
37,25-04-21 1411,UNIT_YARD_MOVE,LOAD,EXPRT,CRSU1405756,Y-TSCT-1A4708.3,1A4708.3,Y-TSCT-Q05,1AA47,R312,T-TJC55588-1 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,27590,V-CHANGY1_00F-290004,1A,47,8,3,V-CHANGY1_00F,29,0,4,14
38,25-04-21 1413,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU3568150,Y-TSCT-1A4708.2,1A4708.2,Y-TSCT-Q05,1AA47,R312,T-TJC55588-1 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,28000,V-CHANGY1_00F-310004,1A,47,8,2,V-CHANGY1_00F,31,0,4,14
39,25-04-21 1415,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU2027050,Y-TSCT-1A4706.3,1A4706.3,Y-TSCT-Q05,1AA47,R312,T-TJC85790-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,27026,V-CHANGY1_00F-290106,1A,47,6,3,V-CHANGY1_00F,29,1,6,14
40,25-04-21 1417,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2099840,Y-TSCT-1A4706.2,1A4706.2,Y-TSCT-Q05,1AA47,R312,T-TJCK2109-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,28650,V-CHANGY1_00F-310106,1A,47,6,2,V-CHANGY1_00F,31,1,6,14
41,25-04-21 1429,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU6430650,Y-TSCT-1A4708.1,1A4708.1,Y-TSCT-Q05,1AA47,R311,T-TJCJ7378-1 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,28860,V-CHANGY1_00F-290206,1A,47,8,1,V-CHANGY1_00F,29,2,6,14
42,25-04-21 1432,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1321216,Y-TSCT-1A4706.1,1A4706.1,Y-TSCT-Q05,1AA47,R311,T-TJC79880-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,27099,V-CHANGY1_00F-310206,1A,47,6,1,V-CHANGY1_00F,31,2,6,14
43,25-04-21 1646,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU2024467,Y-TSCT-1A4702.4,1A4702.4,Y-TSCT-Q05,1AA47,R311,T-TJCD3165-3 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,27026,V-CHANGY1_00F-290008,1A,47,2,4,V-CHANGY1_00F,29,0,8,14
44,25-04-21 1648,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU2026958,Y-TSCT-1A4702.3,1A4702.3,Y-TSCT-Q05,1AA47,R311,T-TJCB6105-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,27026,V-CHANGY1_00F-310008,1A,47,2,3,V-CHANGY1_00F,31,0,8,14
45,25-04-21 1651,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU2027018,Y-TSCT-1A4702.2,1A4702.2,Y-TSCT-Q05,1AA47,R311,T-TJC79028-2 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,27026,V-CHANGY1_00F-290110,1A,47,2,2,V-CHANGY1_00F,29,1,10,14
46,25-04-21 1654,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU3074847,Y-TSCT-1A4702.1,1A4702.1,Y-TSCT-Q05,1AA47,R311,T-TJCG3832-3 (TQ),CHANGY1_00F,SGSIN,CNTSN,NOM86,NOM20,22G1,26150,V-CHANGY1_00F-310110,1A,47,2,1,V-CHANGY1_00F,31,1,10,14
