order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-16 0513,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU5274312,Y-TSCT-1A1806.1,1A1806.1,Y-TSCT-Q11,1AA18,R312,T-TJA02961D-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,11200,V-CHANGY7_00D-180678,1A,18,6,1,V-CHANGY7_00D,18,6,78,4
1,25-03-16 0515,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU8307824,Y-TSCT-1A1805.1,1A1805.1,Y-TSCT-Q11,1AA18,R312,T-TJA02361D-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,11200,V-CHANGY7_00D-180878,1A,18,5,1,V-CHANGY7_00D,18,8,78,4
2,25-03-15 2141,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU5135834,Y-TSCT-1C4803.2,1C4803.2,Y-TSCT-Q08,1CA48,R316,T-HBB6A772-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM86,NOM40,42G1,31720,V-CHANGY7_00D-700616,1C,48,3,2,V-CHANGY7_00D,70,6,16,4
3,25-03-15 2144,UNIT_YARD_MOVE,LOAD,EXPRT,EISU1846354,Y-TSCT-1C4803.1,1C4803.1,Y-TSCT-Q08,1CA48,R316,T-BJAMW907-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM86,NOM40,42G1,31214,V-CHANGY7_00D-700816,1C,48,3,1,V-CHANGY7_00D,70,8,16,4
4,25-03-15 2145,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1156964,Y-TSCT-1C4802.3,1C4802.3,Y-TSCT-Q08,1CA48,R316,T-TJCD3058-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,27380,V-CHANGY7_00D-700818,1C,48,2,3,V-CHANGY7_00D,70,8,18,4
5,25-03-15 2203,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1921580,Y-TSCT-1C4802.2,1C4802.2,Y-TSCT-Q08,1CA48,R316,T-TJCD0937-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,28060,V-CHANGY7_00D-700820,1C,48,2,2,V-CHANGY7_00D,70,8,20,4
6,25-03-15 2218,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1512453,Y-TSCT-1C4802.1,1C4802.1,Y-TSCT-Q08,1CA48,R316,T-TJC97061-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,29764,V-CHANGY7_00D-700822,1C,48,2,1,V-CHANGY7_00D,70,8,22,4
7,25-03-15 2229,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU6777009,Y-TSCT-1C4806.5,1C4806.5,Y-TSCT-Q12,1CA48,R316,T-TJC97003-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,29087,V-CHANGY7_00D-180602,1C,48,6,5,V-CHANGY7_00D,18,6,2,4
8,25-03-15 2231,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU9526386,Y-TSCT-1C4806.4,1C4806.4,Y-TSCT-Q12,1CA48,R316,T-TJC16707-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,31490,V-CHANGY7_00D-180802,1C,48,6,4,V-CHANGY7_00D,18,8,2,4
9,25-03-15 2236,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU6618925,Y-TSCT-1C4806.3,1C4806.3,Y-TSCT-Q12,1CA48,R316,T-TJCK2689-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,31920,V-CHANGY7_00D-180604,1C,48,6,3,V-CHANGY7_00D,18,6,4,4
10,25-03-15 2239,UNIT_YARD_MOVE,LOAD,EXPRT,EISU8476924,Y-TSCT-1C4810.5,1C4810.5,Y-TSCT-Q12,1CA48,R316,T-TJCK2506-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,31250,V-CHANGY7_00D-180804,1C,48,10,5,V-CHANGY7_00D,18,8,4,4
11,25-03-15 2250,UNIT_YARD_MOVE,LOAD,EXPRT,EISU8228975,Y-TSCT-1C4810.4,1C4810.4,Y-TSCT-Q12,1CA48,R316,T-TJC97510-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,31893,V-CHANGY7_00D-180606,1C,48,10,4,V-CHANGY7_00D,18,6,6,4
12,25-03-15 2252,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU9449459,Y-TSCT-1C4810.3,1C4810.3,Y-TSCT-Q12,1CA48,R316,T-TJC91361-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,30320,V-CHANGY7_00D-180806,1C,48,10,3,V-CHANGY7_00D,18,8,6,4
13,25-03-15 2301,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1235641,Y-TSCT-1C4810.2,1C4810.2,Y-TSCT-Q12,1CA48,R316,T-TJCF1995-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,30492,V-CHANGY7_00D-180608,1C,48,10,2,V-CHANGY7_00D,18,6,8,4
14,25-03-15 2303,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1408984,Y-TSCT-1C4810.1,1C4810.1,Y-TSCT-Q12,1CA48,R316,T-TJC97003-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,29617,V-CHANGY7_00D-180808,1C,48,10,1,V-CHANGY7_00D,18,8,8,4
15,25-03-15 2310,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU5729674,Y-TSCT-1C4811.4,1C4811.4,Y-TSCT-Q12,1CA48,R316,T-TJCK2506-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,24760,V-CHANGY7_00D-180610,1C,48,11,4,V-CHANGY7_00D,18,6,10,4
16,25-03-15 2312,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU6121704,Y-TSCT-1C4811.3,1C4811.3,Y-TSCT-Q12,1CA48,R316,T-TJCK6575-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,26081,V-CHANGY7_00D-180810,1C,48,11,3,V-CHANGY7_00D,18,8,10,4
17,25-03-15 2319,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU1410535,Y-TSCT-1C4811.2,1C4811.2,Y-TSCT-Q12,1CA48,R316,T-TJCH8319-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,25420,V-CHANGY7_00D-180612,1C,48,11,2,V-CHANGY7_00D,18,6,12,4
18,25-03-15 2322,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU8402240,Y-TSCT-1C4811.1,1C4811.1,Y-TSCT-Q12,1CA48,R316,T-TJC97061-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,24012,V-CHANGY7_00D-180812,1C,48,11,1,V-CHANGY7_00D,18,8,12,4
19,25-03-15 2328,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU6072454,Y-TSCT-1C4808.5,1C4808.5,Y-TSCT-Q12,1CA48,R316,T-HBFP0471-2 (TQ),CHANGY7_00D,SGSIN,CNTSN,NOM96,NOM40,45G1,19620,V-CHANGY7_00D-180614,1C,48,8,5,V-CHANGY7_00D,18,6,14,4
