order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-12 1541,UNIT_YARD_MOVE,LOAD,EXPRT,OOCU7249737,Y-TSCT-2B1805.5,2B1805.5,Y-TSCT-Q12,2BA18,R324,T-TJCC6982-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,29601,V-CHANGY9_003-100002,2B,18,5,5,V-CHANGY9_003,10,0,2,12
1,25-02-12 1546,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU7855549,Y-TSCT-2B1807.5,2B1807.5,Y-TSCT-Q12,2BA18,R324,T-TJC65316-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,14128,V-CHANGY9_003-100202,2B,18,7,5,V-CHANGY9_003,10,2,2,12
2,25-02-12 1548,UNIT_YARD_MOVE,LOAD,EXPRT,CCLU7897900,Y-TSCT-2B1807.4,2B1807.4,Y-TSCT-Q12,2BA18,R324,T-TJCF1117-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,13472,V-CHANGY9_003-100004,2B,18,7,4,V-CHANGY9_003,10,0,4,12
3,25-02-12 1551,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU5438103,Y-TSCT-2B1807.3,2B1807.3,Y-TSCT-Q12,2BA18,R324,T-TJCK2382-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,11273,V-CHANGY9_003-100204,2B,18,7,3,V-CHANGY9_003,10,2,4,12
4,25-02-12 1553,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU9542767,Y-TSCT-2B1807.2,2B1807.2,Y-TSCT-Q12,2BA18,R324,T-TJC91118-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,24218,V-CHANGY9_003-100404,2B,18,7,2,V-CHANGY9_003,10,4,4,12
5,25-02-12 1656,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU9366230,Y-TSCT-2B1807.1,2B1807.1,Y-TSCT-Q12,2BA18,R324,T-TJC09052-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,24820,V-CHANGY9_003-100006,2B,18,7,1,V-CHANGY9_003,10,0,6,12
6,25-02-12 1752,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU8340112,Y-TSCT-2B1809.3,2B1809.3,Y-TSCT-Q12,2BA18,R324,T-TJCK6219-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,22350,V-CHANGY9_003-100206,2B,18,9,3,V-CHANGY9_003,10,2,6,12
7,25-02-12 1753,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU5876042,Y-TSCT-2B1809.2,2B1809.2,Y-TSCT-Q12,2BA18,R324,T-TJC16382-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,23560,V-CHANGY9_003-100406,2B,18,9,2,V-CHANGY9_003,10,4,6,12
8,25-02-12 1756,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU6765570,Y-TSCT-2B1809.1,2B1809.1,Y-TSCT-Q12,2BA18,R324,T-TJCH8695-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,21384,V-CHANGY9_003-100008,2B,18,9,1,V-CHANGY9_003,10,0,8,12
9,25-02-12 1758,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU8466224,Y-TSCT-2B1808.5,2B1808.5,Y-TSCT-Q12,2BA18,R324,T-TJCK6608-2 (TQ),CHANGY9_003,BEANR,CNTSN,NOM96,NOM40,45G1,17690,V-CHANGY9_003-100208,2B,18,8,5,V-CHANGY9_003,10,2,8,12
