order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-22 2121,UNIT_YARD_MOVE,LOAD,EXPRT,ESDU2819057,Y-TSCT-2B5501.1,2B5501.1,Y-TSCT-Q10,2BA55,R323,T-TJA02257D-2 (TQ),DACW_003,INNSA,CNTSN,NOM86,NOM20,22G1,24670,V-DACW_003-031282,2B,55,1,1,V-DACW_003,3,12,82,1
1,25-02-22 2238,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9029537,Y-TSCT-2C2611.4,2C2611.4,Y-TSCT-Q09,2CA26,R326,T-TJCE2666-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-DACW_003-220982,2C,26,11,4,V-DACW_003,22,9,82,0
2,25-02-22 2239,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9029579,Y-TSCT-2C2610.5,2C2610.5,Y-TSCT-Q09,2CA26,R326,T-TJCG1076-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-DACW_003-220782,2C,26,10,5,V-DACW_003,22,7,82,0
3,25-02-22 2241,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9029563,Y-TSCT-2C2610.4,2C2610.4,Y-TSCT-Q09,2CA26,R326,T-TJCB7029-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-DACW_003-220582,2C,26,10,4,V-DACW_003,22,5,82,0
4,25-02-22 2249,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU6989121,Y-TSCT-2C2611.3,2C2611.3,Y-TSCT-Q09,2CA26,R326,T-TJCC6982-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-DACW_003-221184,2C,26,11,3,V-DACW_003,22,11,84,0
5,25-02-22 2252,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9029584,Y-TSCT-2C2610.3,2C2610.3,Y-TSCT-Q09,2CA26,R326,T-TJC97370-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-DACW_003-220984,2C,26,10,3,V-DACW_003,22,9,84,0
6,25-02-22 2307,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9028037,Y-TSCT-2C2611.2,2C2611.2,Y-TSCT-Q09,2CA26,R326,T-TJCC1111-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-DACW_003-220784,2C,26,11,2,V-DACW_003,22,7,84,0
7,25-02-22 2309,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9028084,Y-TSCT-2C2610.2,2C2610.2,Y-TSCT-Q09,2CA26,R326,T-TJCC9720-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31868,V-DACW_003-220584,2C,26,10,2,V-DACW_003,22,5,84,0
8,25-02-22 2323,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9027766,Y-TSCT-2C2611.1,2C2611.1,Y-TSCT-Q09,2CA26,R326,T-TJCE2975-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-DACW_003-220986,2C,26,11,1,V-DACW_003,22,9,86,8
9,25-02-22 2326,UNIT_YARD_MOVE,LOAD,EXPRT,EITU9202433,Y-TSCT-2C2610.1,2C2610.1,Y-TSCT-Q09,2CA26,R326,T-TJCB8806-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31750,V-DACW_003-220786,2C,26,10,1,V-DACW_003,22,7,86,8
10,25-02-22 2328,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9025249,Y-TSCT-2C2609.1,2C2609.1,Y-TSCT-Q09,2CA26,R326,T-JLCB2735-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,26570,V-DACW_003-220686,2C,26,9,1,V-DACW_003,22,6,86,8
11,25-02-22 2358,UNIT_YARD_MOVE,LOAD,EXPRT,WBPU7072202,Y-TSCT-2C2608.2,2C2608.2,Y-TSCT-Q09,2CA26,R326,T-TJCC1111-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31868,V-DACW_003-180302,2C,26,8,2,V-DACW_003,18,3,2,0
12,25-02-23 0003,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9029558,Y-TSCT-2C2608.1,2C2608.1,Y-TSCT-Q09,2CA26,R326,T-TJCE2696-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-DACW_003-180304,2C,26,8,1,V-DACW_003,18,3,4,8
13,25-02-23 0024,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU4277852,Y-TSCT-2C2607.1,2C2607.1,Y-TSCT-Q09,2CA26,R326,T-TJCF1716-2 (TQ),DACW_003,INMUN,CNTSN,NOM96,NOM40,45G1,31730,V-DACW_003-180306,2C,26,7,1,V-DACW_003,18,3,6,8
14,25-02-23 1101,UNIT_YARD_MOVE,LOAD,EXPRT,TSSU2060209,Y-TSCT-2C5111.2,2C5111.2,Y-TSCT-Q09,2CA51,R325,T-TJCM1300-3 (TQ),DACW_003,JPOSA,CNTSN,NOM86,NOM20,22G1,29998,V-DACW_003-530682,2C,51,11,2,V-DACW_003,53,6,82,0
15,25-02-23 1104,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU2062340,Y-TSCT-2C5110.2,2C5110.2,Y-TSCT-Q09,2CA51,R325,T-HBJY3522-2 (TQ),DACW_003,JPOSA,CNTSN,NOM86,NOM20,22G1,30100,V-DACW_003-550682,2C,51,10,2,V-DACW_003,55,6,82,0
