order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-28 2100,UNIT_YARD_MOVE,LOAD,EXPRT,SZLU9549714,Y-TSCT-1B4801.1,1B4801.1,Y-TSCT-Q10,1BA48,R313,T-TJAW1729-2 (TQ),DAS_000,SGSIN,CNTSN,NOM96,NOM40,45R1,32039,V-DAS_000-300314,1B,48,1,1,V-DAS_000,30,3,14,9
1,25-03-28 2351,UNIT_YARD_MOVE,LOAD,EXPRT,TRIU8596943,Y-TSCT-1B4802.1,1B4802.1,Y-TSCT-Q09,1BA48,R314,T-TJAU3673-2 (TQ),DAS_000,INNSA,CNTSN,NOM96,NOM40,45R1,32404,V-DAS_000-380612,1B,48,2,1,V-DAS_000,38,6,12,5
2,25-03-28 1255,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3768253,Y-TSCT-1C2903.1,1C2903.1,Y-TSCT-Q12,1CA29,R316,T-TJC56957-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,22160,V-DAS_000-170706,1C,29,3,1,V-DAS_000,17,7,6,3
3,25-03-28 1314,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU2856625,Y-TSCT-1C2904.1,1C2904.1,Y-TSCT-Q12,1CA29,R316,T-TJC09995-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,22260,V-DAS_000-170508,1C,29,4,1,V-DAS_000,17,5,8,3
4,25-03-28 1337,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0450830,Y-TSCT-1C2906.1,1C2906.1,Y-TSCT-Q12,1CA29,R316,T-TJCE2635-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,22250,V-DAS_000-170510,1C,29,6,1,V-DAS_000,17,5,10,3
5,25-03-28 2223,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU8260187,Y-TSCT-1C2905.1,1C2905.1,Y-TSCT-Q09,1CA29,R316,T-BJAMW907-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,22420,V-DAS_000-390706,1C,29,5,1,V-DAS_000,39,7,6,3
6,25-03-28 1417,UNIT_YARD_MOVE,LOAD,EXPRT,PCIU1845321,Y-TSCT-1C3109.4,1C3109.4,Y-TSCT-Q08,1CA31,R316,T-TJC55572-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,16095,V-DAS_000-490108,1C,31,9,4,V-DAS_000,49,1,8,3
7,25-03-28 1419,UNIT_YARD_MOVE,LOAD,EXPRT,INXU0003752,Y-TSCT-1C3109.3,1C3109.3,Y-TSCT-Q08,1CA31,R316,T-TJCG1077-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,7186,V-DAS_000-510108,1C,31,9,3,V-DAS_000,51,1,8,3
8,25-03-28 1429,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU2631593,Y-TSCT-1C3109.2,1C3109.2,Y-TSCT-Q08,1CA31,R316,T-TJCG1061-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,7276,V-DAS_000-490208,1C,31,9,2,V-DAS_000,49,2,8,3
9,25-03-28 1431,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3284156,Y-TSCT-1C3109.1,1C3109.1,Y-TSCT-Q08,1CA31,R316,T-TJC79909-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,4753,V-DAS_000-510208,1C,31,9,1,V-DAS_000,51,2,8,3
10,25-03-28 1445,UNIT_YARD_MOVE,LOAD,EXPRT,TSSU2187430,Y-TSCT-1C3102.2,1C3102.2,Y-TSCT-Q10,1CA31,R316,T-HBAKV252-1 (TQ),DAS_000,LKCMB,CNTSN,NOM86,NOM20,22G1,14856,V-DAS_000-330410,1C,31,2,2,V-DAS_000,33,4,10,3
11,25-03-28 1448,UNIT_YARD_MOVE,LOAD,EXPRT,TSSU2320219,Y-TSCT-1C3101.2,1C3101.2,Y-TSCT-Q10,1CA31,R316,T-BJAGC926-3 (TQ),DAS_000,LKCMB,CNTSN,NOM86,NOM20,22G1,14826,V-DAS_000-350410,1C,31,1,2,V-DAS_000,35,4,10,3
12,25-03-28 1451,UNIT_YARD_MOVE,LOAD,EXPRT,TSSU2276841,Y-TSCT-1C3102.1,1C3102.1,Y-TSCT-Q10,1CA31,R316,T-HBAKV252-2 (TQ),DAS_000,LKCMB,CNTSN,NOM86,NOM20,22G1,14826,V-DAS_000-330412,1C,31,2,1,V-DAS_000,33,4,12,3
13,25-03-28 1454,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU2619177,Y-TSCT-1C3101.1,1C3101.1,Y-TSCT-Q10,1CA31,R316,T-TJC87026-3 (TQ),DAS_000,LKCMB,CNTSN,NOM86,NOM20,22G1,14826,V-DAS_000-350412,1C,31,1,1,V-DAS_000,35,4,12,3
14,25-03-28 1502,UNIT_YARD_MOVE,LOAD,EXPRT,FYCU7227512,Y-TSCT-1C3109.1,1C3109.1,Y-TSCT-Q10,1CA31,R316,T-TJC87817-1 (TQ),DAS_000,LKCMB,CNTSN,NOM86,NOM20,22G1,14876,V-DAS_000-350406,1C,31,9,1,V-DAS_000,35,4,6,3
15,25-03-28 1504,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU1018469,Y-TSCT-1C3111.4,1C3111.4,Y-TSCT-Q08,1CA31,R316,T-TJC85969-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,22224,V-DAS_000-490310,1C,31,11,4,V-DAS_000,49,3,10,3
16,25-03-28 1506,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0381214,Y-TSCT-1C3111.3,1C3111.3,Y-TSCT-Q08,1CA31,R316,T-TJC79525-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,21309,V-DAS_000-510310,1C,31,11,3,V-DAS_000,51,3,10,3
17,25-03-28 1508,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU2023619,Y-TSCT-1C3111.2,1C3111.2,Y-TSCT-Q08,1CA31,R316,T-TJC85790-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,21290,V-DAS_000-490010,1C,31,11,2,V-DAS_000,49,0,10,3
18,25-03-28 1509,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU2031743,Y-TSCT-1C3111.1,1C3111.1,Y-TSCT-Q08,1CA31,R316,T-TJCD3519-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,21290,V-DAS_000-510010,1C,31,11,1,V-DAS_000,51,0,10,3
19,25-03-28 2138,UNIT_YARD_MOVE,LOAD,EXPRT,CRSU1472986,Y-TSCT-1C3108.4,1C3108.4,Y-TSCT-Q09,1CA31,R316,T-TJCD3519-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,27370,V-DAS_000-370702,1C,31,8,4,V-DAS_000,37,7,2,3
20,25-03-28 2140,UNIT_YARD_MOVE,LOAD,EXPRT,CRSU1486655,Y-TSCT-1C3107.4,1C3107.4,Y-TSCT-Q09,1CA31,R316,T-TJC97162-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,27341,V-DAS_000-390702,1C,31,7,4,V-DAS_000,39,7,2,3
21,25-03-28 2150,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2814068,Y-TSCT-1C3108.3,1C3108.3,Y-TSCT-Q09,1CA31,R315,T-TJCB3112-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29863,V-DAS_000-371304,1C,31,8,3,V-DAS_000,37,13,4,3
22,25-03-28 2152,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU2076921,Y-TSCT-1C3107.3,1C3107.3,Y-TSCT-Q09,1CA31,R315,T-TJC85833-3 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29793,V-DAS_000-391304,1C,31,7,3,V-DAS_000,39,13,4,3
23,25-03-28 2157,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU3288550,Y-TSCT-1C3108.2,1C3108.2,Y-TSCT-Q09,1CA31,R316,T-TJCD3556-3 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,30125,V-DAS_000-370904,1C,31,8,2,V-DAS_000,37,9,4,3
24,25-03-28 2159,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2198173,Y-TSCT-1C3107.2,1C3107.2,Y-TSCT-Q09,1CA31,R316,T-TJCC9551-3 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,30095,V-DAS_000-390904,1C,31,7,2,V-DAS_000,39,9,4,3
25,25-03-28 2204,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU2242353,Y-TSCT-1C3108.1,1C3108.1,Y-TSCT-Q09,1CA31,R316,T-TJCD3256-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29768,V-DAS_000-370504,1C,31,8,1,V-DAS_000,37,5,4,3
26,25-03-28 2206,UNIT_YARD_MOVE,LOAD,EXPRT,BLJU2022769,Y-TSCT-1C3107.1,1C3107.1,Y-TSCT-Q09,1CA31,R316,T-TJCD3311-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29691,V-DAS_000-390504,1C,31,7,1,V-DAS_000,39,5,4,3
27,25-03-28 2211,UNIT_YARD_MOVE,LOAD,EXPRT,MOAU1434695,Y-TSCT-1C3106.5,1C3106.5,Y-TSCT-Q09,1CA31,R316,T-TJC80288-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,25285,V-DAS_000-371106,1C,31,6,5,V-DAS_000,37,11,6,3
28,25-03-28 2227,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3238795,Y-TSCT-1C3106.4,1C3106.4,Y-TSCT-Q09,1CA31,R316,T-TJCB3112-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,24120,V-DAS_000-370706,1C,31,6,4,V-DAS_000,37,7,6,3
29,25-03-28 2229,UNIT_YARD_MOVE,LOAD,EXPRT,BLJU2655833,Y-TSCT-1C3106.3,1C3106.3,Y-TSCT-Q09,1CA31,R316,T-TJCB6105-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,24190,V-DAS_000-371308,1C,31,6,3,V-DAS_000,37,13,8,3
30,25-03-28 2231,UNIT_YARD_MOVE,LOAD,EXPRT,BLJU2852220,Y-TSCT-1C3106.2,1C3106.2,Y-TSCT-Q09,1CA31,R316,T-TJCD3129-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,25750,V-DAS_000-370908,1C,31,6,2,V-DAS_000,37,9,8,3
31,25-03-28 2233,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU2910900,Y-TSCT-1C3106.1,1C3106.1,Y-TSCT-Q09,1CA31,R316,T-TJC97162-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,25700,V-DAS_000-370508,1C,31,6,1,V-DAS_000,37,5,8,3
32,25-03-28 2236,UNIT_YARD_MOVE,LOAD,EXPRT,TSSU2368059,Y-TSCT-1C3105.1,1C3105.1,Y-TSCT-Q09,1CA31,R316,T-TJC19596-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,22809,V-DAS_000-390508,1C,31,5,1,V-DAS_000,39,5,8,3
33,25-03-28 2239,UNIT_YARD_MOVE,LOAD,EXPRT,TTNU1917878,Y-TSCT-1C3104.5,1C3104.5,Y-TSCT-Q09,1CA31,R316,T-TJCE2879-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29410,V-DAS_000-370602,1C,31,4,5,V-DAS_000,37,6,2,3
34,25-03-28 2241,UNIT_YARD_MOVE,LOAD,EXPRT,BLJU2114079,Y-TSCT-1C3103.5,1C3103.5,Y-TSCT-Q09,1CA31,R316,T-TJCB0732-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29140,V-DAS_000-390602,1C,31,3,5,V-DAS_000,39,6,2,3
35,25-03-28 2244,UNIT_YARD_MOVE,LOAD,EXPRT,BLJU2754883,Y-TSCT-1C3104.4,1C3104.4,Y-TSCT-Q09,1CA31,R316,T-TJCE2635-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,28770,V-DAS_000-371002,1C,31,4,4,V-DAS_000,37,10,2,3
36,25-03-28 2246,UNIT_YARD_MOVE,LOAD,EXPRT,LLTU2053986,Y-TSCT-1C3103.4,1C3103.4,Y-TSCT-Q09,1CA31,R316,T-TJCD3165-3 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29120,V-DAS_000-391002,1C,31,3,4,V-DAS_000,39,10,2,3
37,25-03-28 2249,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3210938,Y-TSCT-1C3104.3,1C3104.3,Y-TSCT-Q09,1CA31,R316,T-BJA47227F-2 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29831,V-DAS_000-370604,1C,31,4,3,V-DAS_000,37,6,4,3
38,25-03-28 2252,UNIT_YARD_MOVE,LOAD,EXPRT,GESU3474667,Y-TSCT-1C3103.3,1C3103.3,Y-TSCT-Q09,1CA31,R316,T-TJCG1113-3 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29200,V-DAS_000-390604,1C,31,3,3,V-DAS_000,39,6,4,3
39,25-03-28 2255,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3409572,Y-TSCT-1C3104.2,1C3104.2,Y-TSCT-Q09,1CA31,R316,T-TJC23125-1 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29915,V-DAS_000-371004,1C,31,4,2,V-DAS_000,37,10,4,3
40,25-03-28 2257,UNIT_YARD_MOVE,LOAD,EXPRT,BLJU2026614,Y-TSCT-1C3103.2,1C3103.2,Y-TSCT-Q09,1CA31,R316,T-TJCH1136-3 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29200,V-DAS_000-391004,1C,31,3,2,V-DAS_000,39,10,4,3
41,25-03-28 2259,UNIT_YARD_MOVE,LOAD,EXPRT,BLJU2089525,Y-TSCT-1C3104.1,1C3104.1,Y-TSCT-Q09,1CA31,R316,T-TJC87692-3 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29185,V-DAS_000-371404,1C,31,4,1,V-DAS_000,37,14,4,3
42,25-03-28 2301,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU2574965,Y-TSCT-1C3103.1,1C3103.1,Y-TSCT-Q09,1CA31,R316,T-TJCG1985-1 (TQ),DAS_000,INNSA,CNTSN,NOM86,NOM20,22G1,29400,V-DAS_000-391404,1C,31,3,1,V-DAS_000,39,14,4,3
