order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-10 0906,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2915201,Y-TSCT-1C3311.3,1C3311.3,Y-TSCT-Q11,1CA33,R316,T-TJCK2261-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-170416,1C,33,11,3,V-DIANF_005,17,4,16,23
1,25-02-10 0908,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1096588,Y-TSCT-1C3310.3,1C3310.3,Y-TSCT-Q11,1CA33,R316,T-TJCK2261-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-190416,1C,33,10,3,V-DIANF_005,19,4,16,23
2,25-02-10 0911,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU3767260,Y-TSCT-1C3311.2,1C3311.2,Y-TSCT-Q11,1CA33,R316,T-TJCA5255-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2180,V-DIANF_005-170118,1C,33,11,2,V-DIANF_005,17,1,18,23
3,25-02-10 0913,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2119971,Y-TSCT-1C3310.2,1C3310.2,Y-TSCT-Q11,1CA33,R316,T-TJCK2773-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-190118,1C,33,10,2,V-DIANF_005,19,1,18,23
4,25-02-10 0917,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU2846582,Y-TSCT-1C3311.1,1C3311.1,Y-TSCT-Q11,1CA33,R316,T-TJCA5255-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2200,V-DIANF_005-170418,1C,33,11,1,V-DIANF_005,17,4,18,23
5,25-02-10 0919,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2027454,Y-TSCT-1C3310.1,1C3310.1,Y-TSCT-Q11,1CA33,R316,T-TJCK2773-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-190418,1C,33,10,1,V-DIANF_005,19,4,18,23
6,25-02-10 0923,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2131961,Y-TSCT-1C3309.3,1C3309.3,Y-TSCT-Q11,1CA33,R316,T-TJCH1196-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-171382,1C,33,9,3,V-DIANF_005,17,13,82,23
7,25-02-10 0925,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2051471,Y-TSCT-1C3308.3,1C3308.3,Y-TSCT-Q11,1CA33,R316,T-TJCA5257-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-191382,1C,33,8,3,V-DIANF_005,19,13,82,23
8,25-02-10 1021,UNIT_YARD_MOVE,LOAD,EXPRT,TDRU2348548,Y-TSCT-1C3303.3,1C3303.3,Y-TSCT-Q10,1CA33,R315,T-TJCA0385-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2200,V-DIANF_005-250416,1C,33,3,3,V-DIANF_005,25,4,16,23
9,25-02-10 1023,UNIT_YARD_MOVE,LOAD,EXPRT,VSBU2026623,Y-TSCT-1C3303.2,1C3303.2,Y-TSCT-Q10,1CA33,R315,T-TJCH1078-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2250,V-DIANF_005-270416,1C,33,3,2,V-DIANF_005,27,4,16,23
10,25-02-10 1048,UNIT_YARD_MOVE,LOAD,EXPRT,SKIU2272160,Y-TSCT-1C3305.3,1C3305.3,Y-TSCT-Q11,1CA33,R316,T-TJC93198-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2000,V-DIANF_005-170582,1C,33,5,3,V-DIANF_005,17,5,82,23
11,25-02-10 1049,UNIT_YARD_MOVE,LOAD,EXPRT,TDRU2694140,Y-TSCT-1C3304.3,1C3304.3,Y-TSCT-Q11,1CA33,R316,T-TJC50709-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2250,V-DIANF_005-190582,1C,33,4,3,V-DIANF_005,19,5,82,23
12,25-02-10 1058,UNIT_YARD_MOVE,LOAD,EXPRT,CULU1939983,Y-TSCT-1C3307.3,1C3307.3,Y-TSCT-Q11,1CA33,R316,T-TJCD1516-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-170982,1C,33,7,3,V-DIANF_005,17,9,82,23
13,25-02-10 1100,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU8309292,Y-TSCT-1C3306.3,1C3306.3,Y-TSCT-Q11,1CA33,R316,T-TJC69717-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2260,V-DIANF_005-190982,1C,33,6,3,V-DIANF_005,19,9,82,23
14,25-02-10 1111,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU3095158,Y-TSCT-1C3309.2,1C3309.2,Y-TSCT-Q11,1CA33,R316,T-TJCA7580-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2200,V-DIANF_005-171384,1C,33,9,2,V-DIANF_005,17,13,84,23
15,25-02-10 1112,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2035589,Y-TSCT-1C3308.2,1C3308.2,Y-TSCT-Q11,1CA33,R316,T-TJCA5257-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-191384,1C,33,8,2,V-DIANF_005,19,13,84,23
16,25-02-10 1114,UNIT_YARD_MOVE,LOAD,EXPRT,TDRU2711289,Y-TSCT-1C3307.2,1C3307.2,Y-TSCT-Q11,1CA33,R316,T-TJC69370-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2260,V-DIANF_005-170984,1C,33,7,2,V-DIANF_005,17,9,84,23
17,25-02-10 1116,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1157240,Y-TSCT-1C3306.2,1C3306.2,Y-TSCT-Q11,1CA33,R316,T-TJC69717-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-190984,1C,33,6,2,V-DIANF_005,19,9,84,23
18,25-02-10 1119,UNIT_YARD_MOVE,LOAD,EXPRT,TTNU1853963,Y-TSCT-1C3305.2,1C3305.2,Y-TSCT-Q11,1CA33,R316,T-TJC93198-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2230,V-DIANF_005-170584,1C,33,5,2,V-DIANF_005,17,5,84,23
19,25-02-10 1121,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2037426,Y-TSCT-1C3304.2,1C3304.2,Y-TSCT-Q11,1CA33,R316,T-TJC50709-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-190584,1C,33,4,2,V-DIANF_005,19,5,84,23
20,25-02-10 1123,UNIT_YARD_MOVE,LOAD,EXPRT,CMAU1008546,Y-TSCT-1C3302.2,1C3302.2,Y-TSCT-Q11,1CA33,R316,T-TJC50727-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2230,V-DIANF_005-171386,1C,33,2,2,V-DIANF_005,17,13,86,23
21,25-02-10 1125,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2021202,Y-TSCT-1C3309.1,1C3309.1,Y-TSCT-Q11,1CA33,R316,T-TJCA7580-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2120,V-DIANF_005-191386,1C,33,9,1,V-DIANF_005,19,13,86,23
22,25-02-10 1126,UNIT_YARD_MOVE,LOAD,EXPRT,TDRU2743748,Y-TSCT-1C3308.1,1C3308.1,Y-TSCT-Q11,1CA33,R316,T-TJCH1196-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2260,V-DIANF_005-170986,1C,33,8,1,V-DIANF_005,17,9,86,23
23,25-02-10 1128,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2901738,Y-TSCT-1C3307.1,1C3307.1,Y-TSCT-Q11,1CA33,R316,T-TJC69370-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2080,V-DIANF_005-190986,1C,33,7,1,V-DIANF_005,19,9,86,23
24,25-02-10 1137,UNIT_YARD_MOVE,LOAD,EXPRT,HNSU2064712,Y-TSCT-1C3306.1,1C3306.1,Y-TSCT-Q11,1CA33,R316,T-TJCD1516-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2185,V-DIANF_005-170586,1C,33,6,1,V-DIANF_005,17,5,86,23
25,25-02-10 1139,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU3257442,Y-TSCT-1C3305.1,1C3305.1,Y-TSCT-Q11,1CA33,R316,T-TJCA7580-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2200,V-DIANF_005-190586,1C,33,5,1,V-DIANF_005,19,5,86,23
26,25-02-10 1142,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1136593,Y-TSCT-1C3304.1,1C3304.1,Y-TSCT-Q11,1CA33,R316,T-TJCA7580-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-170988,1C,33,4,1,V-DIANF_005,17,9,88,23
27,25-02-10 1144,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU3918407,Y-TSCT-1C3302.1,1C3302.1,Y-TSCT-Q11,1CA33,R316,T-TJCA0385-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2180,V-DIANF_005-190988,1C,33,2,1,V-DIANF_005,19,9,88,23
28,25-02-10 1218,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1413189,Y-TSCT-1C3303.1,1C3303.1,Y-TSCT-Q10,1CA33,R316,T-TJCH1078-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-250218,1C,33,3,1,V-DIANF_005,25,2,18,23
29,25-02-10 1221,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU2904652,Y-TSCT-1C3301.1,1C3301.1,Y-TSCT-Q10,1CA33,R316,T-TJC50727-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2200,V-DIANF_005-270218,1C,33,1,1,V-DIANF_005,27,2,18,23
30,25-02-10 0932,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU2775060,Y-TSCT-1C3509.3,1C3509.3,Y-TSCT-Q11,1CA35,R316,T-TJC51353-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2260,V-DIANF_005-170482,1C,35,9,3,V-DIANF_005,17,4,82,23
31,25-02-10 0934,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2353260,Y-TSCT-1C3508.3,1C3508.3,Y-TSCT-Q11,1CA35,R316,T-TJCA5257-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2030,V-DIANF_005-190482,1C,35,8,3,V-DIANF_005,19,4,82,23
32,25-02-10 0939,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1159177,Y-TSCT-1C3507.3,1C3507.3,Y-TSCT-Q11,1CA35,R316,T-TJCK2582-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-170882,1C,35,7,3,V-DIANF_005,17,8,82,23
33,25-02-10 0941,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU3258520,Y-TSCT-1C3506.3,1C3506.3,Y-TSCT-Q11,1CA35,R316,T-TJC55719-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2200,V-DIANF_005-190882,1C,35,6,3,V-DIANF_005,19,8,82,23
34,25-02-10 0945,UNIT_YARD_MOVE,LOAD,EXPRT,TRLU9252438,Y-TSCT-1C3505.3,1C3505.3,Y-TSCT-Q11,1CA35,R316,T-TJC69370-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2230,V-DIANF_005-171282,1C,35,5,3,V-DIANF_005,17,12,82,23
35,25-02-10 0948,UNIT_YARD_MOVE,LOAD,EXPRT,FYCU7243832,Y-TSCT-1C3504.3,1C3504.3,Y-TSCT-Q11,1CA35,R316,T-TJC51982-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2150,V-DIANF_005-191282,1C,35,4,3,V-DIANF_005,19,12,82,23
36,25-02-10 0959,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2002646,Y-TSCT-1C3503.3,1C3503.3,Y-TSCT-Q11,1CA35,R316,T-TJC51982-3 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2120,V-DIANF_005-170284,1C,35,3,3,V-DIANF_005,17,2,84,23
37,25-02-10 1001,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2119061,Y-TSCT-1C3502.3,1C3502.3,Y-TSCT-Q11,1CA35,R316,T-TJC50727-1 (TQ),DIANF_005,AEDUB,CNTSN,NOM86,NOM20,22G1,2100,V-DIANF_005-190284,1C,35,2,3,V-DIANF_005,19,2,84,23
