order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-26 1958,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1189614,Y-TSCT-1B4510.5,1B4510.5,Y-TSCT-Q12,1BA45,R313,T-TJC69087-1 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-051072,1B,45,10,5,V-DILT_000,5,10,72,42
1,25-02-26 2000,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1189912,Y-TSCT-1B4509.5,1B4509.5,Y-TSCT-Q12,1BA45,R313,T-TJC69385-3 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-071072,1B,45,9,5,V-DILT_000,7,10,72,42
2,25-02-26 2007,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1224401,Y-TSCT-1B4508.5,1B4508.5,Y-TSCT-Q12,1BA45,R313,T-TJC69087-1 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-050474,1B,45,8,5,V-DILT_000,5,4,74,42
3,25-02-26 2009,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1215185,Y-TSCT-1B4507.5,1B4507.5,Y-TSCT-Q12,1BA45,R313,T-TJC69712-3 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-070474,1B,45,7,5,V-DILT_000,7,4,74,42
4,25-02-26 2011,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1224490,Y-TSCT-1B4511.4,1B4511.4,Y-TSCT-Q12,1BA45,R313,T-TJC69952-3 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-050874,1B,45,11,4,V-DILT_000,5,8,74,42
5,25-02-26 2012,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1224660,Y-TSCT-1B4510.4,1B4510.4,Y-TSCT-Q12,1BA45,R313,T-TJC69952-1 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-070874,1B,45,10,4,V-DILT_000,7,8,74,42
6,25-02-26 2015,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1189893,Y-TSCT-1B4509.4,1B4509.4,Y-TSCT-Q12,1BA45,R313,T-TJC69385-1 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-050276,1B,45,9,4,V-DILT_000,5,2,76,42
7,25-02-26 2017,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1189975,Y-TSCT-1B4508.4,1B4508.4,Y-TSCT-Q12,1BA45,R313,T-TJC69952-3 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-070276,1B,45,8,4,V-DILT_000,7,2,76,42
8,25-02-26 2020,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1215708,Y-TSCT-1B4507.4,1B4507.4,Y-TSCT-Q12,1BA45,R313,T-TJC69712-1 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-050676,1B,45,7,4,V-DILT_000,5,6,76,42
9,25-02-26 2022,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1224802,Y-TSCT-1B4511.3,1B4511.3,Y-TSCT-Q12,1BA45,R313,T-TJC69712-1 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-070676,1B,45,11,3,V-DILT_000,7,6,76,42
10,25-02-26 2024,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1224870,Y-TSCT-1B4510.3,1B4510.3,Y-TSCT-Q12,1BA45,R313,T-TJC69501-3 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-051076,1B,45,10,3,V-DILT_000,5,10,76,42
11,25-02-26 2025,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1189851,Y-TSCT-1B4509.3,1B4509.3,Y-TSCT-Q12,1BA45,R313,T-TJC69610-3 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-071076,1B,45,9,3,V-DILT_000,7,10,76,42
12,25-02-26 2030,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1189532,Y-TSCT-1B4508.3,1B4508.3,Y-TSCT-Q12,1BA45,R313,T-TJC69952-1 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-050478,1B,45,8,3,V-DILT_000,5,4,78,42
13,25-02-26 2041,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1224377,Y-TSCT-1B4507.3,1B4507.3,Y-TSCT-Q12,1BA45,R313,T-TJC69996-3 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-070478,1B,45,7,3,V-DILT_000,7,4,78,42
14,25-02-26 2043,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1215056,Y-TSCT-1B4511.2,1B4511.2,Y-TSCT-Q12,1BA45,R313,T-TJC50553-3 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-050878,1B,45,11,2,V-DILT_000,5,8,78,42
15,25-02-26 2045,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU1224926,Y-TSCT-1B4510.2,1B4510.2,Y-TSCT-Q12,1BA45,R314,T-TJC69501-1 (TQ),DILT_000,KRKAN,CNTSN,NOM86,NOM20,22G1,2300,V-DILT_000-070878,1B,45,10,2,V-DILT_000,7,8,78,42
