order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-20 0556,UNIT_YARD_MOVE,LOAD,EXPRT,SLPU2003020,Y-TSCT-2B2311.4,2B2311.4,Y-TSCT-Q06,2BA23,R323,T-TJCG1960-2 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,22023,V-DONGFF_007-130302,2B,23,11,4,V-DONGFF_007,13,3,2,1
1,25-02-20 0557,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2279146,Y-TSCT-2B2311.3,2B2311.3,Y-TSCT-Q06,2BA23,R323,T-TJCG1086-2 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,22033,V-DONGFF_007-150302,2B,23,11,3,V-DONGFF_007,15,3,2,1
2,25-02-20 0610,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5696308,Y-TSCT-2B2311.2,2B2311.2,Y-TSCT-Q06,2BA23,R323,T-TJCG1780-3 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,22073,V-DONGFF_007-130202,2B,23,11,2,V-DONGFF_007,13,2,2,1
3,25-02-20 0613,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2407930,Y-TSCT-2B2311.1,2B2311.1,Y-TSCT-Q06,2BA23,R324,T-TJC97370-2 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,22180,V-DONGFF_007-150202,2B,23,11,1,V-DONGFF_007,15,2,2,1
4,25-02-20 0838,UNIT_YARD_MOVE,LOAD,EXPRT,SNCU2939011,Y-TSCT-2B2309.5,2B2309.5,Y-TSCT-Q06,2BA23,R324,T-TJCE2698-1 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,22078,V-DONGFF_007-170502,2B,23,9,5,V-DONGFF_007,17,5,2,1
5,25-02-20 0840,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2396749,Y-TSCT-2B2309.4,2B2309.4,Y-TSCT-Q06,2BA23,R324,T-TJCE2772-3 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,21993,V-DONGFF_007-190502,2B,23,9,4,V-DONGFF_007,19,5,2,1
6,25-02-20 0843,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2404660,Y-TSCT-2B2308.5,2B2308.5,Y-TSCT-Q06,2BA23,R324,T-TJC70801-1 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,24683,V-DONGFF_007-170102,2B,23,8,5,V-DONGFF_007,17,1,2,1
7,25-02-20 0845,UNIT_YARD_MOVE,LOAD,EXPRT,UETU3028148,Y-TSCT-2B2308.4,2B2308.4,Y-TSCT-Q06,2BA23,R324,T-SDUT9163-2 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,22032,V-DONGFF_007-190102,2B,23,8,4,V-DONGFF_007,19,1,2,1
8,25-02-20 0851,UNIT_YARD_MOVE,LOAD,EXPRT,UETU2576023,Y-TSCT-2B2310.4,2B2310.4,Y-TSCT-Q06,2BA23,R324,T-SDUU0305-1 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,21993,V-DONGFF_007-170402,2B,23,10,4,V-DONGFF_007,17,4,2,1
9,25-02-20 0852,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2407484,Y-TSCT-2B2310.3,2B2310.3,Y-TSCT-Q06,2BA23,R324,T-TJC75320-1 (TQ),DONGFF_007,PHMNL,CNTSN,NOM86,NOM20,22G1,21993,V-DONGFF_007-190402,2B,23,10,3,V-DONGFF_007,19,4,2,1
