order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-25 0252,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU4188265,Y-TSCT-1B2802.1,1B2802.1,Y-TSCT-Q10,1BA28,R314,T-TJCG7736-2 (TQ),FEIL_000,KRPUS,CNTSN,NOM86,NOM40,42G1,12057,V-FEIL_000-500982,1B,28,2,1,V-FEIL_000,50,9,82,23
1,25-02-24 1910,UNIT_YARD_MOVE,LOAD,EXPRT,KOCU9027267,Y-TSCT-2B0209.1,2B0209.1,Y-TSCT-Q11,2BA02,R324,T-TJA02262D-2 (TQ),FEIL_000,AEJEA,CNTSN,NOM96,NOM45,L5G1,15820,V-FEIL_000-340982,2B,2,9,1,V-FEIL_000,34,9,82,9
2,25-02-24 1940,UNIT_YARD_MOVE,LOAD,EXPRT,KOCU9020832,Y-TSCT-2B0211.2,2B0211.2,Y-TSCT-Q11,2BA02,R324,T-TJA02257D-2 (TQ),FEIL_000,AEJEA,CNTSN,NOM96,NOM45,L5G1,15100,V-FEIL_000-341184,2B,2,11,2,V-FEIL_000,34,11,84,7
3,25-02-24 1949,UNIT_YARD_MOVE,LOAD,EXPRT,HMMU9037253,Y-TSCT-2B0211.1,2B0211.1,Y-TSCT-Q11,2BA02,R324,T-TJCK2590-2 (TQ),FEIL_000,AEJEA,CNTSN,NOM96,NOM45,L5G1,8818,V-FEIL_000-340984,2B,2,11,1,V-FEIL_000,34,9,84,9
4,25-02-25 0718,UNIT_YARD_MOVE,LOAD,EXPRT,HMMU9036874,Y-TSCT-2B0207.1,2B0207.1,Y-TSCT-Q10,2BA02,R324,T-TJC85288-2 (TQ),FEIL_000,IQUQR,CNTSN,NOM96,NOM45,L5G1,31570,V-FEIL_000-460682,2B,2,7,1,V-FEIL_000,46,6,82,9
5,25-02-24 1118,UNIT_YARD_MOVE,LOAD,EXPRT,YMMU6662320,Y-TSCT-2B2211.4,2B2211.4,Y-TSCT-Q11,2BA22,R324,T-TJCG8908-2 (TQ),FEIL_000,AEJEA,CNTSN,NOM96,NOM40,45G1,26807,V-FEIL_000-341102,2B,22,11,4,V-FEIL_000,34,11,2,7
6,25-02-24 1122,UNIT_YARD_MOVE,LOAD,EXPRT,HMMU6822210,Y-TSCT-2B2211.3,2B2211.3,Y-TSCT-Q11,2BA22,R324,T-HBJY3522-2 (TQ),FEIL_000,AEJEA,CNTSN,NOM96,NOM40,45G1,32500,V-FEIL_000-340902,2B,22,11,3,V-FEIL_000,34,9,2,7
7,25-02-24 1124,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0528273,Y-TSCT-2B2211.2,2B2211.2,Y-TSCT-Q11,2BA22,R324,T-TJCG1010-2 (TQ),FEIL_000,AEJEA,CNTSN,NOM96,NOM40,45G1,31812,V-FEIL_000-340702,2B,22,11,2,V-FEIL_000,34,7,2,7
8,25-02-24 1127,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU3166330,Y-TSCT-2B2201.1,2B2201.1,Y-TSCT-Q11,2BA22,R324,T-TJC97333-2 (TQ),FEIL_000,AEJEA,CNTSN,NOM96,NOM40,45G1,29300,V-FEIL_000-341104,2B,22,1,1,V-FEIL_000,34,11,4,7
9,25-02-24 1129,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU6274107,Y-TSCT-2B2209.5,2B2209.5,Y-TSCT-Q11,2BA22,R324,T-TJC19532-2 (TQ),FEIL_000,AEJEA,CNTSN,NOM96,NOM40,45G1,29300,V-FEIL_000-340904,2B,22,9,5,V-FEIL_000,34,9,4,7
