order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-03 1044,UNIT_YARD_MOVE,LOAD,EXPRT,OCGU2008424,Y-TSCT-1B3706.2,1B3706.2,Y-TSCT-Q06,1BA37,R314,T-TJCG7736-3 (TQ),GEBHG_006,NLRTM,CNTSN,NOM86,NOM20,22G1,28105,V-GEBHG_006-730302,1B,37,6,2,V-GEBHG_006,73,3,2,3
1,25-03-03 1046,UNIT_YARD_MOVE,LOAD,EXPRT,KOCU2033099,Y-TSCT-1B3706.1,1B3706.1,Y-TSCT-Q06,1BA37,R314,T-TJC85062-3 (TQ),GEBHG_006,NLRTM,CNTSN,NOM86,NOM20,22G1,29570,V-GEBHG_006-750302,1B,37,6,1,V-GEBHG_006,75,3,2,8
2,25-03-03 1054,UNIT_YARD_MOVE,LOAD,EXPRT,HMMU2131484,Y-TSCT-1B3705.2,1B3705.2,Y-TSCT-Q06,1BA37,R314,T-TJCJ2008-2 (TQ),GEBHG_006,NLRTM,CNTSN,NOM86,NOM20,22G1,29570,V-GEBHG_006-730402,1B,37,5,2,V-GEBHG_006,73,4,2,3
3,25-03-03 1056,UNIT_YARD_MOVE,LOAD,EXPRT,KOCU2118597,Y-TSCT-1B3705.1,1B3705.1,Y-TSCT-Q06,1BA37,R314,T-TJC97901-2 (TQ),GEBHG_006,NLRTM,CNTSN,NOM86,NOM20,22G1,28025,V-GEBHG_006-750402,1B,37,5,1,V-GEBHG_006,75,4,2,8
4,25-03-03 2036,UNIT_YARD_MOVE,LOAD,EXPRT,YMLU3467306,Y-TSCT-1B3707.1,1B3707.1,Y-TSCT-Q12,1BA37,R313,T-HBJ0H087-2 (TQ),GEBHG_006,KRPUS,CNTSN,NOM86,NOM20,22G1,4272,V-GEBHG_006-070912,1B,37,7,1,V-GEBHG_006,7,9,12,15
5,25-03-03 2320,UNIT_YARD_MOVE,LOAD,EXPRT,YMLU3501972,Y-TSCT-1B3711.3,1B3711.3,Y-TSCT-Q12,1BA37,R314,T-TJCK6182-2 (TQ),GEBHG_006,KRPUS,CNTSN,NOM86,NOM20,22G1,23600,V-GEBHG_006-050312,1B,37,11,3,V-GEBHG_006,5,3,12,7
6,25-03-03 2322,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU1638274,Y-TSCT-1B3711.2,1B3711.2,Y-TSCT-Q12,1BA37,R314,T-TJCD6963-2 (TQ),GEBHG_006,KRPUS,CNTSN,NOM86,NOM20,22G1,24280,V-GEBHG_006-070312,1B,37,11,2,V-GEBHG_006,7,3,12,6
7,25-03-03 2325,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU2642331,Y-TSCT-1B3710.3,1B3710.3,Y-TSCT-Q12,1BA37,R314,T-TJCJ2237-2 (TQ),GEBHG_006,KRPUS,CNTSN,NOM86,NOM20,22G1,29685,V-GEBHG_006-050212,1B,37,10,3,V-GEBHG_006,5,2,12,7
8,25-03-03 2327,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2769032,Y-TSCT-1B3710.2,1B3710.2,Y-TSCT-Q12,1BA37,R314,T-TJCJ2620-2 (TQ),GEBHG_006,KRPUS,CNTSN,NOM86,NOM20,22G1,29322,V-GEBHG_006-070212,1B,37,10,2,V-GEBHG_006,7,2,12,6
9,25-03-03 2331,UNIT_YARD_MOVE,LOAD,EXPRT,KKTU7961722,Y-TSCT-1B3709.3,1B3709.3,Y-TSCT-Q12,1BA37,R314,T-TJCM1213-2 (TQ),GEBHG_006,KRPUS,CNTSN,NOM86,NOM20,22G1,28820,V-GEBHG_006-050612,1B,37,9,3,V-GEBHG_006,5,6,12,7
10,25-03-03 2332,UNIT_YARD_MOVE,LOAD,EXPRT,KOCU2071782,Y-TSCT-1B3709.2,1B3709.2,Y-TSCT-Q12,1BA37,R314,T-TJCK6697-2 (TQ),GEBHG_006,KRPUS,CNTSN,NOM86,NOM20,22G1,29600,V-GEBHG_006-070612,1B,37,9,2,V-GEBHG_006,7,6,12,6
11,25-03-03 2338,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU3003057,Y-TSCT-1B3708.2,1B3708.2,Y-TSCT-Q12,1BA37,R314,T-TJCK0382-2 (TQ),GEBHG_006,KRPUS,CNTSN,NOM86,NOM20,22G1,27300,V-GEBHG_006-050214,1B,37,8,2,V-GEBHG_006,5,2,14,6
