order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-13 2202,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU2300952,Y-TSCT-1B5711.1,1B5711.1,Y-TSCT-Q12,1BA57,R313,T-TJCC6982-1 (TQ),GUANGH_01D,KRKAN,CNTSN,NOM86,NOM20,22U1,18330,V-GUANGH_01D-070506,1B,57,11,1,V-GUANGH_01D,7,5,6,0
1,25-02-13 1756,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2343205,Y-TSCT-1C7101.1,1C7101.1,Y-TSCT-Q12,1CA71,R315,T-TJC56969-2 (TQ),GUANGH_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,22240,V-GUANGH_01D-110706,1C,71,1,1,V-GUANGH_01D,11,7,6,1
2,25-02-13 1907,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2128517,Y-TSCT-1C7103.4,1C7103.4,Y-TSCT-Q12,1CA71,R315,T-TJC08850-2 (TQ),GUANGH_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,25100,V-GUANGH_01D-090102,1C,71,3,4,V-GUANGH_01D,9,1,2,1
3,25-02-13 1909,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2459130,Y-TSCT-1C7103.3,1C7103.3,Y-TSCT-Q12,1CA71,R315,T-TJCH1518-2 (TQ),GUANGH_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,25210,V-GUANGH_01D-110102,1C,71,3,3,V-GUANGH_01D,11,1,2,1
4,25-02-13 1911,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2358438,Y-TSCT-1C7103.2,1C7103.2,Y-TSCT-Q12,1CA71,R315,T-TJC98708-2 (TQ),GUANGH_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,25246,V-GUANGH_01D-090402,1C,71,3,2,V-GUANGH_01D,9,4,2,1
5,25-02-13 1914,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU3864340,Y-TSCT-1C7103.1,1C7103.1,Y-TSCT-Q12,1CA71,R315,T-TJCL7169-2 (TQ),GUANGH_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,25226,V-GUANGH_01D-110402,1C,71,3,1,V-GUANGH_01D,11,4,2,1
6,25-02-13 1918,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU0429409,Y-TSCT-1C7108.5,1C7108.5,Y-TSCT-Q12,1CA71,R315,T-TJC85288-3 (TQ),GUANGH_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,22400,V-GUANGH_01D-090504,1C,71,8,5,V-GUANGH_01D,9,5,4,1
7,25-02-13 1924,UNIT_YARD_MOVE,LOAD,EXPRT,CLHU3724402,Y-TSCT-1C7108.4,1C7108.4,Y-TSCT-Q12,1CA71,R315,T-TJC15639-2 (TQ),GUANGH_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,22400,V-GUANGH_01D-110504,1C,71,8,4,V-GUANGH_01D,11,5,4,1
8,25-02-13 1927,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU3763955,Y-TSCT-1C7108.3,1C7108.3,Y-TSCT-Q12,1CA71,R315,T-TJC56958-2 (TQ),GUANGH_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,22400,V-GUANGH_01D-090104,1C,71,8,3,V-GUANGH_01D,9,1,4,1
9,25-02-13 1929,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2586285,Y-TSCT-1C7108.2,1C7108.2,Y-TSCT-Q12,1CA71,R315,T-TJC78381-2 (TQ),GUANGH_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,20240,V-GUANGH_01D-110104,1C,71,8,2,V-GUANGH_01D,11,1,4,1
