order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-03 1524,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2994610,Y-TSCT-2A6911.4,2A6911.4,Y-TSCT-Q04,2AA69,R321,T-TJCC5970-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM86,NOM20,22G1,28620,V-GUANGH_01F-090202,2A,69,11,4,V-GUANGH_01F,9,2,2,3
1,25-03-03 1529,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2042706,Y-TSCT-2A6911.3,2A6911.3,Y-TSCT-Q04,2AA69,R321,T-TJC85951-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM86,NOM20,22G1,28590,V-GUANGH_01F-090204,2A,69,11,3,V-GUANGH_01F,9,2,4,3
2,25-03-03 1531,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2864107,Y-TSCT-2A6910.3,2A6910.3,Y-TSCT-Q04,2AA69,R321,T-TJC67829-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM86,NOM20,22G1,28620,V-GUANGH_01F-110204,2A,69,10,3,V-GUANGH_01F,11,2,4,3
3,25-03-03 1537,UNIT_YARD_MOVE,LOAD,EXPRT,GCXU2422348,Y-TSCT-2A6911.2,2A6911.2,Y-TSCT-Q04,2AA69,R321,T-TJC67810-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM86,NOM20,22G1,28510,V-GUANGH_01F-090604,2A,69,11,2,V-GUANGH_01F,9,6,4,3
4,25-03-03 1539,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2077321,Y-TSCT-2A6910.2,2A6910.2,Y-TSCT-Q04,2AA69,R321,T-TJC36298-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM86,NOM20,22G1,28640,V-GUANGH_01F-110604,2A,69,10,2,V-GUANGH_01F,11,6,4,3
5,25-03-03 1547,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2062512,Y-TSCT-2A6911.1,2A6911.1,Y-TSCT-Q04,2AA69,R321,T-TJCC5970-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM86,NOM20,22G1,28590,V-GUANGH_01F-090606,2A,69,11,1,V-GUANGH_01F,9,6,6,3
6,25-03-03 1548,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2090464,Y-TSCT-2A6910.1,2A6910.1,Y-TSCT-Q04,2AA69,R321,T-TJCE0790-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM86,NOM20,22G1,28620,V-GUANGH_01F-110606,2A,69,10,1,V-GUANGH_01F,11,6,6,3
7,25-03-03 1550,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2303190,Y-TSCT-2A6909.1,2A6909.1,Y-TSCT-Q04,2AA69,R321,T-TJC67810-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM86,NOM20,22G1,28590,V-GUANGH_01F-090208,2A,69,9,1,V-GUANGH_01F,9,2,8,3
8,25-03-03 1705,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2106605,Y-TSCT-2A6903.1,2A6903.1,Y-TSCT-Q03,2AA69,R321,T-TJCK2382-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,21000,V-GUANGH_01F-310404,2A,69,3,1,V-GUANGH_01F,31,4,4,3
9,25-03-03 1755,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1811771,Y-TSCT-2A6908.3,2A6908.3,Y-TSCT-Q04,2AA69,R321,T-TJCK6969-3 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,27280,V-GUANGH_01F-130502,2A,69,8,3,V-GUANGH_01F,13,5,2,3
10,25-03-03 1805,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1673672,Y-TSCT-2A6907.4,2A6907.4,Y-TSCT-Q04,2AA69,R321,T-TJCK6933-3 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,27280,V-GUANGH_01F-150102,2A,69,7,4,V-GUANGH_01F,15,1,2,3
11,25-03-03 1812,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU3092880,Y-TSCT-2A6907.3,2A6907.3,Y-TSCT-Q04,2AA69,R321,T-TJCK0259-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,26502,V-GUANGH_01F-130602,2A,69,7,3,V-GUANGH_01F,13,6,2,3
12,25-03-03 1814,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1413870,Y-TSCT-2A6907.2,2A6907.2,Y-TSCT-Q04,2AA69,R321,T-TJCB7392-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,27204,V-GUANGH_01F-150602,2A,69,7,2,V-GUANGH_01F,15,6,2,3
13,25-03-03 1817,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2489593,Y-TSCT-2A6907.1,2A6907.1,Y-TSCT-Q04,2AA69,R321,T-TJC79861-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,29230,V-GUANGH_01F-130504,2A,69,7,1,V-GUANGH_01F,13,5,4,3
14,25-03-03 1819,UNIT_YARD_MOVE,LOAD,EXPRT,CICU6382102,Y-TSCT-2A6906.5,2A6906.5,Y-TSCT-Q04,2AA69,R321,T-TJC91771-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,23360,V-GUANGH_01F-150504,2A,69,6,5,V-GUANGH_01F,15,5,4,3
15,25-03-03 1821,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1563588,Y-TSCT-2A6905.5,2A6905.5,Y-TSCT-Q04,2AA69,R321,T-TJC79880-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,21786,V-GUANGH_01F-130104,2A,69,5,5,V-GUANGH_01F,13,1,4,3
16,25-03-03 1822,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0483706,Y-TSCT-2A6905.4,2A6905.4,Y-TSCT-Q04,2AA69,R321,T-TJC85027-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,22600,V-GUANGH_01F-150104,2A,69,5,4,V-GUANGH_01F,15,1,4,3
17,25-03-03 1824,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5800038,Y-TSCT-2A6906.4,2A6906.4,Y-TSCT-Q04,2AA69,R321,T-TJCA8290-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,22600,V-GUANGH_01F-130604,2A,69,6,4,V-GUANGH_01F,13,6,4,3
18,25-03-03 1826,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU0729360,Y-TSCT-2A6906.3,2A6906.3,Y-TSCT-Q04,2AA69,R321,T-TJC55102-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,21830,V-GUANGH_01F-150604,2A,69,6,3,V-GUANGH_01F,15,6,4,3
19,25-03-03 1828,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2109899,Y-TSCT-2A6906.2,2A6906.2,Y-TSCT-Q04,2AA69,R321,T-TJCG1533-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,23700,V-GUANGH_01F-130706,2A,69,6,2,V-GUANGH_01F,13,7,6,3
20,25-03-03 1830,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2329168,Y-TSCT-2A6906.1,2A6906.1,Y-TSCT-Q04,2AA69,R321,T-TJCB8678-3 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,21940,V-GUANGH_01F-150706,2A,69,6,1,V-GUANGH_01F,15,7,6,3
21,25-03-03 1839,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3980356,Y-TSCT-2A6905.3,2A6905.3,Y-TSCT-Q04,2AA69,R321,T-TJC85951-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,22140,V-GUANGH_01F-130306,2A,69,5,3,V-GUANGH_01F,13,3,6,3
22,25-03-03 1841,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2021004,Y-TSCT-2A6905.2,2A6905.2,Y-TSCT-Q04,2AA69,R321,T-TJCE2960-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,22580,V-GUANGH_01F-150306,2A,69,5,2,V-GUANGH_01F,15,3,6,3
23,25-03-03 1844,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1412658,Y-TSCT-2A6905.1,2A6905.1,Y-TSCT-Q04,2AA69,R321,T-TJC55572-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,22640,V-GUANGH_01F-130406,2A,69,5,1,V-GUANGH_01F,13,4,6,3
24,25-03-03 1846,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1607259,Y-TSCT-2A6902.2,2A6902.2,Y-TSCT-Q04,2AA69,R321,T-TJC85951-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,16475,V-GUANGH_01F-150406,2A,69,2,2,V-GUANGH_01F,15,4,6,3
25,25-03-03 1854,UNIT_YARD_MOVE,LOAD,EXPRT,XHCU2680598,Y-TSCT-2A6902.1,2A6902.1,Y-TSCT-Q04,2AA69,R321,T-TJC67096-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,18180,V-GUANGH_01F-130708,2A,69,2,1,V-GUANGH_01F,13,7,8,3
26,25-03-03 1903,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1901134,Y-TSCT-2A6904.2,2A6904.2,Y-TSCT-Q04,2AA69,R321,T-TJC55850-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,8486,V-GUANGH_01F-130408,2A,69,4,2,V-GUANGH_01F,13,4,8,3
27,25-03-03 1905,UNIT_YARD_MOVE,LOAD,EXPRT,CICU7760676,Y-TSCT-2A6904.1,2A6904.1,Y-TSCT-Q04,2AA69,R321,T-TJC79698-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM86,NOM20,22G1,7193,V-GUANGH_01F-150408,2A,69,4,1,V-GUANGH_01F,15,4,8,3
28,25-03-03 1552,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9534253,Y-TSCT-2A7201.3,2A7201.3,Y-TSCT-Q04,2AA72,R321,T-TJCK6380-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM96,NOM40,45G1,11080,V-GUANGH_01F-100608,2A,72,1,3,V-GUANGH_01F,10,6,8,3
29,25-03-03 1554,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9108319,Y-TSCT-2A7201.2,2A7201.2,Y-TSCT-Q04,2AA72,R321,T-TJCK6780-2 (TQ),GUANGH_01F,KRKAN,CNTSN,NOM96,NOM40,45G1,10150,V-GUANGH_01F-100808,2A,72,1,2,V-GUANGH_01F,10,8,8,3
30,25-03-03 1747,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU5857981,Y-TSCT-2A7210.3,2A7210.3,Y-TSCT-Q03,2AA72,R321,T-TJCJ7368-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,13004,V-GUANGH_01F-300710,2A,72,10,3,V-GUANGH_01F,30,7,10,3
31,25-03-03 2210,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6072294,Y-TSCT-2A7206.3,2A7206.3,Y-TSCT-Q06,2AA72,R322,T-TJCB2091-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,21890,V-GUANGH_01F-260304,2A,72,6,3,V-GUANGH_01F,26,3,4,3
32,25-03-03 2220,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6382671,Y-TSCT-2A7206.2,2A7206.2,Y-TSCT-Q06,2AA72,R321,T-TJC85838-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,21740,V-GUANGH_01F-260404,2A,72,6,2,V-GUANGH_01F,26,4,4,3
33,25-03-03 2222,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU8302103,Y-TSCT-2A7206.1,2A7206.1,Y-TSCT-Q06,2AA72,R321,T-TJC55850-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,21560,V-GUANGH_01F-260306,2A,72,6,1,V-GUANGH_01F,26,3,6,3
34,25-03-03 2225,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU8123350,Y-TSCT-2A7207.2,2A7207.2,Y-TSCT-Q06,2AA72,R322,T-HBFN6631-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,23918,V-GUANGH_01F-260106,2A,72,7,2,V-GUANGH_01F,26,1,6,3
35,25-03-03 2227,UNIT_YARD_MOVE,LOAD,EXPRT,HALU5688345,Y-TSCT-2A7207.1,2A7207.1,Y-TSCT-Q06,2AA72,R322,T-TJCM5328-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,23732,V-GUANGH_01F-260206,2A,72,7,1,V-GUANGH_01F,26,2,6,3
36,25-03-03 2231,UNIT_YARD_MOVE,LOAD,EXPRT,CKLU4109697,Y-TSCT-2A7209.1,2A7209.1,Y-TSCT-Q06,2AA72,R321,T-TJCK6528-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,25952,V-GUANGH_01F-260406,2A,72,9,1,V-GUANGH_01F,26,4,6,3
37,25-03-03 2233,UNIT_YARD_MOVE,LOAD,EXPRT,THKU1033776,Y-TSCT-2A7205.4,2A7205.4,Y-TSCT-Q06,2AA72,R321,T-TJCF1716-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,19280,V-GUANGH_01F-260308,2A,72,5,4,V-GUANGH_01F,26,3,8,3
38,25-03-03 2234,UNIT_YARD_MOVE,LOAD,EXPRT,GCXU6004325,Y-TSCT-2A7205.3,2A7205.3,Y-TSCT-Q06,2AA72,R321,T-TJCH8695-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,16846,V-GUANGH_01F-260108,2A,72,5,3,V-GUANGH_01F,26,1,8,3
39,25-03-03 2239,UNIT_YARD_MOVE,LOAD,EXPRT,THKU1017420,Y-TSCT-2A7205.2,2A7205.2,Y-TSCT-Q06,2AA72,R321,T-TJCF1117-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,15510,V-GUANGH_01F-260208,2A,72,5,2,V-GUANGH_01F,26,2,8,3
40,25-03-03 2241,UNIT_YARD_MOVE,LOAD,EXPRT,THKU1001629,Y-TSCT-2A7205.1,2A7205.1,Y-TSCT-Q06,2AA72,R321,T-TJC65316-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,17100,V-GUANGH_01F-260408,2A,72,5,1,V-GUANGH_01F,26,4,8,3
41,25-03-03 2255,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6398560,Y-TSCT-2A7208.2,2A7208.2,Y-TSCT-Q06,2AA72,R321,T-HBFN5272-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,12152,V-GUANGH_01F-260582,2A,72,8,2,V-GUANGH_01F,26,5,82,3
42,25-03-03 2256,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU4757459,Y-TSCT-2A7208.1,2A7208.1,Y-TSCT-Q06,2AA72,R321,T-HBFP0471-2 (TQ),GUANGH_01F,KRPUS,CNTSN,NOM96,NOM40,45G1,11537,V-GUANGH_01F-260382,2A,72,8,1,V-GUANGH_01F,26,3,82,3
