order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-14 0441,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3261440,Y-TSCT-1A4501.1,1A4501.1,Y-TSCT-Q05,1AA45,R311,T-TJCG1606-2 (TQ),GUANGH_020,KRKAN,CNTSN,NOM86,NOM20,22G1,22280,V-GUANGH_020-190204,1A,45,1,1,V-GUANGH_020,19,2,4,1
1,25-03-14 0509,UNIT_YARD_MOVE,LOAD,EXPRT,GCXU5067782,Y-TSCT-3A1802.3,3A1802.3,Y-TSCT-Q05,3AA18,R332,T-TJCG8261-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,30175,V-GUANGH_020-180302,3A,18,2,3,V-GUANGH_020,18,3,2,0
2,25-03-14 0511,UNIT_YARD_MOVE,LOAD,EXPRT,GESU6802570,Y-TSCT-3A1802.2,3A1802.2,Y-TSCT-Q05,3AA18,R332,T-TJC55285-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,31410,V-GUANGH_020-180402,3A,18,2,2,V-GUANGH_020,18,4,2,0
3,25-03-14 0513,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6517815,Y-TSCT-3A1802.1,3A1802.1,Y-TSCT-Q05,3AA18,R332,T-TJCG1672-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,31410,V-GUANGH_020-180404,3A,18,2,1,V-GUANGH_020,18,4,4,0
4,25-03-14 0817,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9305869,Y-TSCT-3A1804.5,3A1804.5,Y-TSCT-Q05,3AA18,R332,T-TJCG1138-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,13394,V-GUANGH_020-140982,3A,18,4,5,V-GUANGH_020,14,9,82,0
5,25-03-14 0821,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU5477103,Y-TSCT-3A1803.5,3A1803.5,Y-TSCT-Q05,3AA18,R332,T-TJCB7029-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,14555,V-GUANGH_020-140782,3A,18,3,5,V-GUANGH_020,14,7,82,0
6,25-03-14 0855,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6356311,Y-TSCT-3A1806.1,3A1806.1,Y-TSCT-Q05,3AA18,R332,T-TJCC6982-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,12656,V-GUANGH_020-140784,3A,18,6,1,V-GUANGH_020,14,7,84,0
7,25-03-14 0900,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU2274608,Y-TSCT-3A1805.5,3A1805.5,Y-TSCT-Q05,3AA18,R332,T-TJCG1315-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,11870,V-GUANGH_020-140584,3A,18,5,5,V-GUANGH_020,14,5,84,0
8,25-03-14 0902,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9926589,Y-TSCT-3A1805.4,3A1805.4,Y-TSCT-Q05,3AA18,R332,T-TJCK6339-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,11676,V-GUANGH_020-140384,3A,18,5,4,V-GUANGH_020,14,3,84,0
9,25-03-14 0920,UNIT_YARD_MOVE,LOAD,EXPRT,FDCU0079793,Y-TSCT-3A1808.1,3A1808.1,Y-TSCT-Q06,3AA18,R332,T-TJA05252D-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,10875,V-GUANGH_020-020682,3A,18,8,1,V-GUANGH_020,2,6,82,0
10,25-03-14 0925,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU6743233,Y-TSCT-3A1801.1,3A1801.1,Y-TSCT-Q06,3AA18,R332,T-TJCK8853-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,8150,V-GUANGH_020-020184,3A,18,1,1,V-GUANGH_020,2,1,84,0
11,25-03-14 0937,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6369601,Y-TSCT-3A1805.3,3A1805.3,Y-TSCT-Q05,3AA18,R332,T-TJCC6982-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,13452,V-GUANGH_020-140184,3A,18,5,3,V-GUANGH_020,14,1,84,0
12,25-03-14 0942,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU4435469,Y-TSCT-3A1807.1,3A1807.1,Y-TSCT-Q06,3AA18,R332,T-TJA02667D-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,10710,V-GUANGH_020-020684,3A,18,7,1,V-GUANGH_020,2,6,84,0
13,25-03-14 0945,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9526983,Y-TSCT-3A1805.2,3A1805.2,Y-TSCT-Q05,3AA18,R332,T-TJCE2696-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,13739,V-GUANGH_020-140284,3A,18,5,2,V-GUANGH_020,14,2,84,0
14,25-03-14 0950,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU8451201,Y-TSCT-3A1803.4,3A1803.4,Y-TSCT-Q05,3AA18,R332,T-TJCC6982-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,13664,V-GUANGH_020-140484,3A,18,3,4,V-GUANGH_020,14,4,84,0
15,25-03-14 0952,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9521045,Y-TSCT-3A1803.3,3A1803.3,Y-TSCT-Q05,3AA18,R332,T-TJCM1500-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,14340,V-GUANGH_020-140684,3A,18,3,3,V-GUANGH_020,14,6,84,0
16,25-03-14 0955,UNIT_YARD_MOVE,LOAD,EXPRT,HLHU8371880,Y-TSCT-3A1805.1,3A1805.1,Y-TSCT-Q05,3AA18,R332,T-TJCE2555-2 (TQ),GUANGH_020,KRPUS,CNTSN,NOM96,NOM40,45G1,11196,V-GUANGH_020-141084,3A,18,5,1,V-GUANGH_020,14,10,84,0
