order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-01 0041,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2043795,Y-TSCT-1B2102.3,1B2102.3,Y-TSCT-Q08,1BA21,R314,V-HONGDX58_067-250102,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-250784,1B,21,2,3,V-GUANGZ2_0C1,25,7,84,7
1,25-03-01 0043,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2046916,Y-TSCT-1B2101.3,1B2101.3,Y-TSCT-Q08,1BA21,R314,V-HONGDX58_067-230102,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-270784,1B,21,1,3,V-GUANGZ2_0C1,27,7,84,7
2,25-03-01 0142,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2148820,Y-TSCT-1B2102.2,1B2102.2,Y-TSCT-Q08,1BA21,R314,V-FANGHML_005-330290,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-250484,1B,21,2,2,V-GUANGZ2_0C1,25,4,84,7
3,25-03-01 0145,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU1650254,Y-TSCT-1B2101.2,1B2101.2,Y-TSCT-Q08,1BA21,R314,V-FANGHML_005-190288,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-270484,1B,21,1,2,V-GUANGZ2_0C1,27,4,84,7
4,25-03-01 0223,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2093522,Y-TSCT-1B2102.1,1B2102.1,Y-TSCT-Q08,1BA21,R314,V-FANGHML_005-130688,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-250286,1B,21,2,1,V-GUANGZ2_0C1,25,2,86,7
5,25-03-01 0226,UNIT_YARD_MOVE,LOAD,EXPRT,SLSU2041756,Y-TSCT-1B2101.1,1B2101.1,Y-TSCT-Q08,1BA21,R314,V-HONGDX58_067-190102,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-270286,1B,21,1,1,V-GUANGZ2_0C1,27,2,86,7
6,25-03-01 0012,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2173675,Y-TSCT-1C2307.5,1C2307.5,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-230382,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-410782,1C,23,7,5,V-GUANGZ2_0C1,41,7,82,11
7,25-03-01 0014,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU1442074,Y-TSCT-1C2306.5,1C2306.5,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-250284,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-430782,1C,23,6,5,V-GUANGZ2_0C1,43,7,82,11
8,25-03-01 0024,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2096706,Y-TSCT-1C2305.5,1C2305.5,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-250308,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-410382,1C,23,5,5,V-GUANGZ2_0C1,41,3,82,11
9,25-03-01 0028,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2095560,Y-TSCT-1C2304.5,1C2304.5,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-130284,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-430382,1C,23,4,5,V-GUANGZ2_0C1,43,3,82,11
10,25-03-01 0029,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU4728453,Y-TSCT-1C2303.5,1C2303.5,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-230186,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-410082,1C,23,3,5,V-GUANGZ2_0C1,41,0,82,11
11,25-03-01 0031,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2226184,Y-TSCT-1C2307.4,1C2307.4,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-110882,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-430082,1C,23,7,4,V-GUANGZ2_0C1,43,0,82,11
12,25-03-01 0051,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2146113,Y-TSCT-1C2311.2,1C2311.2,Y-TSCT-Q08,1CA23,R316,V-XINHX_50D-170408,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-250012,1C,23,11,2,V-GUANGZ2_0C1,25,0,12,11
13,25-03-01 0053,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2094311,Y-TSCT-1C2311.1,1C2311.1,Y-TSCT-Q08,1CA23,R316,V-XINHX_50D-130584,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-270012,1C,23,11,1,V-GUANGZ2_0C1,27,0,12,11
14,25-03-01 0057,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU1727844,Y-TSCT-1C2302.3,1C2302.3,Y-TSCT-Q08,1CA23,R316,V-XINHX_50D-110306,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-270412,1C,23,2,3,V-GUANGZ2_0C1,27,4,12,11
15,25-03-01 0059,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU1443928,Y-TSCT-1C2302.2,1C2302.2,Y-TSCT-Q08,1CA23,R316,V-XINHX_50D-230784,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-250812,1C,23,2,2,V-GUANGZ2_0C1,25,8,12,11
16,25-03-01 0102,UNIT_YARD_MOVE,LOAD,EXPRT,SLSU2070179,Y-TSCT-1C2302.1,1C2302.1,Y-TSCT-Q08,1CA23,R316,V-XINHX_50D-110504,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-270812,1C,23,2,1,V-GUANGZ2_0C1,27,8,12,11
17,25-03-01 0104,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2089824,Y-TSCT-1C2306.4,1C2306.4,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-150884,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-410482,1C,23,6,4,V-GUANGZ2_0C1,41,4,82,11
18,25-03-01 0106,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU1395670,Y-TSCT-1C2305.4,1C2305.4,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-110886,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-430482,1C,23,5,4,V-GUANGZ2_0C1,43,4,82,11
19,25-03-01 0109,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU1286243,Y-TSCT-1C2304.4,1C2304.4,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-030182,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-410882,1C,23,4,4,V-GUANGZ2_0C1,41,8,82,11
20,25-03-01 0117,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2187920,Y-TSCT-1C2303.4,1C2303.4,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-170182,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-430882,1C,23,3,4,V-GUANGZ2_0C1,43,8,82,11
21,25-03-01 0142,UNIT_YARD_MOVE,LOAD,EXPRT,TTNU1243554,Y-TSCT-1C2307.3,1C2307.3,Y-TSCT-Q07,1CA23,R316,V-HONGDX58_067-250490,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-411184,1C,23,7,3,V-GUANGZ2_0C1,41,11,84,11
22,25-03-01 0144,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU1335224,Y-TSCT-1C2306.3,1C2306.3,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-010582,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-431184,1C,23,6,3,V-GUANGZ2_0C1,43,11,84,11
23,25-03-01 0146,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU1449551,Y-TSCT-1C2305.3,1C2305.3,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-230284,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-410784,1C,23,5,3,V-GUANGZ2_0C1,41,7,84,11
24,25-03-01 0148,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2226029,Y-TSCT-1C2304.3,1C2304.3,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-110682,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-430784,1C,23,4,3,V-GUANGZ2_0C1,43,7,84,11
25,25-03-01 0149,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2162428,Y-TSCT-1C2306.2,1C2306.2,Y-TSCT-Q07,1CA23,R316,V-XINHX_50D-050108,GUANGZ2_0C1,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-GUANGZ2_0C1-410084,1C,23,6,2,V-GUANGZ2_0C1,41,0,84,11
