order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-17 1234,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5826485,Y-TSCT-2B2103.3,2B2103.3,Y-TSCT-Q09,2BA21,R324,V-XINXZ_089-511184,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2300,V-HEXHH_073-050602,2B,21,3,3,V-HEXHH_073,5,6,2,2
1,25-02-17 1236,UNIT_YARD_MOVE,LOAD,EXPRT,UETU2302491,Y-TSCT-2B2111.3,2B2111.3,Y-TSCT-Q09,2BA21,R324,V-XINXZ_089-011090,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2300,V-HEXHH_073-030102,2B,21,11,3,V-HEXHH_073,3,1,2,2
2,25-02-17 1238,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5781257,Y-TSCT-2B2111.2,2B2111.2,Y-TSCT-Q09,2BA21,R324,V-XINXZ_089-450908,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2300,V-HEXHH_073-050102,2B,21,11,2,V-HEXHH_073,5,1,2,2
3,25-02-17 1240,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5237612,Y-TSCT-2B2110.3,2B2110.3,Y-TSCT-Q09,2BA21,R324,V-XINXZ_089-491396,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2300,V-HEXHH_073-030402,2B,21,10,3,V-HEXHH_073,3,4,2,2
4,25-02-17 1242,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU2030537,Y-TSCT-2B2110.2,2B2110.2,Y-TSCT-Q09,2BA21,R324,V-XINXZ_089-151208,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2300,V-HEXHH_073-050402,2B,21,10,2,V-HEXHH_073,5,4,2,2
5,25-02-17 1251,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU1462120,Y-TSCT-2B2109.3,2B2109.3,Y-TSCT-Q09,2BA21,R324,V-XINXZ_089-490496,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2300,V-HEXHH_073-030304,2B,21,9,3,V-HEXHH_073,3,3,4,2
6,25-02-17 1252,UNIT_YARD_MOVE,LOAD,EXPRT,CBHU4508666,Y-TSCT-2B2109.2,2B2109.2,Y-TSCT-Q09,2BA21,R324,V-XINXZ_089-570284,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2300,V-HEXHH_073-050304,2B,21,9,2,V-HEXHH_073,5,3,4,2
7,25-02-17 1254,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU1711599,Y-TSCT-2B2108.3,2B2108.3,Y-TSCT-Q09,2BA21,R324,V-XINXZ_089-511090,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2300,V-HEXHH_073-030204,2B,21,8,3,V-HEXHH_073,3,2,4,2
8,25-02-17 1256,UNIT_YARD_MOVE,LOAD,EXPRT,CBHU5791626,Y-TSCT-2B2108.2,2B2108.2,Y-TSCT-Q09,2BA21,R324,V-XINXZ_089-190706,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2300,V-HEXHH_073-050204,2B,21,8,2,V-HEXHH_073,5,2,4,2
9,25-02-17 1311,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU1369531,Y-TSCT-2B2107.3,2B2107.3,Y-TSCT-Q09,2BA21,R324,V-BAOACH79_11E-030404,HEXHH_073,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-HEXHH_073-030604,2B,21,7,3,V-HEXHH_073,3,6,4,2
