order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-05 1650,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU1269014,Y-TSCT-1C6505.5,1C6505.5,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-630912,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,29300,V-HEXHH_08B-030504,1C,65,5,5,V-HEXHH_08B,3,5,4,2
1,25-04-05 1653,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU2044770,Y-TSCT-1C6504.5,1C6504.5,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-630914,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,28760,V-HEXHH_08B-030604,1C,65,4,5,V-HEXHH_08B,3,6,4,2
2,25-04-05 1654,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2558007,Y-TSCT-1C6503.5,1C6503.5,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-610310,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,29040,V-HEXHH_08B-050604,1C,65,3,5,V-HEXHH_08B,5,6,4,2
3,25-04-05 1658,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6931831,Y-TSCT-1C6506.4,1C6506.4,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-710202,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,29300,V-HEXHH_08B-030306,1C,65,6,4,V-HEXHH_08B,3,3,6,2
4,25-04-05 1700,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5096409,Y-TSCT-1C6505.4,1C6505.4,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-610912,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,29300,V-HEXHH_08B-050306,1C,65,5,4,V-HEXHH_08B,5,3,6,2
5,25-04-05 1711,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU3174921,Y-TSCT-1C6504.4,1C6504.4,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-630710,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,28900,V-HEXHH_08B-030206,1C,65,4,4,V-HEXHH_08B,3,2,6,2
6,25-04-05 1713,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU2608643,Y-TSCT-1C6503.4,1C6503.4,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-610106,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,29360,V-HEXHH_08B-050206,1C,65,3,4,V-HEXHH_08B,5,2,6,2
7,25-04-05 1730,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3455627,Y-TSCT-1C6506.3,1C6506.3,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-690202,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,29400,V-HEXHH_08B-030606,1C,65,6,3,V-HEXHH_08B,3,6,6,2
8,25-04-05 1732,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6084085,Y-TSCT-1C6505.3,1C6505.3,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-630708,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,29480,V-HEXHH_08B-050606,1C,65,5,3,V-HEXHH_08B,5,6,6,2
9,25-04-05 1738,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU2292274,Y-TSCT-1C6504.3,1C6504.3,Y-TSCT-Q12,1CA65,R315,V-DIN1_000-610710,HEXHH_08B,CNJNZ,CNTSN,NOM86,NOM20,22G1,29040,V-HEXHH_08B-030308,1C,65,4,3,V-HEXHH_08B,3,3,8,2
