order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-11 1148,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5401101,Y-TSCT-1A5111.4,1A5111.4,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-070102,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29430,V-HEXHH_08E-150302,1A,51,11,4,V-HEXHH_08E,15,3,2,1
1,25-04-11 1150,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU3635649,Y-TSCT-1A5111.3,1A5111.3,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-050102,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29398,V-HEXHH_08E-170302,1A,51,11,3,V-HEXHH_08E,17,3,2,1
2,25-04-11 1154,UNIT_YARD_MOVE,LOAD,EXPRT,MSCU3481420,Y-TSCT-1A5108.5,1A5108.5,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-590574,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29476,V-HEXHH_08E-110302,1A,51,8,5,V-HEXHH_08E,11,3,2,1
3,25-04-11 1156,UNIT_YARD_MOVE,LOAD,EXPRT,FYCU7024665,Y-TSCT-1A5108.4,1A5108.4,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-511908,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29426,V-HEXHH_08E-130302,1A,51,8,4,V-HEXHH_08E,13,3,2,1
4,25-04-11 1159,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU3405668,Y-TSCT-1A5108.3,1A5108.3,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-511708,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29298,V-HEXHH_08E-110202,1A,51,8,3,V-HEXHH_08E,11,2,2,1
5,25-04-11 1201,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5847095,Y-TSCT-1A5108.2,1A5108.2,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-511712,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29496,V-HEXHH_08E-130202,1A,51,8,2,V-HEXHH_08E,13,2,2,1
6,25-04-11 1207,UNIT_YARD_MOVE,LOAD,EXPRT,TTNU1208213,Y-TSCT-1A5108.1,1A5108.1,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-330472,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29282,V-HEXHH_08E-110602,1A,51,8,1,V-HEXHH_08E,11,6,2,1
7,25-04-11 1209,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1479285,Y-TSCT-1A5107.5,1A5107.5,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-671010,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29318,V-HEXHH_08E-130602,1A,51,7,5,V-HEXHH_08E,13,6,2,1
8,25-04-11 1213,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2911813,Y-TSCT-1A5107.4,1A5107.4,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-511302,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29370,V-HEXHH_08E-110304,1A,51,7,4,V-HEXHH_08E,11,3,4,1
9,25-04-11 1215,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU2598427,Y-TSCT-1A5107.3,1A5107.3,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-131214,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29558,V-HEXHH_08E-130304,1A,51,7,3,V-HEXHH_08E,13,3,4,1
10,25-04-11 1220,UNIT_YARD_MOVE,LOAD,EXPRT,GLDU9478389,Y-TSCT-1A5107.2,1A5107.2,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-511512,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29443,V-HEXHH_08E-110204,1A,51,7,2,V-HEXHH_08E,11,2,4,1
11,25-04-11 1222,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1373293,Y-TSCT-1A5107.1,1A5107.1,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-131616,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,28848,V-HEXHH_08E-130204,1A,51,7,1,V-HEXHH_08E,13,2,4,1
12,25-04-11 1232,UNIT_YARD_MOVE,LOAD,EXPRT,FBIU0260310,Y-TSCT-1A5111.2,1A5111.2,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-330106,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29498,V-HEXHH_08E-150202,1A,51,11,2,V-HEXHH_08E,15,2,2,1
13,25-04-11 1234,UNIT_YARD_MOVE,LOAD,EXPRT,FBIU0454871,Y-TSCT-1A5111.1,1A5111.1,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-050816,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29316,V-HEXHH_08E-170202,1A,51,11,1,V-HEXHH_08E,17,2,2,1
14,25-04-11 1238,UNIT_YARD_MOVE,LOAD,EXPRT,FYCU7070296,Y-TSCT-1A5110.5,1A5110.5,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-030472,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29412,V-HEXHH_08E-150602,1A,51,10,5,V-HEXHH_08E,15,6,2,1
15,25-04-11 1240,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2060673,Y-TSCT-1A5110.4,1A5110.4,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-030672,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29440,V-HEXHH_08E-170602,1A,51,10,4,V-HEXHH_08E,17,6,2,1
16,25-04-11 1245,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU1670981,Y-TSCT-1A5110.3,1A5110.3,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-591408,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29410,V-HEXHH_08E-150304,1A,51,10,3,V-HEXHH_08E,15,3,4,1
17,25-04-11 1248,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2424395,Y-TSCT-1A5110.2,1A5110.2,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-590712,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29282,V-HEXHH_08E-170304,1A,51,10,2,V-HEXHH_08E,17,3,4,1
18,25-04-11 1252,UNIT_YARD_MOVE,LOAD,EXPRT,CORU2409280,Y-TSCT-1A5110.1,1A5110.1,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-590502,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29368,V-HEXHH_08E-150204,1A,51,10,1,V-HEXHH_08E,15,2,4,1
19,25-04-11 1257,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU2673487,Y-TSCT-1A5109.5,1A5109.5,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-590106,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29436,V-HEXHH_08E-170204,1A,51,9,5,V-HEXHH_08E,17,2,4,1
20,25-04-11 1305,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1760121,Y-TSCT-1A5109.4,1A5109.4,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-570308,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29500,V-HEXHH_08E-150604,1A,51,9,4,V-HEXHH_08E,15,6,4,1
21,25-04-11 1307,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU2842254,Y-TSCT-1A5109.3,1A5109.3,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-590310,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29342,V-HEXHH_08E-170604,1A,51,9,3,V-HEXHH_08E,17,6,4,1
22,25-04-11 1311,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU1173172,Y-TSCT-1A5109.2,1A5109.2,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-590112,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29572,V-HEXHH_08E-150306,1A,51,9,2,V-HEXHH_08E,15,3,6,1
23,25-04-11 1313,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2897274,Y-TSCT-1A5109.1,1A5109.1,Y-TSCT-Q06,1AA51,R311,V-MIXEKPLN_000-590514,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29288,V-HEXHH_08E-170306,1A,51,9,1,V-HEXHH_08E,17,3,6,1
24,25-04-11 1100,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2322135,Y-TSCT-4A1905.4,4A1905.4,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-572108,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29606,V-HEXHH_08E-070302,4A,19,5,4,V-HEXHH_08E,7,3,2,0
25,25-04-11 1103,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1067138,Y-TSCT-4A1905.3,4A1905.3,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-591910,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29276,V-HEXHH_08E-090302,4A,19,5,3,V-HEXHH_08E,9,3,2,0
26,25-04-11 1105,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5164252,Y-TSCT-4A1905.2,4A1905.2,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-571910,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29418,V-HEXHH_08E-070202,4A,19,5,2,V-HEXHH_08E,7,2,2,0
27,25-04-11 1107,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU1780807,Y-TSCT-4A1905.1,4A1905.1,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-591304,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29410,V-HEXHH_08E-090202,4A,19,5,1,V-HEXHH_08E,9,2,2,0
28,25-04-11 1110,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU2788407,Y-TSCT-4A1904.5,4A1904.5,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-591108,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29298,V-HEXHH_08E-070602,4A,19,4,5,V-HEXHH_08E,7,6,2,0
29,25-04-11 1112,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU2649490,Y-TSCT-4A1904.4,4A1904.4,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-591310,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29382,V-HEXHH_08E-090602,4A,19,4,4,V-HEXHH_08E,9,6,2,0
30,25-04-11 1114,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU3514082,Y-TSCT-4A1904.3,4A1904.3,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-031020,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29316,V-HEXHH_08E-070304,4A,19,4,3,V-HEXHH_08E,7,3,4,0
31,25-04-11 1118,UNIT_YARD_MOVE,LOAD,EXPRT,CARU2005611,Y-TSCT-4A1904.2,4A1904.2,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-271402,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29484,V-HEXHH_08E-090304,4A,19,4,2,V-HEXHH_08E,9,3,4,0
32,25-04-11 1129,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1959900,Y-TSCT-4A1904.1,4A1904.1,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-252004,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29384,V-HEXHH_08E-070204,4A,19,4,1,V-HEXHH_08E,7,2,4,0
33,25-04-11 1131,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1474431,Y-TSCT-4A1903.5,4A1903.5,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-251902,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29294,V-HEXHH_08E-090204,4A,19,3,5,V-HEXHH_08E,9,2,4,0
34,25-04-11 1133,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5999290,Y-TSCT-4A1903.4,4A1903.4,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-050616,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29450,V-HEXHH_08E-070604,4A,19,3,4,V-HEXHH_08E,7,6,4,0
35,25-04-11 1135,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU2393793,Y-TSCT-4A1903.3,4A1903.3,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-350606,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29204,V-HEXHH_08E-090604,4A,19,3,3,V-HEXHH_08E,9,6,4,0
36,25-04-11 1142,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1821382,Y-TSCT-4A1903.2,4A1903.2,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-590774,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29530,V-HEXHH_08E-070306,4A,19,3,2,V-HEXHH_08E,7,3,6,0
37,25-04-11 1147,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU2545353,Y-TSCT-4A1903.1,4A1903.1,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-131512,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29498,V-HEXHH_08E-090306,4A,19,3,1,V-HEXHH_08E,9,3,6,0
38,25-04-11 1152,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU3090905,Y-TSCT-4A1902.4,4A1902.4,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-592004,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29336,V-HEXHH_08E-070206,4A,19,2,4,V-HEXHH_08E,7,2,6,0
39,25-04-11 1154,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3982317,Y-TSCT-4A1902.3,4A1902.3,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-590772,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29354,V-HEXHH_08E-090206,4A,19,2,3,V-HEXHH_08E,9,2,6,0
40,25-04-11 1156,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU1730647,Y-TSCT-4A1902.2,4A1902.2,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-491504,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29296,V-HEXHH_08E-070606,4A,19,2,2,V-HEXHH_08E,7,6,6,0
41,25-04-11 1158,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2558455,Y-TSCT-4A1902.1,4A1902.1,Y-TSCT-Q06,4AA19,R342,V-MIXEKPLN_000-131612,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29496,V-HEXHH_08E-090606,4A,19,2,1,V-HEXHH_08E,9,6,6,0
42,25-04-11 1156,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5905150,Y-TSCT-5B3904.5,5B3904.5,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-491402,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29448,V-HEXHH_08E-110502,5B,39,4,5,V-HEXHH_08E,11,5,2,0
43,25-04-11 1158,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2386891,Y-TSCT-5B3904.4,5B3904.4,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-411614,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29410,V-HEXHH_08E-130502,5B,39,4,4,V-HEXHH_08E,13,5,2,0
44,25-04-11 1202,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2544662,Y-TSCT-5B3903.5,5B3903.5,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-411572,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29436,V-HEXHH_08E-110102,5B,39,3,5,V-HEXHH_08E,11,1,2,0
45,25-04-11 1204,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6007134,Y-TSCT-5B3903.4,5B3903.4,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-731616,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29522,V-HEXHH_08E-130102,5B,39,3,4,V-HEXHH_08E,13,1,2,0
46,25-04-11 1212,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1083490,Y-TSCT-5B3905.3,5B3905.3,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-151274,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29420,V-HEXHH_08E-110402,5B,39,5,3,V-HEXHH_08E,11,4,2,0
47,25-04-11 1214,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6177757,Y-TSCT-5B3905.2,5B3905.2,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-132272,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29400,V-HEXHH_08E-130402,5B,39,5,2,V-HEXHH_08E,13,4,2,0
48,25-04-11 1216,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU1488716,Y-TSCT-5B3904.3,5B3904.3,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-491208,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29346,V-HEXHH_08E-110504,5B,39,4,3,V-HEXHH_08E,11,5,4,0
49,25-04-11 1218,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6176983,Y-TSCT-5B3904.2,5B3904.2,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-731516,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29440,V-HEXHH_08E-130504,5B,39,4,2,V-HEXHH_08E,13,5,4,0
50,25-04-11 1221,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2747192,Y-TSCT-5B3903.3,5B3903.3,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-511774,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29130,V-HEXHH_08E-110104,5B,39,3,3,V-HEXHH_08E,11,1,4,0
51,25-04-11 1223,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5048400,Y-TSCT-5B3903.2,5B3903.2,Y-TSCT-Q06,5BA39,R354,V-MIXEKPLN_000-491774,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29444,V-HEXHH_08E-130104,5B,39,3,2,V-HEXHH_08E,13,1,4,0
52,25-04-11 1227,UNIT_YARD_MOVE,LOAD,EXPRT,MSCU6669751,Y-TSCT-5B3905.1,5B3905.1,Y-TSCT-Q06,5BA39,R353,V-MIXEKPLN_000-431512,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29438,V-HEXHH_08E-110404,5B,39,5,1,V-HEXHH_08E,11,4,4,0
53,25-04-11 1230,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6707517,Y-TSCT-5B3904.1,5B3904.1,Y-TSCT-Q06,5BA39,R353,V-MIXEKPLN_000-412212,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29328,V-HEXHH_08E-130404,5B,39,4,1,V-HEXHH_08E,13,4,4,0
54,25-04-11 1232,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1234560,Y-TSCT-5B3903.1,5B3903.1,Y-TSCT-Q06,5BA39,R353,V-MIXEKPLN_000-070516,HEXHH_08E,CNJNZ,CNTSN,NOM86,NOM20,22G1,29212,V-HEXHH_08E-110604,5B,39,3,1,V-HEXHH_08E,11,6,4,0
