order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-09 1505,UNIT_YARD_MOVE,LOAD,EXPRT,PONU1700750,Y-TSCT-1B3601.1,1B3601.1,Y-TSCT-Q03,1BA36,R314,T-TJC85060-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM86,NOM40,42G1,25700,V-JINNS_000-541486,1B,36,1,1,V-JINNS_000,54,14,86,17
1,25-03-09 1033,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU7403014,Y-TSCT-2A7010.5,2A7010.5,Y-TSCT-Q03,2AA70,R321,T-TJC97017-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,31666,V-JINNS_000-540102,2A,70,10,5,V-JINNS_000,54,1,2,22
2,25-03-09 1034,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU5343251,Y-TSCT-2A7008.5,2A7008.5,Y-TSCT-Q03,2AA70,R321,T-TJCG1035-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,31634,V-JINNS_000-540202,2A,70,8,5,V-JINNS_000,54,2,2,22
3,25-03-09 1036,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU3108720,Y-TSCT-2A7006.5,2A7006.5,Y-TSCT-Q03,2AA70,R321,T-TJCG1086-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,32034,V-JINNS_000-540402,2A,70,6,5,V-JINNS_000,54,4,2,22
4,25-03-09 1039,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU9815885,Y-TSCT-2A7001.2,2A7001.2,Y-TSCT-Q03,2AA70,R321,T-TJCB9988-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,31790,V-JINNS_000-540602,2A,70,1,2,V-JINNS_000,54,6,2,22
5,25-03-09 1041,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU7441349,Y-TSCT-2A7003.5,2A7003.5,Y-TSCT-Q03,2AA70,R321,T-TJCK2060-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,31812,V-JINNS_000-540304,2A,70,3,5,V-JINNS_000,54,3,4,22
6,25-03-09 1042,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU0749592,Y-TSCT-2A7011.4,2A7011.4,Y-TSCT-Q03,2AA70,R321,T-TJC68131-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,32104,V-JINNS_000-540104,2A,70,11,4,V-JINNS_000,54,1,4,22
7,25-03-09 1044,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU7321600,Y-TSCT-2A7010.4,2A7010.4,Y-TSCT-Q03,2AA70,R321,T-TJCE2517-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,31924,V-JINNS_000-540204,2A,70,10,4,V-JINNS_000,54,2,4,22
8,25-03-09 1046,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU5147435,Y-TSCT-2A7008.4,2A7008.4,Y-TSCT-Q03,2AA70,R321,T-HBFT8496-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,31952,V-JINNS_000-540404,2A,70,8,4,V-JINNS_000,54,4,4,22
9,25-03-09 1101,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU3534644,Y-TSCT-2A7006.4,2A7006.4,Y-TSCT-Q03,2AA70,R321,T-TJCC1251-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,32034,V-JINNS_000-540306,2A,70,6,4,V-JINNS_000,54,3,6,22
10,25-03-09 1103,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU2315079,Y-TSCT-2A7004.3,2A7004.3,Y-TSCT-Q03,2AA70,R321,T-SDUU3262-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,32104,V-JINNS_000-540106,2A,70,4,3,V-JINNS_000,54,1,6,22
11,25-03-09 1105,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU5403900,Y-TSCT-2A7003.4,2A7003.4,Y-TSCT-Q03,2AA70,R321,T-TJCB8706-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,32000,V-JINNS_000-540206,2A,70,3,4,V-JINNS_000,54,2,6,22
12,25-03-09 1111,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU5292977,Y-TSCT-2A7011.3,2A7011.3,Y-TSCT-Q03,2AA70,R321,T-TJC50151-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,31914,V-JINNS_000-540406,2A,70,11,3,V-JINNS_000,54,4,6,22
13,25-03-09 1203,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU2158956,Y-TSCT-2A7010.3,2A7010.3,Y-TSCT-Q03,2AA70,R321,T-TJCK0161-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,30820,V-JINNS_000-540308,2A,70,10,3,V-JINNS_000,54,3,8,22
14,25-03-09 1204,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU1547472,Y-TSCT-2A7008.3,2A7008.3,Y-TSCT-Q03,2AA70,R321,T-TJCG1602-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,32014,V-JINNS_000-540108,2A,70,8,3,V-JINNS_000,54,1,8,22
15,25-03-09 1206,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU0212181,Y-TSCT-2A7006.3,2A7006.3,Y-TSCT-Q03,2AA70,R321,T-TJCG1683-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,32104,V-JINNS_000-540208,2A,70,6,3,V-JINNS_000,54,2,8,22
16,25-03-09 1208,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU4414957,Y-TSCT-2A7003.3,2A7003.3,Y-TSCT-Q03,2AA70,R321,T-TJC97372-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,31832,V-JINNS_000-540408,2A,70,3,3,V-JINNS_000,54,4,8,22
17,25-03-09 1212,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU7696601,Y-TSCT-2A7011.2,2A7011.2,Y-TSCT-Q03,2AA70,R321,T-TJCB9762-2 (TQ),JINNS_000,KRUSN,CNTSN,NOM96,NOM40,45G1,31944,V-JINNS_000-540310,2A,70,11,2,V-JINNS_000,54,3,10,22
