order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-07 1503,UNIT_YARD_MOVE,LOAD,EXPRT,TGIU5230250,Y-TSCT-1A3802.1,1A3802.1,Y-TSCT-Q04,1AA38,R312,T-TJCH8671-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,19252,V-KAIT_058-220208,1A,38,2,1,V-KAIT_058,22,2,8,1
1,25-03-07 1538,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU5100879,Y-TSCT-1A3811.3,1A3811.3,Y-TSCT-Q06,1AA38,R312,T-TJCK2212-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,23974,V-KAIT_058-220782,1A,38,11,3,V-KAIT_058,22,7,82,1
2,25-03-07 1540,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6373195,Y-TSCT-1A3810.4,1A3810.4,Y-TSCT-Q06,1AA38,R312,T-TJCH8881-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,24550,V-KAIT_058-220582,1A,38,10,4,V-KAIT_058,22,5,82,1
3,25-03-07 1542,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU5784606,Y-TSCT-1A3809.4,1A3809.4,Y-TSCT-Q06,1AA38,R312,T-TJC91072-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,24841,V-KAIT_058-220382,1A,38,9,4,V-KAIT_058,22,3,82,1
4,25-03-07 1544,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU7235455,Y-TSCT-1A3807.3,1A3807.3,Y-TSCT-Q06,1AA38,R312,T-TJCK2138-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,23304,V-KAIT_058-220682,1A,38,7,3,V-KAIT_058,22,6,82,1
5,25-03-07 1558,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6357574,Y-TSCT-1A3806.2,1A3806.2,Y-TSCT-Q06,1AA38,R312,T-TJCD0715-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,24131,V-KAIT_058-220882,1A,38,6,2,V-KAIT_058,22,8,82,1
6,25-03-07 1601,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6371150,Y-TSCT-1A3810.3,1A3810.3,Y-TSCT-Q06,1AA38,R312,T-TJCH8671-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,25810,V-KAIT_058-220784,1A,38,10,3,V-KAIT_058,22,7,84,1
7,25-03-07 1607,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU6561384,Y-TSCT-1A3805.2,1A3805.2,Y-TSCT-Q06,1AA38,R312,T-TJCA5065-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,15433,V-KAIT_058-220584,1A,38,5,2,V-KAIT_058,22,5,84,1
8,25-03-07 1609,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4939988,Y-TSCT-1A3804.2,1A3804.2,Y-TSCT-Q06,1AA38,R312,T-TJCF1117-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,15700,V-KAIT_058-220384,1A,38,4,2,V-KAIT_058,22,3,84,1
9,25-03-07 1651,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU4941948,Y-TSCT-1A3809.3,1A3809.3,Y-TSCT-Q06,1AA38,R312,T-TJCH8550-2 (TQ),KAIT_058,KRPUS,CNTSN,NOM96,NOM40,45G1,27310,V-KAIT_058-220084,1A,38,9,3,V-KAIT_058,22,0,84,1
