order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-10 0047,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3127636,Y-TSCT-1C4305.5,1C4305.5,Y-TSCT-Q08,1CA43,R316,T-TJC35292-2 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,27597,V-KAIT_05F-170502,1C,43,5,5,V-KAIT_05F,17,5,2,4
1,25-04-10 0050,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2977379,Y-TSCT-1C4305.4,1C4305.4,Y-TSCT-Q08,1CA43,R316,T-TJC35195-3 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,27889,V-KAIT_05F-190502,1C,43,5,4,V-KAIT_05F,19,5,2,4
2,25-04-10 0052,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2600850,Y-TSCT-1C4302.2,1C4302.2,Y-TSCT-Q08,1CA43,R316,T-TJC15570-3 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,28325,V-KAIT_05F-170302,1C,43,2,2,V-KAIT_05F,17,3,2,4
3,25-04-10 0055,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU3337536,Y-TSCT-1C4302.1,1C4302.1,Y-TSCT-Q08,1CA43,R316,T-TJC15590-3 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,28315,V-KAIT_05F-190302,1C,43,2,1,V-KAIT_05F,19,3,2,4
4,25-04-10 0057,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2448591,Y-TSCT-1C4305.3,1C4305.3,Y-TSCT-Q08,1CA43,R316,T-TJCE3782-3 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,27793,V-KAIT_05F-170102,1C,43,5,3,V-KAIT_05F,17,1,2,4
5,25-04-10 0059,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5531556,Y-TSCT-1C4305.2,1C4305.2,Y-TSCT-Q08,1CA43,R316,T-TJC35362-1 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,28039,V-KAIT_05F-190102,1C,43,5,2,V-KAIT_05F,19,1,2,4
6,25-04-10 0108,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0379646,Y-TSCT-1C4303.5,1C4303.5,Y-TSCT-Q08,1CA43,R316,T-TJCE2525-2 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,22260,V-KAIT_05F-170202,1C,43,3,5,V-KAIT_05F,17,2,2,4
7,25-04-10 0110,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2656612,Y-TSCT-1C4303.4,1C4303.4,Y-TSCT-Q08,1CA43,R316,T-SDUU0305-2 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,22270,V-KAIT_05F-190202,1C,43,3,4,V-KAIT_05F,19,2,2,4
8,25-04-10 0116,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2156792,Y-TSCT-1C4303.3,1C4303.3,Y-TSCT-Q08,1CA43,R316,T-TJCK5298-3 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,19853,V-KAIT_05F-170602,1C,43,3,3,V-KAIT_05F,17,6,2,4
9,25-04-10 0118,UNIT_YARD_MOVE,LOAD,EXPRT,KMTU7370704,Y-TSCT-1C4305.1,1C4305.1,Y-TSCT-Q08,1CA43,R316,T-TJCG9629-2 (TQ),KAIT_05F,KRPUS,CNTSN,NOM86,NOM20,22G1,28089,V-KAIT_05F-190602,1C,43,5,1,V-KAIT_05F,19,6,2,4
