order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-09 0614,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8336984,Y-TSCT-1C7411.1,1C7411.1,Y-TSCT-Q08,1CA74,R315,T-TJC75156-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,32260,V-KANGQJH_00A-260102,1C,74,11,1,V-KANGQJH_00A,26,1,2,2
1,25-03-09 0958,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU5624682,Y-TSCT-1C7409.1,1C7409.1,Y-TSCT-Q09,1CA74,R315,T-TJCK2629-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,13850,V-KANGQJH_00A-260182,1C,74,9,1,V-KANGQJH_00A,26,1,82,2
2,25-03-09 1000,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8194935,Y-TSCT-1C7410.1,1C7410.1,Y-TSCT-Q09,1CA74,R315,T-TJCE2960-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,16720,V-KANGQJH_00A-260082,1C,74,10,1,V-KANGQJH_00A,26,0,82,2
3,25-03-09 0758,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8273227,Y-TSCT-2C4001.1,2C4001.1,Y-TSCT-Q09,2CA40,R326,T-TJC16382-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,25227,V-KANGQJH_00A-020810,2C,40,1,1,V-KANGQJH_00A,2,8,10,1
4,25-03-09 0548,UNIT_YARD_MOVE,LOAD,EXPRT,SNCU2950345,Y-TSCT-2C5111.4,2C5111.4,Y-TSCT-Q09,2CA51,R325,T-TJC81009-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,29757,V-KANGQJH_00A-010102,2C,51,11,4,V-KANGQJH_00A,1,1,2,1
5,25-03-09 0552,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2270431,Y-TSCT-2C5106.1,2C5106.1,Y-TSCT-Q09,2CA51,R326,T-TJC67800-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,26858,V-KANGQJH_00A-030102,2C,51,6,1,V-KANGQJH_00A,3,1,2,1
6,25-03-09 0553,UNIT_YARD_MOVE,LOAD,EXPRT,UETU3014571,Y-TSCT-2C5110.5,2C5110.5,Y-TSCT-Q09,2CA51,R326,T-TJAW1729-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,29300,V-KANGQJH_00A-010402,2C,51,10,5,V-KANGQJH_00A,1,4,2,1
7,25-03-09 0555,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2349881,Y-TSCT-2C5110.4,2C5110.4,Y-TSCT-Q09,2CA51,R326,T-TJAU3726-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,29300,V-KANGQJH_00A-030402,2C,51,10,4,V-KANGQJH_00A,3,4,2,1
8,25-03-09 0604,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2250395,Y-TSCT-2C5111.3,2C5111.3,Y-TSCT-Q09,2CA51,R326,T-TJAU3709-3 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,29385,V-KANGQJH_00A-010304,2C,51,11,3,V-KANGQJH_00A,1,3,4,1
9,25-03-09 0606,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2301018,Y-TSCT-2C5111.2,2C5111.2,Y-TSCT-Q09,2CA51,R326,T-TJCA9919-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,30185,V-KANGQJH_00A-030304,2C,51,11,2,V-KANGQJH_00A,3,3,4,1
10,25-03-09 0609,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU2033404,Y-TSCT-2C5108.2,2C5108.2,Y-TSCT-Q08,2CA51,R326,T-TJAW1893-3 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,29300,V-KANGQJH_00A-250302,2C,51,8,2,V-KANGQJH_00A,25,3,2,1
11,25-03-09 0611,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2328636,Y-TSCT-2C5108.1,2C5108.1,Y-TSCT-Q08,2CA51,R326,T-TJAW1728-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,29300,V-KANGQJH_00A-270302,2C,51,8,1,V-KANGQJH_00A,27,3,2,1
12,25-03-09 0612,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU6201213,Y-TSCT-2C5107.2,2C5107.2,Y-TSCT-Q08,2CA51,R326,T-TJCG8190-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,27993,V-KANGQJH_00A-250402,2C,51,7,2,V-KANGQJH_00A,25,4,2,1
13,25-03-09 0614,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2396733,Y-TSCT-2C5107.1,2C5107.1,Y-TSCT-Q08,2CA51,R326,T-TJCG7379-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,25123,V-KANGQJH_00A-270402,2C,51,7,1,V-KANGQJH_00A,27,4,2,1
14,25-03-09 0619,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2397405,Y-TSCT-2C5109.2,2C5109.2,Y-TSCT-Q08,2CA51,R326,T-TJCA2172-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,12869,V-KANGQJH_00A-250704,2C,51,9,2,V-KANGQJH_00A,25,7,4,1
15,25-03-09 0633,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2270160,Y-TSCT-2C5108.1,2C5108.1,Y-TSCT-Q08,2CA51,R326,T-TJAU3635-3 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,6270,V-KANGQJH_00A-250804,2C,51,8,1,V-KANGQJH_00A,25,8,4,1
16,25-03-09 0634,UNIT_YARD_MOVE,LOAD,EXPRT,SLPU2000360,Y-TSCT-2C5109.1,2C5109.1,Y-TSCT-Q08,2CA51,R326,T-SHEL6296-3 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,6206,V-KANGQJH_00A-270804,2C,51,9,1,V-KANGQJH_00A,27,8,4,1
17,25-03-09 0641,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2342568,Y-TSCT-2C5110.3,2C5110.3,Y-TSCT-Q09,2CA51,R326,T-TJC59107-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,28008,V-KANGQJH_00A-010204,2C,51,10,3,V-KANGQJH_00A,1,2,4,1
18,25-03-09 0643,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2380866,Y-TSCT-2C5110.2,2C5110.2,Y-TSCT-Q09,2CA51,R326,T-TJC28310-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,26154,V-KANGQJH_00A-030204,2C,51,10,2,V-KANGQJH_00A,3,2,4,1
19,25-03-09 0648,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU2359674,Y-TSCT-2C5110.1,2C5110.1,Y-TSCT-Q09,2CA51,R326,T-TJCG8387-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,28178,V-KANGQJH_00A-010604,2C,51,10,1,V-KANGQJH_00A,1,6,4,1
20,25-03-09 0650,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU2119489,Y-TSCT-2C5111.1,2C5111.1,Y-TSCT-Q09,2CA51,R326,T-TJCM5981-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-KANGQJH_00A-030604,2C,51,11,1,V-KANGQJH_00A,3,6,4,1
21,25-03-09 0616,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8353868,Y-TSCT-2C5410.5,2C5410.5,Y-TSCT-Q08,2CA54,R326,T-TJCF1971-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,31800,V-KANGQJH_00A-260202,2C,54,10,5,V-KANGQJH_00A,26,2,2,1
22,25-03-09 0631,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8205095,Y-TSCT-2C5410.4,2C5410.4,Y-TSCT-Q08,2CA54,R326,T-TJC13063-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,31214,V-KANGQJH_00A-260104,2C,54,10,4,V-KANGQJH_00A,26,1,4,1
23,25-03-09 0639,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8227113,Y-TSCT-2C5410.3,2C5410.3,Y-TSCT-Q08,2CA54,R326,T-TJC13808-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,28645,V-KANGQJH_00A-260204,2C,54,10,3,V-KANGQJH_00A,26,2,4,1
24,25-03-09 0653,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8236178,Y-TSCT-2C5403.5,2C5403.5,Y-TSCT-Q09,2CA54,R326,T-TJCK6979-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,32330,V-KANGQJH_00A-020506,2C,54,3,5,V-KANGQJH_00A,2,5,6,1
25,25-03-09 0655,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8202901,Y-TSCT-2C5403.4,2C5403.4,Y-TSCT-Q09,2CA54,R326,T-TJC13063-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,32490,V-KANGQJH_00A-020306,2C,54,3,4,V-KANGQJH_00A,2,3,6,1
26,25-03-09 0709,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU6610118,Y-TSCT-2C5403.3,2C5403.3,Y-TSCT-Q09,2CA54,R326,T-HNP9C368-2 (TQ),KANGQJH_00A,PHMNL,CNTSN,NOM96,NOM40,45G1,32490,V-KANGQJH_00A-020206,2C,54,3,3,V-KANGQJH_00A,2,2,6,1
