order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-25 1736,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2131920,Y-TSCT-1A5911.4,1A5911.4,Y-TSCT-Q06,1AA59,R311,T-TJCH1196-1 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,28560,V-LAX_005-151008,1A,59,11,4,V-LAX_005,15,10,8,2
1,25-02-25 1741,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2142797,Y-TSCT-1A5911.3,1A5911.3,Y-TSCT-Q06,1AA59,R311,T-TJC93198-1 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,29370,V-LAX_005-151112,1A,59,11,3,V-LAX_005,15,11,12,2
2,25-02-25 1745,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2361700,Y-TSCT-1A5910.5,1A5910.5,Y-TSCT-Q06,1AA59,R311,T-TJCD1165-3 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,27914,V-LAX_005-151212,1A,59,10,5,V-LAX_005,15,12,12,2
3,25-02-25 1747,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2362374,Y-TSCT-1A5910.4,1A5910.4,Y-TSCT-Q06,1AA59,R311,T-TJCA8771-3 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,29641,V-LAX_005-151316,1A,59,10,4,V-LAX_005,15,13,16,2
4,25-02-25 1749,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2431454,Y-TSCT-1A5909.3,1A5909.3,Y-TSCT-Q06,1AA59,R311,T-TJCK6178-2 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,20995,V-LAX_005-151416,1A,59,9,3,V-LAX_005,15,14,16,2
5,25-02-25 1750,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2431095,Y-TSCT-1A5909.2,1A5909.2,Y-TSCT-Q06,1AA59,R311,T-TJCK6661-2 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,21208,V-LAX_005-130910,1A,59,9,2,V-LAX_005,13,9,10,2
6,25-02-25 1752,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2358219,Y-TSCT-1A5908.3,1A5908.3,Y-TSCT-Q06,1AA59,R311,T-TJCA7553-3 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,27578,V-LAX_005-150910,1A,59,8,3,V-LAX_005,15,9,10,2
7,25-02-25 1754,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU2434716,Y-TSCT-1A5908.2,1A5908.2,Y-TSCT-Q06,1AA59,R311,T-TJC93183-1 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,26670,V-LAX_005-130912,1A,59,8,2,V-LAX_005,13,9,12,2
8,25-02-25 1756,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1220167,Y-TSCT-1A5911.2,1A5911.2,Y-TSCT-Q06,1AA59,R311,T-SXA05762D-3 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,29525,V-LAX_005-150912,1A,59,11,2,V-LAX_005,15,9,12,2
9,25-02-25 1758,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1074946,Y-TSCT-1A5911.1,1A5911.1,Y-TSCT-Q06,1AA59,R311,T-SXA07695D-3 (TQ),LAX_005,AEJEA,CNTSN,NOM86,NOM20,22G1,29640,V-LAX_005-130914,1A,59,11,1,V-LAX_005,13,9,14,2
