order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-20 0128,UNIT_YARD_MOVE,LOAD,EXPRT,KOCU4553398,Y-TSCT-1B3605.5,1B3605.5,Y-TSCT-Q12,1BA36,R314,T-TJAW1778-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,13486,V-LUTD2_007-100978,1B,36,5,5,V-LUTD2_007,10,9,78,4
1,25-03-20 0130,UNIT_YARD_MOVE,LOAD,EXPRT,HMMU6568153,Y-TSCT-1B3605.4,1B3605.4,Y-TSCT-Q12,1BA36,R314,T-TJAU3783-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,13457,V-LUTD2_007-100778,1B,36,5,4,V-LUTD2_007,10,7,78,4
2,25-03-20 0133,UNIT_YARD_MOVE,LOAD,EXPRT,KOCU4112710,Y-TSCT-1B3605.3,1B3605.3,Y-TSCT-Q12,1BA36,R314,T-TJAW1806-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,13457,V-LUTD2_007-100578,1B,36,5,3,V-LUTD2_007,10,5,78,4
3,25-03-20 0138,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU7370190,Y-TSCT-1B3605.2,1B3605.2,Y-TSCT-Q12,1BA36,R314,T-TJCE2210-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,17528,V-LUTD2_007-100278,1B,36,5,2,V-LUTD2_007,10,2,78,4
4,25-03-20 0141,UNIT_YARD_MOVE,LOAD,EXPRT,HMMU6505710,Y-TSCT-1B3605.1,1B3605.1,Y-TSCT-Q12,1BA36,R314,T-TJC85121-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,15710,V-LUTD2_007-100478,1B,36,5,1,V-LUTD2_007,10,4,78,4
5,25-03-20 0224,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU5698478,Y-TSCT-1B3606.5,1B3606.5,Y-TSCT-Q12,1BA36,R314,T-TJCG7225-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,11060,V-LUTD2_007-100982,1B,36,6,5,V-LUTD2_007,10,9,82,4
6,25-03-20 0226,UNIT_YARD_MOVE,LOAD,EXPRT,HMMU6662220,Y-TSCT-1B3606.4,1B3606.4,Y-TSCT-Q12,1BA36,R314,T-TJCG8061-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,13290,V-LUTD2_007-100782,1B,36,6,4,V-LUTD2_007,10,7,82,4
7,25-03-20 0233,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU4612580,Y-TSCT-1B3606.3,1B3606.3,Y-TSCT-Q12,1BA36,R314,T-TJCC2090-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,10656,V-LUTD2_007-100482,1B,36,6,3,V-LUTD2_007,10,4,82,4
8,25-03-20 0238,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU9303460,Y-TSCT-1B3606.2,1B3606.2,Y-TSCT-Q12,1BA36,R314,T-TJC91121-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,11704,V-LUTD2_007-100682,1B,36,6,2,V-LUTD2_007,10,6,82,4
9,25-03-20 0240,UNIT_YARD_MOVE,LOAD,EXPRT,HMMU6114269,Y-TSCT-1B3606.1,1B3606.1,Y-TSCT-Q12,1BA36,R314,T-TJCG8381-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,13335,V-LUTD2_007-100882,1B,36,6,1,V-LUTD2_007,10,8,82,4
10,25-03-20 0353,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0499771,Y-TSCT-1B3608.5,1B3608.5,Y-TSCT-Q07,1BA36,R314,T-TJC85871-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-660872,1B,36,8,5,V-LUTD2_007,66,8,72,4
11,25-03-20 0402,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU4274842,Y-TSCT-1B3607.5,1B3607.5,Y-TSCT-Q07,1BA36,R314,T-TJCF1317-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-661072,1B,36,7,5,V-LUTD2_007,66,10,72,4
12,25-03-20 0409,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU1531930,Y-TSCT-1B3608.4,1B3608.4,Y-TSCT-Q07,1BA36,R314,T-TJC79507-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31952,V-LUTD2_007-661272,1B,36,8,4,V-LUTD2_007,66,12,72,4
13,25-03-20 0410,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU5302837,Y-TSCT-1B3607.4,1B3607.4,Y-TSCT-Q07,1BA36,R314,T-TJC91352-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-661472,1B,36,7,4,V-LUTD2_007,66,14,72,4
14,25-03-20 0412,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1854130,Y-TSCT-1B3608.3,1B3608.3,Y-TSCT-Q07,1BA36,R314,T-TJCK5576-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-661672,1B,36,8,3,V-LUTD2_007,66,16,72,4
15,25-03-20 0418,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0236163,Y-TSCT-1B3607.3,1B3607.3,Y-TSCT-Q07,1BA36,R314,T-TJC91591-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31882,V-LUTD2_007-661872,1B,36,7,3,V-LUTD2_007,66,18,72,4
16,25-03-20 0420,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU2317675,Y-TSCT-1B3608.2,1B3608.2,Y-TSCT-Q07,1BA36,R314,T-TJCK5892-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,32012,V-LUTD2_007-662072,1B,36,8,2,V-LUTD2_007,66,20,72,4
17,25-03-20 0423,UNIT_YARD_MOVE,LOAD,EXPRT,KKFU7854530,Y-TSCT-1B3603.5,1B3603.5,Y-TSCT-Q07,1BA36,R314,T-TJCE7163-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31952,V-LUTD2_007-661974,1B,36,3,5,V-LUTD2_007,66,19,74,4
18,25-03-20 0425,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0148870,Y-TSCT-1B3603.4,1B3603.4,Y-TSCT-Q07,1BA36,R314,T-TJC91118-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31882,V-LUTD2_007-661774,1B,36,3,4,V-LUTD2_007,66,17,74,4
19,25-03-20 0428,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5229151,Y-TSCT-1B3603.3,1B3603.3,Y-TSCT-Q07,1BA36,R314,T-TJCK5977-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-661574,1B,36,3,3,V-LUTD2_007,66,15,74,4
20,25-03-20 0431,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0306091,Y-TSCT-1B3603.2,1B3603.2,Y-TSCT-Q07,1BA36,R314,T-TJC79737-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31882,V-LUTD2_007-661374,1B,36,3,2,V-LUTD2_007,66,13,74,4
21,25-03-20 0433,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU7666087,Y-TSCT-1B3604.5,1B3604.5,Y-TSCT-Q07,1BA36,R314,T-TJCF1677-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-660874,1B,36,4,5,V-LUTD2_007,66,8,74,4
22,25-03-20 0436,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU7891472,Y-TSCT-1B3607.2,1B3607.2,Y-TSCT-Q07,1BA36,R314,T-TJC97616-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31922,V-LUTD2_007-661074,1B,36,7,2,V-LUTD2_007,66,10,74,4
23,25-03-20 0439,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU5684900,Y-TSCT-1B3608.1,1B3608.1,Y-TSCT-Q07,1BA36,R314,T-TJCB8288-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31826,V-LUTD2_007-661274,1B,36,8,1,V-LUTD2_007,66,12,74,4
24,25-03-20 0441,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU5979371,Y-TSCT-1B3607.1,1B3607.1,Y-TSCT-Q07,1BA36,R314,T-TJC91703-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,32012,V-LUTD2_007-661474,1B,36,7,1,V-LUTD2_007,66,14,74,4
25,25-03-20 0443,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU9458651,Y-TSCT-1B3604.4,1B3604.4,Y-TSCT-Q07,1BA36,R314,T-TJCK6703-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,32044,V-LUTD2_007-661674,1B,36,4,4,V-LUTD2_007,66,16,74,4
26,25-03-20 0445,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5451317,Y-TSCT-1B3604.3,1B3604.3,Y-TSCT-Q07,1BA36,R314,T-TJC91388-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-661874,1B,36,4,3,V-LUTD2_007,66,18,74,4
27,25-03-20 0448,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5106368,Y-TSCT-1B3604.2,1B3604.2,Y-TSCT-Q07,1BA36,R314,T-TJCE2332-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-662074,1B,36,4,2,V-LUTD2_007,66,20,74,4
28,25-03-20 0450,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1837929,Y-TSCT-1B3603.1,1B3603.1,Y-TSCT-Q07,1BA36,R314,T-TJCJ2886-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-661576,1B,36,3,1,V-LUTD2_007,66,15,76,4
29,25-03-20 0453,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU5638817,Y-TSCT-1B3602.3,1B3602.3,Y-TSCT-Q07,1BA36,R314,T-TJCD3352-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31882,V-LUTD2_007-661376,1B,36,2,3,V-LUTD2_007,66,13,76,4
30,25-03-20 0456,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU7004120,Y-TSCT-1B3604.1,1B3604.1,Y-TSCT-Q07,1BA36,R314,T-TJCC7197-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-661176,1B,36,4,1,V-LUTD2_007,66,11,76,4
31,25-03-20 0530,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0038091,Y-TSCT-1B3602.2,1B3602.2,Y-TSCT-Q07,1BA36,R314,T-TJC97727-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-661276,1B,36,2,2,V-LUTD2_007,66,12,76,4
32,25-03-20 0532,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU6130122,Y-TSCT-1B3602.1,1B3602.1,Y-TSCT-Q07,1BA36,R314,T-TJC79288-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31932,V-LUTD2_007-661476,1B,36,2,1,V-LUTD2_007,66,14,76,4
33,25-03-20 0621,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5333551,Y-TSCT-1B3601.2,1B3601.2,Y-TSCT-Q12,1BA36,R314,T-TJC79336-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31812,V-LUTD2_007-061974,1B,36,1,2,V-LUTD2_007,6,19,74,4
34,25-03-20 0624,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0181836,Y-TSCT-1B3601.1,1B3601.1,Y-TSCT-Q12,1BA36,R314,T-TJC80288-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,31770,V-LUTD2_007-061574,1B,36,1,1,V-LUTD2_007,6,15,74,4
35,25-03-19 2331,UNIT_YARD_MOVE,LOAD,EXPRT,KOCU4252650,Y-TSCT-1B5806.5,1B5806.5,Y-TSCT-Q12,1BA58,R313,T-TJC10118-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,6464,V-LUTD2_007-101012,1B,58,6,5,V-LUTD2_007,10,10,12,27
36,25-03-19 2335,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU4897185,Y-TSCT-1B5806.4,1B5806.4,Y-TSCT-Q12,1BA58,R313,T-TJCD0867-2 (TQ),LUTD2_007,KRPUN,CNTSN,NOM96,NOM40,45G1,8590,V-LUTD2_007-101014,1B,58,6,4,V-LUTD2_007,10,10,14,27
