order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-15 1857,UNIT_YARD_MOVE,LOAD,EXPRT,OTPU6600852,Y-TSCT-2C1405.5,2C1405.5,Y-TSCT-Q09,2CA14,R326,T-TJCG7661-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32672,V-NABLS_014-301008,2C,14,5,5,V-NABLS_014,30,10,8,3
1,25-02-15 1902,UNIT_YARD_MOVE,LOAD,EXPRT,TTNU8340920,Y-TSCT-2C1407.5,2C1407.5,Y-TSCT-Q09,2CA14,R326,T-TJCA0697-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32808,V-NABLS_014-300910,2C,14,7,5,V-NABLS_014,30,9,10,3
2,25-02-15 1904,UNIT_YARD_MOVE,LOAD,EXPRT,KKFU6770795,Y-TSCT-2C1406.5,2C1406.5,Y-TSCT-Q09,2CA14,R326,T-TJCC1095-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32568,V-NABLS_014-300710,2C,14,6,5,V-NABLS_014,30,7,10,3
3,25-02-15 1906,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU5420256,Y-TSCT-2C1407.4,2C1407.4,Y-TSCT-Q09,2CA14,R326,T-TJCJ7508-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32648,V-NABLS_014-300510,2C,14,7,4,V-NABLS_014,30,5,10,3
4,25-02-15 1908,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU9312821,Y-TSCT-2C1406.4,2C1406.4,Y-TSCT-Q09,2CA14,R326,T-TJCB9578-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32768,V-NABLS_014-300310,2C,14,6,4,V-NABLS_014,30,3,10,3
5,25-02-15 1910,UNIT_YARD_MOVE,LOAD,EXPRT,OTPU6602496,Y-TSCT-2C1404.5,2C1404.5,Y-TSCT-Q09,2CA14,R326,T-TJCK6972-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32672,V-NABLS_014-300410,2C,14,4,5,V-NABLS_014,30,4,10,3
6,25-02-15 1912,UNIT_YARD_MOVE,LOAD,EXPRT,TSTU8512275,Y-TSCT-2C1405.4,2C1405.4,Y-TSCT-Q09,2CA14,R326,T-TJCH8506-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32572,V-NABLS_014-300610,2C,14,5,4,V-NABLS_014,30,6,10,3
7,25-02-15 1914,UNIT_YARD_MOVE,LOAD,EXPRT,TSTU8514405,Y-TSCT-2C1404.4,2C1404.4,Y-TSCT-Q09,2CA14,R326,T-TJCF1922-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32572,V-NABLS_014-300810,2C,14,4,4,V-NABLS_014,30,8,10,3
8,25-02-15 1917,UNIT_YARD_MOVE,LOAD,EXPRT,SZLU9664847,Y-TSCT-2C1403.4,2C1403.4,Y-TSCT-Q09,2CA14,R326,T-TJCF1171-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32934,V-NABLS_014-301010,2C,14,3,4,V-NABLS_014,30,10,10,3
9,25-02-15 1919,UNIT_YARD_MOVE,LOAD,EXPRT,TTNU8414540,Y-TSCT-2C1407.3,2C1407.3,Y-TSCT-Q09,2CA14,R326,T-TJCK6995-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32808,V-NABLS_014-300912,2C,14,7,3,V-NABLS_014,30,9,12,3
10,25-02-15 1921,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU9303964,Y-TSCT-2C1406.3,2C1406.3,Y-TSCT-Q09,2CA14,R326,T-TJC91060-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32768,V-NABLS_014-300712,2C,14,6,3,V-NABLS_014,30,7,12,3
11,25-02-15 1923,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU5464974,Y-TSCT-2C1407.2,2C1407.2,Y-TSCT-Q09,2CA14,R326,T-TJCB0361-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32648,V-NABLS_014-300512,2C,14,7,2,V-NABLS_014,30,5,12,3
12,25-02-15 1925,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU9260610,Y-TSCT-2C1406.2,2C1406.2,Y-TSCT-Q09,2CA14,R326,T-TJCF1975-2 (TQ),NABLS_014,INMUN,CNTSN,NOM96,NOM40,45R1,32818,V-NABLS_014-300312,2C,14,6,2,V-NABLS_014,30,3,12,3
