order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-08 1246,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU0795237,Y-TSCT-1A2003.3,1A2003.3,Y-TSCT-Q04,1AA20,R312,T-HBJ8T672-2 (TQ),NIKLT_00C,PKKHI,CNTSN,NOM96,NOM40,45G1,27380,V-NIKLT_00C-340282,1A,20,3,3,V-NIKLT_00C,34,2,82,5
1,25-03-08 1313,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU8913632,Y-TSCT-1A2003.2,1A2003.2,Y-TSCT-Q04,1AA20,R312,T-TJC75876-2 (TQ),NIKLT_00C,PKKHI,CNTSN,NOM96,NOM40,45G1,25810,V-NIKLT_00C-340284,1A,20,3,2,V-NIKLT_00C,34,2,84,5
2,25-03-08 1318,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6001217,Y-TSCT-1A2003.1,1A2003.1,Y-TSCT-Q04,1AA20,R312,T-TJCG7701-2 (TQ),NIKLT_00C,PKKHI,CNTSN,NOM96,NOM40,45G1,24228,V-NIKLT_00C-340484,1A,20,3,1,V-NIKLT_00C,34,4,84,5
3,25-03-08 1319,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6423169,Y-TSCT-1A2004.4,1A2004.4,Y-TSCT-Q04,1AA20,R312,T-TJC23160-2 (TQ),NIKLT_00C,PKKHI,CNTSN,NOM96,NOM40,45G1,24340,V-NIKLT_00C-340386,1A,20,4,4,V-NIKLT_00C,34,3,86,5
4,25-03-08 1322,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6363049,Y-TSCT-1A2004.3,1A2004.3,Y-TSCT-Q04,1AA20,R312,T-TJCE0790-2 (TQ),NIKLT_00C,PKKHI,CNTSN,NOM96,NOM40,45G1,24340,V-NIKLT_00C-340186,1A,20,4,3,V-NIKLT_00C,34,1,86,5
5,25-03-08 1324,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU6011636,Y-TSCT-1A2004.2,1A2004.2,Y-TSCT-Q04,1AA20,R312,T-TJC55598-2 (TQ),NIKLT_00C,PKKHI,CNTSN,NOM96,NOM40,45G1,24340,V-NIKLT_00C-340286,1A,20,4,2,V-NIKLT_00C,34,2,86,5
6,25-03-08 1330,UNIT_YARD_MOVE,LOAD,EXPRT,HLHU6407453,Y-TSCT-1A2004.1,1A2004.1,Y-TSCT-Q04,1AA20,R312,T-HBJ7A377-2 (TQ),NIKLT_00C,PKKHI,CNTSN,NOM96,NOM40,45G1,24340,V-NIKLT_00C-340486,1A,20,4,1,V-NIKLT_00C,34,4,86,5
7,25-03-08 1408,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6409303,Y-TSCT-1A2002.4,1A2002.4,Y-TSCT-Q02,1AA20,R312,T-TJC58578-2 (TQ),NIKLT_00C,PKKHI,CNTSN,NOM96,NOM40,45G1,24340,V-NIKLT_00C-560586,1A,20,2,4,V-NIKLT_00C,56,5,86,5
8,25-03-08 1708,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU8004675,Y-TSCT-1A2010.5,1A2010.5,Y-TSCT-Q02,1AA20,R312,T-TJCA0072-2 (TQ),NIKLT_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,32316,V-NIKLT_00C-640912,1A,20,10,5,V-NIKLT_00C,64,9,12,22
9,25-03-08 1710,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU8923620,Y-TSCT-1A2010.4,1A2010.4,Y-TSCT-Q02,1AA20,R312,T-TJCH8671-2 (TQ),NIKLT_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,31340,V-NIKLT_00C-640712,1A,20,10,4,V-NIKLT_00C,64,7,12,22
10,25-03-08 1712,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU5450054,Y-TSCT-1A2011.4,1A2011.4,Y-TSCT-Q02,1AA20,R312,T-TJCH8671-2 (TQ),NIKLT_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,31870,V-NIKLT_00C-640512,1A,20,11,4,V-NIKLT_00C,64,5,12,22
11,25-03-08 1735,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU3083427,Y-TSCT-1A2010.3,1A2010.3,Y-TSCT-Q02,1AA20,R312,T-TJCG7697-2 (TQ),NIKLT_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,31785,V-NIKLT_00C-640914,1A,20,10,3,V-NIKLT_00C,64,9,14,22
