order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-23 0416,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU3360627,Y-TSCT-1A3306.2,1A3306.2,Y-TSCT-Q05,1AA33,R312,T-SDUP6708-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,24246,V-SAIW_00B-170702,1A,33,6,2,V-SAIW_00B,17,7,2,13
1,25-02-23 0418,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2482325,Y-TSCT-1A3306.1,1A3306.1,Y-TSCT-Q05,1AA33,R312,T-TJCK6178-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,22080,V-SAIW_00B-190702,1A,33,6,1,V-SAIW_00B,19,7,2,13
2,25-02-23 0420,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1661455,Y-TSCT-1A3307.5,1A3307.5,Y-TSCT-Q05,1AA33,R312,T-TJCA5282-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,24938,V-SAIW_00B-170302,1A,33,7,5,V-SAIW_00B,17,3,2,13
3,25-02-23 0422,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU2032380,Y-TSCT-1A3307.4,1A3307.4,Y-TSCT-Q05,1AA33,R312,T-TJC13736-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,24938,V-SAIW_00B-190302,1A,33,7,4,V-SAIW_00B,19,3,2,13
4,25-02-23 0432,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2741057,Y-TSCT-1A3307.3,1A3307.3,Y-TSCT-Q05,1AA33,R312,T-TJC13769-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,24938,V-SAIW_00B-170002,1A,33,7,3,V-SAIW_00B,17,0,2,13
5,25-02-23 0434,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0019336,Y-TSCT-1A3307.2,1A3307.2,Y-TSCT-Q05,1AA33,R312,T-TJC13767-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,24938,V-SAIW_00B-190002,1A,33,7,2,V-SAIW_00B,19,0,2,13
6,25-02-23 0441,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1307312,Y-TSCT-1A3307.1,1A3307.1,Y-TSCT-Q05,1AA33,R312,T-TJC55919-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,24938,V-SAIW_00B-170504,1A,33,7,1,V-SAIW_00B,17,5,4,13
7,25-02-23 0443,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2482285,Y-TSCT-1A3308.5,1A3308.5,Y-TSCT-Q05,1AA33,R312,T-TJCG7300-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,22220,V-SAIW_00B-190504,1A,33,8,5,V-SAIW_00B,19,5,4,13
8,25-02-23 0450,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2478942,Y-TSCT-1A3309.5,1A3309.5,Y-TSCT-Q05,1AA33,R312,T-TJCJ7166-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,22440,V-SAIW_00B-170104,1A,33,9,5,V-SAIW_00B,17,1,4,13
9,25-02-23 0452,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2483337,Y-TSCT-1A3309.4,1A3309.4,Y-TSCT-Q05,1AA33,R312,T-TJCG7313-2 (TQ),SAIW_00B,KRKAN,CNTSN,NOM86,NOM20,22G1,22300,V-SAIW_00B-190104,1A,33,9,4,V-SAIW_00B,19,1,4,13
