order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-02 1639,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2024446,Y-TSCT-1A5503.2,1A5503.2,Y-TSCT-Q03,1AA55,R311,T-TJC78381-2 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,19355,V-SAIW_00C-170806,1A,55,3,2,V-SAIW_00C,17,8,6,14
1,25-03-02 1640,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2346626,Y-TSCT-1A5503.1,1A5503.1,Y-TSCT-Q03,1AA55,R311,T-TJCB1380-2 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,19355,V-SAIW_00C-190806,1A,55,3,1,V-SAIW_00C,19,8,6,14
2,25-03-02 1651,UNIT_YARD_MOVE,LOAD,EXPRT,HSLU2405411,Y-TSCT-1A5501.3,1A5501.3,Y-TSCT-Q03,1AA55,R311,T-TJC55919-2 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,9369,V-SAIW_00C-170208,1A,55,1,3,V-SAIW_00C,17,2,8,14
3,25-03-02 1653,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2325074,Y-TSCT-1A5509.1,1A5509.1,Y-TSCT-Q03,1AA55,R311,T-TJCB1289-2 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,7418,V-SAIW_00C-190208,1A,55,9,1,V-SAIW_00C,19,2,8,14
4,25-03-02 1659,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2051518,Y-TSCT-1A5501.2,1A5501.2,Y-TSCT-Q03,1AA55,R311,T-TJCK2895-3 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,4712,V-SAIW_00C-170608,1A,55,1,2,V-SAIW_00C,17,6,8,14
5,25-03-02 1702,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2318199,Y-TSCT-1A5501.1,1A5501.1,Y-TSCT-Q03,1AA55,R311,T-TJC17008-3 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,11068,V-SAIW_00C-190608,1A,55,1,1,V-SAIW_00C,19,6,8,14
6,25-03-02 2047,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1802722,Y-TSCT-1A5506.2,1A5506.2,Y-TSCT-Q01,1AA55,R311,T-TJC75667-2 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,19355,V-SAIW_00C-290708,1A,55,6,2,V-SAIW_00C,29,7,8,14
7,25-03-02 2050,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1823643,Y-TSCT-1A5506.1,1A5506.1,Y-TSCT-Q01,1AA55,R311,T-TJCC0681-2 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,19355,V-SAIW_00C-310708,1A,55,6,1,V-SAIW_00C,31,7,8,14
8,25-03-02 2142,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1825939,Y-TSCT-1A5502.3,1A5502.3,Y-TSCT-Q04,1AA55,R311,T-TJCA1075-1 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,23700,V-SAIW_00C-130502,1A,55,2,3,V-SAIW_00C,13,5,2,14
9,25-03-02 2144,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU2921594,Y-TSCT-1A5502.2,1A5502.2,Y-TSCT-Q04,1AA55,R311,T-TJC16537-2 (TQ),SAIW_00C,KRPUS,CNTSN,NOM86,NOM20,22G1,22190,V-SAIW_00C-150502,1A,55,2,2,V-SAIW_00C,15,5,2,14
