order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-30 0516,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1944814,Y-TSCT-1A5511.4,1A5511.4,Y-TSCT-Q01,1AA55,R311,T-TJCB1815-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,29200,V-SAIW_00F-290104,1A,55,11,4,V-SAIW_00F,29,1,4,6
1,25-03-30 0518,UNIT_YARD_MOVE,LOAD,EXPRT,HSLU2000922,Y-TSCT-1A5511.3,1A5511.3,Y-TSCT-Q01,1AA55,R311,T-TJC57612-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,27150,V-SAIW_00F-310104,1A,55,11,3,V-SAIW_00F,31,1,4,6
2,25-03-30 0537,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2416914,Y-TSCT-1A5511.2,1A5511.2,Y-TSCT-Q01,1AA55,R311,T-TJC75852-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,29300,V-SAIW_00F-290404,1A,55,11,2,V-SAIW_00F,29,4,4,6
3,25-03-30 0539,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1662364,Y-TSCT-1A5511.1,1A5511.1,Y-TSCT-Q01,1AA55,R311,T-TJC56957-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,29300,V-SAIW_00F-310404,1A,55,11,1,V-SAIW_00F,31,4,4,6
4,25-03-30 0541,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2063605,Y-TSCT-1A5509.4,1A5509.4,Y-TSCT-Q01,1AA55,R311,T-TJC97981-1 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,21066,V-SAIW_00F-290106,1A,55,9,4,V-SAIW_00F,29,1,6,6
5,25-03-30 0543,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1824341,Y-TSCT-1A5509.3,1A5509.3,Y-TSCT-Q01,1AA55,R311,T-TJC97605-1 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,21086,V-SAIW_00F-310106,1A,55,9,3,V-SAIW_00F,31,1,6,6
6,25-03-30 0549,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU1946911,Y-TSCT-1A5510.2,1A5510.2,Y-TSCT-Q01,1AA55,R311,T-TJCL7169-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,18735,V-SAIW_00F-290406,1A,55,10,2,V-SAIW_00F,29,4,6,6
7,25-03-30 0553,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2301047,Y-TSCT-1A5510.1,1A5510.1,Y-TSCT-Q01,1AA55,R311,T-TJC75176-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,18755,V-SAIW_00F-310406,1A,55,10,1,V-SAIW_00F,31,4,6,6
8,25-03-30 0559,UNIT_YARD_MOVE,LOAD,EXPRT,HSLU2402372,Y-TSCT-1A5508.3,1A5508.3,Y-TSCT-Q04,1AA55,R311,T-BJA19600D-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,22980,V-SAIW_00F-030002,1A,55,8,3,V-SAIW_00F,3,0,2,6
9,25-03-30 0608,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1923299,Y-TSCT-1A5508.2,1A5508.2,Y-TSCT-Q04,1AA55,R311,T-TJC97605-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,22240,V-SAIW_00F-030106,1A,55,8,2,V-SAIW_00F,3,1,6,6
10,25-03-30 0616,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2318075,Y-TSCT-1A5508.1,1A5508.1,Y-TSCT-Q04,1AA55,R311,T-TJCA5282-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,22380,V-SAIW_00F-030108,1A,55,8,1,V-SAIW_00F,3,1,8,6
11,25-03-30 0633,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1629767,Y-TSCT-1A5507.1,1A5507.1,Y-TSCT-Q04,1AA55,R311,T-TJC13767-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,26360,V-SAIW_00F-010008,1A,55,7,1,V-SAIW_00F,1,0,8,6
12,25-03-30 0653,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1308052,Y-TSCT-1A5509.3,1A5509.3,Y-TSCT-Q01,1AA55,R311,T-TJC55609-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,20611,V-SAIW_00F-290706,1A,55,9,3,V-SAIW_00F,29,7,6,6
13,25-03-30 0655,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1674489,Y-TSCT-1A5510.1,1A5510.1,Y-TSCT-Q01,1AA55,R311,T-TJCB1815-1 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,21086,V-SAIW_00F-310706,1A,55,10,1,V-SAIW_00F,31,7,6,6
14,25-03-30 0658,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU0720229,Y-TSCT-1A5509.2,1A5509.2,Y-TSCT-Q01,1AA55,R311,T-TJC55569-1 (TQ),SAIW_00F,KRPUS,CNTSN,NOM86,NOM20,22G1,21146,V-SAIW_00F-290806,1A,55,9,2,V-SAIW_00F,29,8,6,6
15,25-03-30 0154,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU6230557,Y-TSCT-1A5805.5,1A5805.5,Y-TSCT-Q02,1AA58,R311,T-HBAKF848-2 (TQ),SAIW_00F,KRPUS,CNTSN,NOM96,NOM40,45G1,13100,V-SAIW_00F-260210,1A,58,5,5,V-SAIW_00F,26,2,10,6
