order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-05-02 0402,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2984817,Y-TSCT-2C2710.5,2C2710.5,Y-TSCT-Q11,2CA27,R326,T-TJCK6656-2 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,22030,V-SAIW_013-130502,2C,27,10,5,V-SAIW_013,13,5,2,10
1,25-05-02 0404,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1570463,Y-TSCT-2C2710.4,2C2710.4,Y-TSCT-Q11,2CA27,R326,T-TJC91915-2 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,21920,V-SAIW_013-150502,2C,27,10,4,V-SAIW_013,15,5,2,10
2,25-05-02 0406,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2117467,Y-TSCT-2C2709.5,2C2709.5,Y-TSCT-Q11,2CA27,R326,T-TJCC2820-2 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,22020,V-SAIW_013-130102,2C,27,9,5,V-SAIW_013,13,1,2,10
3,25-05-02 0407,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2075381,Y-TSCT-2C2709.4,2C2709.4,Y-TSCT-Q11,2CA27,R326,T-TJCC0177-2 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,22250,V-SAIW_013-150102,2C,27,9,4,V-SAIW_013,15,1,2,10
4,25-05-02 0412,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2094109,Y-TSCT-2C2708.5,2C2708.5,Y-TSCT-Q11,2CA27,R326,T-TJAU3722-3 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,22250,V-SAIW_013-130704,2C,27,8,5,V-SAIW_013,13,7,4,10
5,25-05-02 0414,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1600779,Y-TSCT-2C2708.4,2C2708.4,Y-TSCT-Q11,2CA27,R326,T-TJAU3781-2 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,22280,V-SAIW_013-150704,2C,27,8,4,V-SAIW_013,15,7,4,10
6,25-05-02 0417,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1306506,Y-TSCT-2C2707.5,2C2707.5,Y-TSCT-Q11,2CA27,R326,T-TJAU3701-3 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,22280,V-SAIW_013-130304,2C,27,7,5,V-SAIW_013,13,3,4,10
7,25-05-02 0419,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2492874,Y-TSCT-2C2707.4,2C2707.4,Y-TSCT-Q11,2CA27,R326,T-TJAW1729-1 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,22220,V-SAIW_013-150304,2C,27,7,4,V-SAIW_013,15,3,4,10
8,25-05-02 0421,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1537070,Y-TSCT-2C2709.3,2C2709.3,Y-TSCT-Q11,2CA27,R326,T-TJCB2521-2 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,22240,V-SAIW_013-130004,2C,27,9,3,V-SAIW_013,13,0,4,10
9,25-05-02 0422,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1553168,Y-TSCT-2C2709.2,2C2709.2,Y-TSCT-Q11,2CA27,R326,T-TJCB3797-2 (TQ),SAIW_013,KRKAN,CNTSN,NOM86,NOM20,22G1,22120,V-SAIW_013-150004,2C,27,9,2,V-SAIW_013,15,0,4,10
