order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-21 1126,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7689847,Y-TSCT-3B2605.2,3B2605.2,Y-TSCT-Q07,3BA26,R334,T-TJCC9825-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29664,V-SANYC_01B-240104,3B,26,5,2,V-SANYC_01B,24,1,4,2
1,25-02-21 1128,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6357912,Y-TSCT-3B2605.1,3B2605.1,Y-TSCT-Q07,3BA26,R334,T-TJC55565-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29664,V-SANYC_01B-240102,3B,26,5,1,V-SANYC_01B,24,1,2,2
2,25-02-21 1130,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU6157146,Y-TSCT-3B2606.3,3B2606.3,Y-TSCT-Q07,3BA26,R334,T-TJCC2532-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29664,V-SANYC_01B-240706,3B,26,6,3,V-SANYC_01B,24,7,6,2
3,25-02-21 1137,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6236124,Y-TSCT-3B2606.1,3B2606.1,Y-TSCT-Q07,3BA26,R334,T-TJC23160-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29880,V-SANYC_01B-240506,3B,26,6,1,V-SANYC_01B,24,5,6,2
4,25-02-21 1139,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6204786,Y-TSCT-3B2601.2,3B2601.2,Y-TSCT-Q07,3BA26,R334,T-TJC58578-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29880,V-SANYC_01B-240306,3B,26,1,2,V-SANYC_01B,24,3,6,2
5,25-02-21 1144,UNIT_YARD_MOVE,LOAD,EXPRT,KMTU9357229,Y-TSCT-3B2601.1,3B2601.1,Y-TSCT-Q07,3BA26,R334,T-TJC80879-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29664,V-SANYC_01B-240106,3B,26,1,1,V-SANYC_01B,24,1,6,2
6,25-02-21 1152,UNIT_YARD_MOVE,LOAD,EXPRT,GCXU5888896,Y-TSCT-3B2603.4,3B2603.4,Y-TSCT-Q07,3BA26,R334,T-TJCE0790-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29664,V-SANYC_01B-240708,3B,26,3,4,V-SANYC_01B,24,7,8,2
7,25-02-21 1154,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU7133237,Y-TSCT-3B2603.3,3B2603.3,Y-TSCT-Q07,3BA26,R334,T-TJC85951-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29880,V-SANYC_01B-240508,3B,26,3,3,V-SANYC_01B,24,5,8,2
8,25-02-21 1204,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU5021447,Y-TSCT-3B2604.5,3B2604.5,Y-TSCT-Q07,3BA26,R334,T-TJCE0639-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29664,V-SANYC_01B-240308,3B,26,4,5,V-SANYC_01B,24,3,8,2
9,25-02-21 1541,UNIT_YARD_MOVE,LOAD,EXPRT,FBLU0233957,Y-TSCT-3B2611.2,3B2611.2,Y-TSCT-Q07,3BA26,R334,T-TJCF1117-2 (TQ),SANYC_01B,KRPUS,CNTSN,NOM96,NOM40,45G1,11960,V-SANYC_01B-280288,3B,26,11,2,V-SANYC_01B,28,2,88,0
10,25-02-21 1543,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU5660417,Y-TSCT-3B2611.1,3B2611.1,Y-TSCT-Q07,3BA26,R334,T-TJCD3771-2 (TQ),SANYC_01B,KRPUS,CNTSN,NOM96,NOM40,45G1,9120,V-SANYC_01B-280488,3B,26,11,1,V-SANYC_01B,28,4,88,0
11,25-02-21 1546,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU4231291,Y-TSCT-3B2608.2,3B2608.2,Y-TSCT-Q07,3BA26,R334,T-TJCD0867-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,28050,V-SANYC_01B-240782,3B,26,8,2,V-SANYC_01B,24,7,82,2
12,25-02-21 1550,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU6008550,Y-TSCT-3B2608.1,3B2608.1,Y-TSCT-Q07,3BA26,R334,T-TJCD0767-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,27930,V-SANYC_01B-240982,3B,26,8,1,V-SANYC_01B,24,9,82,2
13,25-02-21 1553,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU9952289,Y-TSCT-3B2610.1,3B2610.1,Y-TSCT-Q07,3BA26,R334,T-TJCD0715-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29770,V-SANYC_01B-240582,3B,26,10,1,V-SANYC_01B,24,5,82,2
14,25-02-21 1556,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU6011507,Y-TSCT-3B2603.2,3B2603.2,Y-TSCT-Q07,3BA26,R334,T-TJCD0715-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29680,V-SANYC_01B-240382,3B,26,3,2,V-SANYC_01B,24,3,82,2
15,25-02-21 1558,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4791930,Y-TSCT-3B2603.1,3B2603.1,Y-TSCT-Q07,3BA26,R334,T-TJCD0867-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,29650,V-SANYC_01B-240182,3B,26,3,1,V-SANYC_01B,24,1,82,2
16,25-02-21 1600,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU4562673,Y-TSCT-3B2602.3,3B2602.3,Y-TSCT-Q07,3BA26,R334,T-TJCD0701-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,27830,V-SANYC_01B-240984,3B,26,2,3,V-SANYC_01B,24,9,84,2
17,25-02-21 1605,UNIT_YARD_MOVE,LOAD,EXPRT,CRSU9168028,Y-TSCT-3B2602.2,3B2602.2,Y-TSCT-Q07,3BA26,R334,T-TJCD0655-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,28030,V-SANYC_01B-240784,3B,26,2,2,V-SANYC_01B,24,7,84,2
18,25-02-21 1629,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU8582290,Y-TSCT-3B2609.3,3B2609.3,Y-TSCT-Q07,3BA26,R334,T-SXA07695D-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,28020,V-SANYC_01B-240584,3B,26,9,3,V-SANYC_01B,24,5,84,2
19,25-02-21 1631,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6519103,Y-TSCT-3B2609.2,3B2609.2,Y-TSCT-Q07,3BA26,R334,T-TJCD0715-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,27980,V-SANYC_01B-240384,3B,26,9,2,V-SANYC_01B,24,3,84,2
20,25-02-21 1633,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU8916994,Y-TSCT-3B2609.1,3B2609.1,Y-TSCT-Q07,3BA26,R334,T-TJCD0655-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,28020,V-SANYC_01B-240184,3B,26,9,1,V-SANYC_01B,24,1,84,2
21,25-02-21 1634,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6519171,Y-TSCT-3B2604.4,3B2604.4,Y-TSCT-Q07,3BA26,R334,T-TJC91072-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,8390,V-SANYC_01B-240986,3B,26,4,4,V-SANYC_01B,24,9,86,2
22,25-02-21 1637,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU8743029,Y-TSCT-3B2604.3,3B2604.3,Y-TSCT-Q07,3BA26,R334,T-TJC91072-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,8058,V-SANYC_01B-240786,3B,26,4,3,V-SANYC_01B,24,7,86,2
23,25-02-21 1643,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU8588719,Y-TSCT-3B2604.2,3B2604.2,Y-TSCT-Q07,3BA26,R334,T-TJC85951-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,8040,V-SANYC_01B-240586,3B,26,4,2,V-SANYC_01B,24,5,86,2
24,25-02-21 1645,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6826305,Y-TSCT-3B2604.1,3B2604.1,Y-TSCT-Q07,3BA26,R334,T-TJC85288-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,7404,V-SANYC_01B-240386,3B,26,4,1,V-SANYC_01B,24,3,86,2
25,25-02-21 1651,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6824621,Y-TSCT-3B2602.1,3B2602.1,Y-TSCT-Q07,3BA26,R334,T-TJCD0075-2 (TQ),SANYC_01B,JPNAO,CNTSN,NOM96,NOM40,45G1,28050,V-SANYC_01B-240186,3B,26,2,1,V-SANYC_01B,24,1,86,2
26,25-02-21 0956,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2429605,Y-TSCT-3B2905.3,3B2905.3,Y-TSCT-Q07,3BA29,R334,T-BJAMW907-2 (TQ),SANYC_01B,JPTOS,CNTSN,NOM86,NOM20,22G1,21619,V-SANYC_01B-270384,3B,29,5,3,V-SANYC_01B,27,3,84,0
27,25-02-21 0958,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU3058272,Y-TSCT-3B2905.2,3B2905.2,Y-TSCT-Q07,3BA29,R334,T-TJCL7169-2 (TQ),SANYC_01B,JPTOS,CNTSN,NOM86,NOM20,22G1,22210,V-SANYC_01B-290384,3B,29,5,2,V-SANYC_01B,29,3,84,0
28,25-02-21 1000,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2400427,Y-TSCT-3B2904.3,3B2904.3,Y-TSCT-Q07,3BA29,R334,T-TJC87692-3 (TQ),SANYC_01B,JPTOS,CNTSN,NOM86,NOM20,22G1,16640,V-SANYC_01B-270184,3B,29,4,3,V-SANYC_01B,27,1,84,0
