order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-11 0314,UNIT_YARD_MOVE,LOAD,EXPRT,STXU2068898,Y-TSCT-1C6709.3,1C6709.3,Y-TSCT-Q09,1CA67,R315,T-TJC81018-3 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,20135,V-SANYC_01D-090202,1C,67,9,3,V-SANYC_01D,9,2,2,2
1,25-03-11 0321,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0445250,Y-TSCT-1C6709.2,1C6709.2,Y-TSCT-Q09,1CA67,R315,T-SDUU6280-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,20250,V-SANYC_01D-090604,1C,67,9,2,V-SANYC_01D,9,6,4,2
2,25-03-11 0328,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2276980,Y-TSCT-1C6709.1,1C6709.1,Y-TSCT-Q09,1CA67,R315,T-TJCB1631-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,20230,V-SANYC_01D-090806,1C,67,9,1,V-SANYC_01D,9,8,6,2
3,25-03-11 0432,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2667108,Y-TSCT-1C6710.5,1C6710.5,Y-TSCT-Q09,1CA67,R315,T-TJC08959-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,26258,V-SANYC_01D-070204,1C,67,10,5,V-SANYC_01D,7,2,4,2
4,25-03-11 0434,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1602480,Y-TSCT-1C6710.4,1C6710.4,Y-TSCT-Q09,1CA67,R315,T-TJC39652-3 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,26148,V-SANYC_01D-090204,1C,67,10,4,V-SANYC_01D,9,2,4,2
5,25-03-11 0448,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2220897,Y-TSCT-1C6711.4,1C6711.4,Y-TSCT-Q09,1CA67,R315,T-TJCA6309-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,26148,V-SANYC_01D-070206,1C,67,11,4,V-SANYC_01D,7,2,6,2
6,25-03-11 0450,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU3058225,Y-TSCT-1C6711.3,1C6711.3,Y-TSCT-Q09,1CA67,R315,T-TJCG1672-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,27225,V-SANYC_01D-090206,1C,67,11,3,V-SANYC_01D,9,2,6,2
7,25-03-11 0452,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU6238167,Y-TSCT-1C6710.3,1C6710.3,Y-TSCT-Q09,1CA67,R315,T-TJCA1605-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,26148,V-SANYC_01D-070606,1C,67,10,3,V-SANYC_01D,7,6,6,2
8,25-03-11 0454,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU2386876,Y-TSCT-1C6710.2,1C6710.2,Y-TSCT-Q09,1CA67,R315,T-TJC70359-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,27125,V-SANYC_01D-090606,1C,67,10,2,V-SANYC_01D,9,6,6,2
9,25-03-11 0457,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1312279,Y-TSCT-1C6706.4,1C6706.4,Y-TSCT-Q09,1CA67,R315,T-TJCG7122-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,7902,V-SANYC_01D-070208,1C,67,6,4,V-SANYC_01D,7,2,8,2
10,25-03-11 0500,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU2013353,Y-TSCT-1C6706.3,1C6706.3,Y-TSCT-Q09,1CA67,R315,T-TJC75715-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,4720,V-SANYC_01D-090208,1C,67,6,3,V-SANYC_01D,9,2,8,2
11,25-03-11 0505,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2215627,Y-TSCT-1C6706.2,1C6706.2,Y-TSCT-Q09,1CA67,R315,T-TJAU3736-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,3410,V-SANYC_01D-070608,1C,67,6,2,V-SANYC_01D,7,6,8,2
12,25-03-11 0507,UNIT_YARD_MOVE,LOAD,EXPRT,CKLU2055117,Y-TSCT-1C6706.1,1C6706.1,Y-TSCT-Q09,1CA67,R315,T-TJCG1298-2 (TQ),SANYC_01D,KRPUS,CNTSN,NOM86,NOM20,22G1,7028,V-SANYC_01D-090608,1C,67,6,1,V-SANYC_01D,9,6,8,2
13,25-03-11 0540,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2737592,Y-TSCT-1C6704.5,1C6704.5,Y-TSCT-Q09,1CA67,R315,T-TJC75726-3 (TQ),SANYC_01D,KRKPO,CNTSN,NOM86,NOM20,22G1,22250,V-SANYC_01D-050306,1C,67,4,5,V-SANYC_01D,5,3,6,2
14,25-03-11 0610,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2215503,Y-TSCT-1C6703.5,1C6703.5,Y-TSCT-Q09,1CA67,R315,T-TJC96962-2 (TQ),SANYC_01D,KRKPO,CNTSN,NOM86,NOM20,22G1,22140,V-SANYC_01D-050508,1C,67,3,5,V-SANYC_01D,5,5,8,2
15,25-03-11 0619,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2736343,Y-TSCT-1C6704.4,1C6704.4,Y-TSCT-Q09,1CA67,R315,T-TJCM1229-2 (TQ),SANYC_01D,KRKPO,CNTSN,NOM86,NOM20,22G1,22250,V-SANYC_01D-030106,1C,67,4,4,V-SANYC_01D,3,1,6,2
16,25-03-11 0621,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0490074,Y-TSCT-1C6704.3,1C6704.3,Y-TSCT-Q09,1CA67,R315,T-TJC08936-2 (TQ),SANYC_01D,KRKPO,CNTSN,NOM86,NOM20,22G1,22240,V-SANYC_01D-050106,1C,67,4,3,V-SANYC_01D,5,1,6,2
17,25-03-11 0625,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1604098,Y-TSCT-1C6703.4,1C6703.4,Y-TSCT-Q09,1CA67,R315,T-TJCF1270-2 (TQ),SANYC_01D,KRKPO,CNTSN,NOM86,NOM20,22G1,22140,V-SANYC_01D-030308,1C,67,3,4,V-SANYC_01D,3,3,8,2
18,25-03-11 0629,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2665070,Y-TSCT-1C6704.2,1C6704.2,Y-TSCT-Q09,1CA67,R315,T-TJCG1672-2 (TQ),SANYC_01D,KRKPO,CNTSN,NOM86,NOM20,22G1,22250,V-SANYC_01D-030108,1C,67,4,2,V-SANYC_01D,3,1,8,2
