order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-09 1738,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU5537959,Y-TSCT-2C1409.5,2C1409.5,Y-TSCT-Q11,2CA14,R326,T-TJCG1268-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,31318,V-SHANC2_001-220508,2C,14,9,5,V-SHANC2_001,22,5,8,3
1,25-03-09 1739,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU7141567,Y-TSCT-2C1409.4,2C1409.4,Y-TSCT-Q11,2CA14,R326,T-HBFQ4651-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,30448,V-SHANC2_001-220308,2C,14,9,4,V-SHANC2_001,22,3,8,3
2,25-03-09 1742,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU7149110,Y-TSCT-2C1409.3,2C1409.3,Y-TSCT-Q11,2CA14,R326,T-TJCG1610-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,30622,V-SHANC2_001-220108,2C,14,9,3,V-SHANC2_001,22,1,8,3
3,25-03-09 1746,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU7138557,Y-TSCT-2C1409.2,2C1409.2,Y-TSCT-Q11,2CA14,R326,T-TJC75172-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,27800,V-SHANC2_001-220008,2C,14,9,2,V-SHANC2_001,22,0,8,3
4,25-03-09 1947,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU7839158,Y-TSCT-2C1407.5,2C1407.5,Y-TSCT-Q11,2CA14,R326,T-TJAU3709-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,20820,V-SHANC2_001-180782,2C,14,7,5,V-SHANC2_001,18,7,82,3
5,25-03-09 1949,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU5370877,Y-TSCT-2C1407.4,2C1407.4,Y-TSCT-Q11,2CA14,R326,T-TJAW1736-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,20190,V-SHANC2_001-180582,2C,14,7,4,V-SHANC2_001,18,5,82,3
6,25-03-09 1951,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU5228960,Y-TSCT-2C1405.3,2C1405.3,Y-TSCT-Q11,2CA14,R326,T-TJC55569-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,30808,V-SHANC2_001-180382,2C,14,5,3,V-SHANC2_001,18,3,82,3
7,25-03-09 1953,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU6226773,Y-TSCT-2C1405.2,2C1405.2,Y-TSCT-Q11,2CA14,R326,T-TJC57612-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,30728,V-SHANC2_001-180182,2C,14,5,2,V-SHANC2_001,18,1,82,3
8,25-03-09 1955,UNIT_YARD_MOVE,LOAD,EXPRT,BWRU5701900,Y-TSCT-2C1405.1,2C1405.1,Y-TSCT-Q11,2CA14,R326,T-TJCB2091-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,28590,V-SHANC2_001-180082,2C,14,5,1,V-SHANC2_001,18,0,82,3
9,25-03-09 1956,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU4290490,Y-TSCT-2C1407.3,2C1407.3,Y-TSCT-Q11,2CA14,R326,T-TJCE2975-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,19421,V-SHANC2_001-180482,2C,14,7,3,V-SHANC2_001,18,4,82,3
10,25-03-09 1959,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU5135705,Y-TSCT-2C1407.2,2C1407.2,Y-TSCT-Q11,2CA14,R326,T-TJCJ2237-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,18915,V-SHANC2_001-180682,2C,14,7,2,V-SHANC2_001,18,6,82,3
11,25-03-09 2006,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU4781441,Y-TSCT-2C1407.1,2C1407.1,Y-TSCT-Q11,2CA14,R326,T-TJCG8261-2 (TQ),SHANC2_001,KRPUS,CNTSN,NOM96,NOM40,45G1,18434,V-SHANC2_001-180882,2C,14,7,1,V-SHANC2_001,18,8,82,3
