order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-05-05 2231,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1126614,Y-TSCT-1B1910.4,1B1910.4,Y-TSCT-Q02,1BA19,R314,T-TJCB7290-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17360,V-SHANGH5_000-170106,1B,19,10,4,V-SHANGH5_000,17,1,6,1
1,25-05-05 2232,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0157642,Y-TSCT-1B1910.3,1B1910.3,Y-TSCT-Q02,1BA19,R314,T-TJC97333-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17440,V-SHANGH5_000-190106,1B,19,10,3,V-SHANGH5_000,19,1,6,1
2,25-05-05 2234,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0174866,Y-TSCT-1B1911.3,1B1911.3,Y-TSCT-Q02,1BA19,R314,T-TJC68130-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17440,V-SHANGH5_000-170206,1B,19,11,3,V-SHANGH5_000,17,2,6,1
3,25-05-05 2235,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU2625978,Y-TSCT-1B1911.2,1B1911.2,Y-TSCT-Q02,1BA19,R314,T-TJC57612-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17460,V-SHANGH5_000-190206,1B,19,11,2,V-SHANGH5_000,19,2,6,1
4,25-05-05 2244,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0134143,Y-TSCT-1B1909.3,1B1909.3,Y-TSCT-Q02,1BA19,R314,T-TJCB6558-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17445,V-SHANGH5_000-170308,1B,19,9,3,V-SHANGH5_000,17,3,8,1
5,25-05-05 2246,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0140824,Y-TSCT-1B1909.2,1B1909.2,Y-TSCT-Q02,1BA19,R314,T-TJA26918D-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17440,V-SHANGH5_000-190308,1B,19,9,2,V-SHANGH5_000,19,3,8,1
6,25-05-05 2249,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0074949,Y-TSCT-1B1910.2,1B1910.2,Y-TSCT-Q02,1BA19,R314,T-TJC56779-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17445,V-SHANGH5_000-170008,1B,19,10,2,V-SHANGH5_000,17,0,8,1
7,25-05-05 2251,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU1958687,Y-TSCT-1B1910.1,1B1910.1,Y-TSCT-Q02,1BA19,R314,T-TJA25008D-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17450,V-SHANGH5_000-190008,1B,19,10,1,V-SHANGH5_000,19,0,8,1
8,25-05-05 2257,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU1562688,Y-TSCT-1B1911.1,1B1911.1,Y-TSCT-Q02,1BA19,R314,T-TJC97605-3 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17320,V-SHANGH5_000-170408,1B,19,11,1,V-SHANGH5_000,17,4,8,1
9,25-05-05 2259,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU6927159,Y-TSCT-1B1909.1,1B1909.1,Y-TSCT-Q02,1BA19,R314,T-BJA03558D-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,17490,V-SHANGH5_000-190408,1B,19,9,1,V-SHANGH5_000,19,4,8,1
10,25-05-05 2135,UNIT_YARD_MOVE,LOAD,EXPRT,DJLU2011843,Y-TSCT-1B5709.4,1B5709.4,Y-TSCT-Q02,1BA57,R313,T-TJC79578-3 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,26510,V-SHANGH5_000-170102,1B,57,9,4,V-SHANGH5_000,17,1,2,1
11,25-05-05 2137,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU3726763,Y-TSCT-1B5709.3,1B5709.3,Y-TSCT-Q02,1BA57,R313,T-TJA21179D-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,27865,V-SHANGH5_000-190102,1B,57,9,3,V-SHANGH5_000,19,1,2,1
12,25-05-05 2157,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1299116,Y-TSCT-1B5709.2,1B5709.2,Y-TSCT-Q02,1BA57,R313,T-HBFS7322-2 (TQ),SHANGH5_000,KRPUS,CNTSN,NOM86,NOM20,22G1,28700,V-SHANGH5_000-170202,1B,57,9,2,V-SHANGH5_000,17,2,2,1
