order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-16 0430,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU4656625,Y-TSCT-1B3609.5,1B3609.5,Y-TSCT-Q01,1BA36,R314,T-TJC91766-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,32234,V-SHIM_018-540408,1B,36,9,5,V-SHIM_018,54,4,8,12
1,25-03-16 0434,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU6158841,Y-TSCT-1B3609.4,1B3609.4,Y-TSCT-Q01,1BA36,R314,T-HBFR4867-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,30902,V-SHIM_018-540608,1B,36,9,4,V-SHIM_018,54,6,8,12
2,25-03-16 0446,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU5233823,Y-TSCT-1B3609.3,1B3609.3,Y-TSCT-Q01,1BA36,R313,T-HBFS4815-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,28934,V-SHIM_018-540808,1B,36,9,3,V-SHIM_018,54,8,8,12
3,25-03-16 0455,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU7953471,Y-TSCT-1B3609.2,1B3609.2,Y-TSCT-Q01,1BA36,R313,T-HBFN6696-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,27689,V-SHIM_018-541008,1B,36,9,2,V-SHIM_018,54,10,8,12
4,25-03-16 0458,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU4858932,Y-TSCT-1B3609.1,1B3609.1,Y-TSCT-Q01,1BA36,R313,T-TJC80960-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,29694,V-SHIM_018-540410,1B,36,9,1,V-SHIM_018,54,4,10,12
5,25-03-16 0500,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU5483085,Y-TSCT-1B3608.5,1B3608.5,Y-TSCT-Q01,1BA36,R313,T-TJCK5977-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,32314,V-SHIM_018-540610,1B,36,8,5,V-SHIM_018,54,6,10,12
6,25-03-16 0503,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0411672,Y-TSCT-1B3608.4,1B3608.4,Y-TSCT-Q01,1BA36,R313,T-TJC79909-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,32314,V-SHIM_018-540810,1B,36,8,4,V-SHIM_018,54,8,10,12
7,25-03-16 0517,UNIT_YARD_MOVE,LOAD,EXPRT,KKFU7895293,Y-TSCT-1B3608.3,1B3608.3,Y-TSCT-Q01,1BA36,R313,T-TJCJ7200-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,30360,V-SHIM_018-541010,1B,36,8,3,V-SHIM_018,54,10,10,12
8,25-03-16 0520,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU3599330,Y-TSCT-1B3608.2,1B3608.2,Y-TSCT-Q01,1BA36,R313,T-TJCH9150-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,30440,V-SHIM_018-540412,1B,36,8,2,V-SHIM_018,54,4,12,12
9,25-03-16 0522,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU4663612,Y-TSCT-1B3608.1,1B3608.1,Y-TSCT-Q01,1BA36,R313,T-HBFN5272-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,31209,V-SHIM_018-540612,1B,36,8,1,V-SHIM_018,54,6,12,12
10,25-03-16 0524,UNIT_YARD_MOVE,LOAD,EXPRT,UETU5836588,Y-TSCT-1B3604.4,1B3604.4,Y-TSCT-Q01,1BA36,R313,T-TJA26275D-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,32314,V-SHIM_018-540812,1B,36,4,4,V-SHIM_018,54,8,12,12
11,25-03-16 0526,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU5025497,Y-TSCT-1B3604.3,1B3604.3,Y-TSCT-Q01,1BA36,R313,T-TJCK2083-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,31307,V-SHIM_018-541012,1B,36,4,3,V-SHIM_018,54,10,12,12
12,25-03-16 0528,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU9192143,Y-TSCT-1B3604.2,1B3604.2,Y-TSCT-Q01,1BA36,R313,T-TJCB3132-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,29890,V-SHIM_018-540414,1B,36,4,2,V-SHIM_018,54,4,14,12
13,25-03-16 0530,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1253389,Y-TSCT-1B3604.1,1B3604.1,Y-TSCT-Q01,1BA36,R313,T-TJCE2267-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,28618,V-SHIM_018-540614,1B,36,4,1,V-SHIM_018,54,6,14,12
14,25-03-16 0536,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU3377652,Y-TSCT-1B3607.5,1B3607.5,Y-TSCT-Q01,1BA36,R313,T-TJC08969-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,21700,V-SHIM_018-540814,1B,36,7,5,V-SHIM_018,54,8,14,12
15,25-03-16 0538,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU8877545,Y-TSCT-1B3607.4,1B3607.4,Y-TSCT-Q01,1BA36,R313,T-TJA28075D-2 (TQ),SHIM_018,SGSIN,CNTSN,NOM96,NOM40,45G1,21280,V-SHIM_018-541014,1B,36,7,4,V-SHIM_018,54,10,14,12
