order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-13 0833,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU7424356,Y-TSCT-1B3610.5,1B3610.5,Y-TSCT-Q08,1BA36,R313,T-TJCJ7699-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,23720,V-TAIS1_000-580974,1B,36,10,5,V-TAIS1_000,58,9,74,27
1,25-03-13 0835,UNIT_YARD_MOVE,LOAD,EXPRT,MSBU8168966,Y-TSCT-1B3610.4,1B3610.4,Y-TSCT-Q08,1BA36,R313,T-HBJ7A377-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,24712,V-TAIS1_000-580774,1B,36,10,4,V-TAIS1_000,58,7,74,27
2,25-03-13 0837,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU7884770,Y-TSCT-1B3610.3,1B3610.3,Y-TSCT-Q08,1BA36,R313,T-TJCL8906-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,23570,V-TAIS1_000-580574,1B,36,10,3,V-TAIS1_000,58,5,74,27
3,25-03-13 0840,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU4342013,Y-TSCT-1B3610.2,1B3610.2,Y-TSCT-Q08,1BA36,R313,T-TJCK2877-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,24570,V-TAIS1_000-580374,1B,36,10,2,V-TAIS1_000,58,3,74,27
4,25-03-13 0841,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU2923843,Y-TSCT-1B3610.1,1B3610.1,Y-TSCT-Q08,1BA36,R313,T-TJC55188-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,25447,V-TAIS1_000-580174,1B,36,10,1,V-TAIS1_000,58,1,74,27
5,25-03-13 1133,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU5342112,Y-TSCT-1B3605.5,1B3605.5,Y-TSCT-Q11,1BA36,R314,T-TJC97981-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,31812,V-TAIS1_000-301212,1B,36,5,5,V-TAIS1_000,30,12,12,27
6,25-03-13 1143,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU7407808,Y-TSCT-1B3604.4,1B3604.4,Y-TSCT-Q11,1BA36,R313,T-TJCG8178-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,31952,V-TAIS1_000-301812,1B,36,4,4,V-TAIS1_000,30,18,12,27
7,25-03-13 1146,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU8189469,Y-TSCT-1B3605.3,1B3605.3,Y-TSCT-Q11,1BA36,R313,T-TJCK5681-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,31483,V-TAIS1_000-302012,1B,36,5,3,V-TAIS1_000,30,20,12,27
8,25-03-13 1148,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU7935253,Y-TSCT-1B3604.3,1B3604.3,Y-TSCT-Q11,1BA36,R313,T-TJCC3927-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,31952,V-TAIS1_000-302212,1B,36,4,3,V-TAIS1_000,30,22,12,27
9,25-03-13 1151,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU7354570,Y-TSCT-1B3605.2,1B3605.2,Y-TSCT-Q11,1BA36,R313,T-TJCG9839-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,31878,V-TAIS1_000-301214,1B,36,5,2,V-TAIS1_000,30,12,14,27
10,25-03-13 1153,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU5589835,Y-TSCT-1B3604.2,1B3604.2,Y-TSCT-Q11,1BA36,R313,T-TJCH1851-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,31812,V-TAIS1_000-301414,1B,36,4,2,V-TAIS1_000,30,14,14,27
11,25-03-13 1155,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU8627307,Y-TSCT-1B3605.1,1B3605.1,Y-TSCT-Q11,1BA36,R313,T-TJCG9332-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,31642,V-TAIS1_000-301614,1B,36,5,1,V-TAIS1_000,30,16,14,27
12,25-03-13 1200,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU8063697,Y-TSCT-1B3602.4,1B3602.4,Y-TSCT-Q11,1BA36,R313,T-TJCE2757-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,32064,V-TAIS1_000-302014,1B,36,2,4,V-TAIS1_000,30,20,14,27
13,25-03-13 1203,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU8661512,Y-TSCT-1B3602.3,1B3602.3,Y-TSCT-Q11,1BA36,R313,T-TJCG8178-2 (TQ),TAIS1_000,EGSUZ,CNTSN,NOM96,NOM40,45G1,31952,V-TAIS1_000-302214,1B,36,2,3,V-TAIS1_000,30,22,14,27
