order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-04 0546,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU5082732,Y-TSCT-1C5609.5,1C5609.5,Y-TSCT-Q12,1CA56,R316,T-TJCG1086-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,21660,V-TIANB_000-100708,1C,56,9,5,V-TIANB_000,10,7,8,1
1,25-04-04 0547,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU9770709,Y-TSCT-1C5609.4,1C5609.4,Y-TSCT-Q12,1CA56,R316,T-TJCG1768-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,21560,V-TIANB_000-100508,1C,56,9,4,V-TIANB_000,10,5,8,1
2,25-04-04 0551,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU5514470,Y-TSCT-1C5609.3,1C5609.3,Y-TSCT-Q12,1CA56,R316,T-TJCG1076-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,21590,V-TIANB_000-100308,1C,56,9,3,V-TIANB_000,10,3,8,1
3,25-04-04 0556,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU9332069,Y-TSCT-1C5609.2,1C5609.2,Y-TSCT-Q12,1CA56,R316,T-TJCE2055-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,21590,V-TIANB_000-100108,1C,56,9,2,V-TIANB_000,10,1,8,1
4,25-04-04 0604,UNIT_YARD_MOVE,LOAD,EXPRT,FSCU9914095,Y-TSCT-1C5609.1,1C5609.1,Y-TSCT-Q12,1CA56,R315,T-TJCE2161-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,21660,V-TIANB_000-100208,1C,56,9,1,V-TIANB_000,10,2,8,1
5,25-04-04 0606,UNIT_YARD_MOVE,LOAD,EXPRT,HNKU5114671,Y-TSCT-1C5608.4,1C5608.4,Y-TSCT-Q12,1CA56,R315,T-TJCG1612-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,24340,V-TIANB_000-100408,1C,56,8,4,V-TIANB_000,10,4,8,1
6,25-04-04 0607,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU8661603,Y-TSCT-1C5608.3,1C5608.3,Y-TSCT-Q12,1CA56,R315,T-SDUT9163-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,21660,V-TIANB_000-100608,1C,56,8,3,V-TIANB_000,10,6,8,1
7,25-04-04 0609,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU5514059,Y-TSCT-1C5608.2,1C5608.2,Y-TSCT-Q12,1CA56,R315,T-TJCE2976-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,21590,V-TIANB_000-100808,1C,56,8,2,V-TIANB_000,10,8,8,1
8,25-04-04 0611,UNIT_YARD_MOVE,LOAD,EXPRT,HDMU6892647,Y-TSCT-1C5608.1,1C5608.1,Y-TSCT-Q12,1CA56,R315,T-TJC97372-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,21560,V-TIANB_000-100282,1C,56,8,1,V-TIANB_000,10,2,82,1
9,25-04-04 0625,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU6587208,Y-TSCT-1C5603.5,1C5603.5,Y-TSCT-Q11,1CA56,R315,T-TJCK6321-2 (TQ),TIANB_000,KRPUS,CNTSN,NOM96,NOM40,45G1,26132,V-TIANB_000-220706,1C,56,3,5,V-TIANB_000,22,7,6,1
