order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-25 0224,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU2537819,Y-TSCT-2A2703.4,2A2703.4,Y-TSCT-Q06,2AA27,R322,T-TJCD1165-3 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,23953,V-TIANJNS_033-090102,2A,27,3,4,V-TIANJNS_033,9,1,2,2
1,25-02-25 0231,UNIT_YARD_MOVE,LOAD,EXPRT,KMTU7406751,Y-TSCT-2A2704.4,2A2704.4,Y-TSCT-Q06,2AA27,R322,T-TJC93635-3 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,23504,V-TIANJNS_033-110102,2A,27,4,4,V-TIANJNS_033,11,1,2,2
2,25-02-25 0240,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU1736052,Y-TSCT-2A2707.1,2A2707.1,Y-TSCT-Q06,2AA27,R322,T-TJAW1728-2 (TQ),TIANJNS_033,JPSAK,CNTSN,NOM86,NOM20,22G1,11916,V-TIANJNS_033-110002,2A,27,7,1,V-TIANJNS_033,11,0,2,1
3,25-02-25 0320,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0193486,Y-TSCT-2A2710.5,2A2710.5,Y-TSCT-Q05,2AA27,R322,T-TJAU3673-3 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-TIANJNS_033-250002,2A,27,10,5,V-TIANJNS_033,25,0,2,1
4,25-02-25 0322,UNIT_YARD_MOVE,LOAD,EXPRT,LYGU3125365,Y-TSCT-2A2710.4,2A2710.4,Y-TSCT-Q05,2AA27,R322,T-TJAU3736-2 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-TIANJNS_033-270002,2A,27,10,4,V-TIANJNS_033,27,0,2,1
5,25-02-25 0324,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0112340,Y-TSCT-2A2709.5,2A2709.5,Y-TSCT-Q05,2AA27,R322,T-TJAW1836-3 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19345,V-TIANJNS_033-250104,2A,27,9,5,V-TIANJNS_033,25,1,4,1
6,25-02-25 0326,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0161160,Y-TSCT-2A2709.4,2A2709.4,Y-TSCT-Q05,2AA27,R322,T-TJAU3736-2 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19340,V-TIANJNS_033-270104,2A,27,9,4,V-TIANJNS_033,27,1,4,1
7,25-02-25 0328,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1119458,Y-TSCT-2A2705.4,2A2705.4,Y-TSCT-Q06,2AA27,R322,T-TJCK2002-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,27200,V-TIANJNS_033-090504,2A,27,5,4,V-TIANJNS_033,9,5,4,2
8,25-02-25 0330,UNIT_YARD_MOVE,LOAD,EXPRT,KMTU7442790,Y-TSCT-2A2705.3,2A2705.3,Y-TSCT-Q06,2AA27,R322,T-TJA26560D-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,27890,V-TIANJNS_033-110504,2A,27,5,3,V-TIANJNS_033,11,5,4,2
9,25-02-25 0335,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0142771,Y-TSCT-2A2711.2,2A2711.2,Y-TSCT-Q05,2AA27,R322,T-TJAU3652-3 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19340,V-TIANJNS_033-250006,2A,27,11,2,V-TIANJNS_033,25,0,6,1
10,25-02-25 0338,UNIT_YARD_MOVE,LOAD,EXPRT,LYGU3121420,Y-TSCT-2A2711.1,2A2711.1,Y-TSCT-Q05,2AA27,R322,T-TJAU3736-2 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-TIANJNS_033-270006,2A,27,11,1,V-TIANJNS_033,27,0,6,1
11,25-02-25 0340,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2432511,Y-TSCT-2A2703.3,2A2703.3,Y-TSCT-Q06,2AA27,R322,T-TJC93512-3 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,23032,V-TIANJNS_033-090304,2A,27,3,3,V-TIANJNS_033,9,3,4,2
12,25-02-25 0342,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU1761108,Y-TSCT-2A2703.2,2A2703.2,Y-TSCT-Q06,2AA27,R322,T-TJAW1912-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,22450,V-TIANJNS_033-110304,2A,27,3,2,V-TIANJNS_033,11,3,4,2
13,25-02-25 0345,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3216707,Y-TSCT-2A2704.3,2A2704.3,Y-TSCT-Q06,2AA27,R322,T-TJCK2582-3 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,22228,V-TIANJNS_033-090004,2A,27,4,3,V-TIANJNS_033,9,0,4,2
14,25-02-25 0347,UNIT_YARD_MOVE,LOAD,EXPRT,KMTU7387688,Y-TSCT-2A2706.3,2A2706.3,Y-TSCT-Q06,2AA27,R322,T-TJCK5388-3 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,27940,V-TIANJNS_033-110004,2A,27,6,3,V-TIANJNS_033,11,0,4,2
15,25-02-25 0349,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1381923,Y-TSCT-2A2707.1,2A2707.1,Y-TSCT-Q05,2AA27,R322,T-TJAW1893-3 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-TIANJNS_033-250302,2A,27,7,1,V-TIANJNS_033,25,3,2,1
16,25-02-25 0354,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2128147,Y-TSCT-2A2710.1,2A2710.1,Y-TSCT-Q05,2AA27,R322,T-TJAW1811-2 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19340,V-TIANJNS_033-250008,2A,27,10,1,V-TIANJNS_033,25,0,8,1
17,25-02-25 0359,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2101059,Y-TSCT-2A2709.1,2A2709.1,Y-TSCT-Q05,2AA27,R322,T-TJAW1912-2 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19345,V-TIANJNS_033-270008,2A,27,9,1,V-TIANJNS_033,27,0,8,1
18,25-02-25 0403,UNIT_YARD_MOVE,LOAD,EXPRT,LYGU3121185,Y-TSCT-2A2701.1,2A2701.1,Y-TSCT-Q06,2AA27,R322,T-TJCC5970-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,21540,V-TIANJNS_033-090306,2A,27,1,1,V-TIANJNS_033,9,3,6,2
19,25-02-25 0405,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU4040732,Y-TSCT-2A2705.2,2A2705.2,Y-TSCT-Q06,2AA27,R322,T-TJCK6657-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,27300,V-TIANJNS_033-090506,2A,27,5,2,V-TIANJNS_033,9,5,6,2
20,25-02-25 0407,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU2971018,Y-TSCT-2A2705.1,2A2705.1,Y-TSCT-Q06,2AA27,R322,T-TJCA5867-1 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,26885,V-TIANJNS_033-110506,2A,27,5,1,V-TIANJNS_033,11,5,6,2
21,25-02-25 0409,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU3201561,Y-TSCT-2A2702.3,2A2702.3,Y-TSCT-Q06,2AA27,R322,T-TJC55609-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,18260,V-TIANJNS_033-090106,2A,27,2,3,V-TIANJNS_033,9,1,6,2
22,25-02-25 0413,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2393800,Y-TSCT-2A2703.1,2A2703.1,Y-TSCT-Q06,2AA27,R322,T-TJC08959-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,22240,V-TIANJNS_033-110106,2A,27,3,1,V-TIANJNS_033,11,1,6,2
23,25-02-25 0415,UNIT_YARD_MOVE,LOAD,EXPRT,NSJU0001864,Y-TSCT-2A2708.2,2A2708.2,Y-TSCT-Q05,2AA27,R322,T-TJAU3635-3 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19360,V-TIANJNS_033-250504,2A,27,8,2,V-TIANJNS_033,25,5,4,1
24,25-02-25 0418,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU3726969,Y-TSCT-2A2711.1,2A2711.1,Y-TSCT-Q05,2AA27,R322,T-TJAW1729-2 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-TIANJNS_033-250506,2A,27,11,1,V-TIANJNS_033,25,5,6,1
25,25-02-25 0420,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0199714,Y-TSCT-2A2707.1,2A2707.1,Y-TSCT-Q05,2AA27,R322,T-TJAU3783-2 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-TIANJNS_033-270506,2A,27,7,1,V-TIANJNS_033,27,5,6,1
26,25-02-25 0425,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU1560237,Y-TSCT-2A2710.1,2A2710.1,Y-TSCT-Q05,2AA27,R322,T-TJAU3725-3 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19220,V-TIANJNS_033-250306,2A,27,10,1,V-TIANJNS_033,25,3,6,1
27,25-02-25 0442,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2122576,Y-TSCT-2A2705.1,2A2705.1,Y-TSCT-Q05,2AA27,R322,T-TJAW1893-3 (TQ),TIANJNS_033,JPONA,CNTSN,NOM86,NOM20,22G1,19340,V-TIANJNS_033-270306,2A,27,5,1,V-TIANJNS_033,27,3,6,1
28,25-02-25 0450,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2656886,Y-TSCT-2A2704.2,2A2704.2,Y-TSCT-Q06,2AA27,R322,T-TJC55850-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,22388,V-TIANJNS_033-090006,2A,27,4,2,V-TIANJNS_033,9,0,6,2
29,25-02-25 0452,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU1299410,Y-TSCT-2A2706.2,2A2706.2,Y-TSCT-Q06,2AA27,R322,T-TJCG1715-3 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,27280,V-TIANJNS_033-110006,2A,27,6,2,V-TIANJNS_033,11,0,6,2
30,25-02-25 0503,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0188887,Y-TSCT-2A2704.1,2A2704.1,Y-TSCT-Q06,2AA27,R322,T-TJCG1750-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,21251,V-TIANJNS_033-090582,2A,27,4,1,V-TIANJNS_033,9,5,82,2
31,25-02-25 0505,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2848636,Y-TSCT-2A2706.1,2A2706.1,Y-TSCT-Q06,2AA27,R322,T-TJC07918-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,27310,V-TIANJNS_033-110582,2A,27,6,1,V-TIANJNS_033,11,5,82,2
32,25-02-25 0507,UNIT_YARD_MOVE,LOAD,EXPRT,NSJU0000195,Y-TSCT-2A2702.2,2A2702.2,Y-TSCT-Q06,2AA27,R322,T-TJC58975-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,20046,V-TIANJNS_033-090584,2A,27,2,2,V-TIANJNS_033,9,5,84,2
33,25-02-25 0509,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0186980,Y-TSCT-2A2702.1,2A2702.1,Y-TSCT-Q06,2AA27,R322,T-TJCH8336-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM86,NOM20,22G1,19210,V-TIANJNS_033-110584,2A,27,2,1,V-TIANJNS_033,11,5,84,2
34,25-02-25 0055,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7502365,Y-TSCT-2A3005.5,2A3005.5,Y-TSCT-Q06,2AA30,R322,T-HBB8N190-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM96,NOM40,45G1,25849,V-TIANJNS_033-020584,2A,30,5,5,V-TIANJNS_033,2,5,84,2
35,25-02-25 0058,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU7140920,Y-TSCT-2A3005.4,2A3005.4,Y-TSCT-Q06,2AA30,R322,T-TJC97333-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM96,NOM40,45G1,24140,V-TIANJNS_033-020384,2A,30,5,4,V-TIANJNS_033,2,3,84,2
36,25-02-25 0106,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU6572506,Y-TSCT-2A3005.3,2A3005.3,Y-TSCT-Q06,2AA30,R322,T-HBB6637V-2 (TQ),TIANJNS_033,KRPUS,CNTSN,NOM96,NOM40,45G1,23860,V-TIANJNS_033-020084,2A,30,5,3,V-TIANJNS_033,2,0,84,2
