order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-21 0049,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU2020244,Y-TSCT-1A4108.4,1A4108.4,Y-TSCT-Q01,1AA41,R311,T-TJCK2785-3 (TQ),TIANS_0B1,JPNTA,CNTSN,NOM86,NOM20,22G1,11810,V-TIANS_0B1-250106,1A,41,8,4,V-TIANS_0B1,25,1,6,3
1,25-04-21 0054,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6422026,Y-TSCT-1A4108.2,1A4108.2,Y-TSCT-Q01,1AA41,R311,T-TJCK6661-2 (TQ),TIANS_0B1,JPNTA,CNTSN,NOM86,NOM20,22G1,6490,V-TIANS_0B1-250406,1A,41,8,2,V-TIANS_0B1,25,4,6,3
2,25-04-21 0056,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2226473,Y-TSCT-1A4108.1,1A4108.1,Y-TSCT-Q01,1AA41,R311,T-BJAUN689-2 (TQ),TIANS_0B1,JPNTA,CNTSN,NOM86,NOM20,22G1,3900,V-TIANS_0B1-270406,1A,41,8,1,V-TIANS_0B1,27,4,6,3
3,25-04-21 0114,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1051656,Y-TSCT-1A4110.5,1A4110.5,Y-TSCT-Q02,1AA41,R311,T-TJCJ2181-3 (TQ),TIANS_0B1,JPNAO,CNTSN,NOM86,NOM20,22G1,17000,V-TIANS_0B1-110302,1A,41,10,5,V-TIANS_0B1,11,3,2,3
4,25-04-21 0117,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2268007,Y-TSCT-1A4109.5,1A4109.5,Y-TSCT-Q02,1AA41,R311,T-TJCJ2219-3 (TQ),TIANS_0B1,JPNAO,CNTSN,NOM86,NOM20,22G1,17845,V-TIANS_0B1-110402,1A,41,9,5,V-TIANS_0B1,11,4,2,3
5,25-04-21 0131,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2943799,Y-TSCT-1A4110.4,1A4110.4,Y-TSCT-Q02,1AA41,R311,T-TJCK6879-3 (TQ),TIANS_0B1,JPNAO,CNTSN,NOM86,NOM20,22G1,17215,V-TIANS_0B1-110504,1A,41,10,4,V-TIANS_0B1,11,5,4,3
6,25-04-21 0137,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2597145,Y-TSCT-1A4110.3,1A4110.3,Y-TSCT-Q02,1AA41,R311,T-TJCK0125-2 (TQ),TIANS_0B1,JPNAO,CNTSN,NOM86,NOM20,22G1,17110,V-TIANS_0B1-090202,1A,41,10,3,V-TIANS_0B1,9,2,2,3
7,25-04-21 0139,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2512237,Y-TSCT-1A4109.3,1A4109.3,Y-TSCT-Q02,1AA41,R311,T-TJCK2761-2 (TQ),TIANS_0B1,JPNAO,CNTSN,NOM86,NOM20,22G1,17845,V-TIANS_0B1-110202,1A,41,9,3,V-TIANS_0B1,11,2,2,3
8,25-04-21 0141,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2424476,Y-TSCT-1A4111.1,1A4111.1,Y-TSCT-Q02,1AA41,R311,T-TJC75812-2 (TQ),TIANS_0B1,JPNAO,CNTSN,NOM86,NOM20,22G1,17720,V-TIANS_0B1-110604,1A,41,11,1,V-TIANS_0B1,11,6,4,3
9,25-04-21 0144,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU1889226,Y-TSCT-1A4110.2,1A4110.2,Y-TSCT-Q02,1AA41,R311,T-TJCK2729-3 (TQ),TIANS_0B1,JPNAO,CNTSN,NOM86,NOM20,22G1,17530,V-TIANS_0B1-090204,1A,41,10,2,V-TIANS_0B1,9,2,4,3
