order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-05 0202,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1207477,Y-TSCT-1B3105.5,1B3105.5,Y-TSCT-Q09,1BA31,R314,T-SDUP6708-2 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,29191,V-TUERQ_000-371106,1B,31,5,5,V-TUERQ_000,37,11,6,34
1,25-03-05 0204,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6731344,Y-TSCT-1B3105.4,1B3105.4,Y-TSCT-Q09,1BA31,R314,T-TJCE2717-3 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,28700,V-TUERQ_000-391106,1B,31,5,4,V-TUERQ_000,39,11,6,34
2,25-03-05 0212,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2157982,Y-TSCT-1B3104.5,1B3104.5,Y-TSCT-Q09,1BA31,R314,T-TJCE2698-2 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,29160,V-TUERQ_000-371708,1B,31,4,5,V-TUERQ_000,37,17,8,34
3,25-03-05 0214,UNIT_YARD_MOVE,LOAD,EXPRT,MSCU6791008,Y-TSCT-1B3104.4,1B3104.4,Y-TSCT-Q09,1BA31,R314,T-TJC97510-2 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,29340,V-TUERQ_000-391708,1B,31,4,4,V-TUERQ_000,39,17,8,34
4,25-03-05 0225,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU3975356,Y-TSCT-1B3105.3,1B3105.3,Y-TSCT-Q09,1BA31,R314,T-TJCK6067-2 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,28696,V-TUERQ_000-371308,1B,31,5,3,V-TUERQ_000,37,13,8,34
5,25-03-05 0227,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1770407,Y-TSCT-1B3105.2,1B3105.2,Y-TSCT-Q09,1BA31,R314,T-TJCK6088-2 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,28696,V-TUERQ_000-391308,1B,31,5,2,V-TUERQ_000,39,13,8,34
6,25-03-05 0306,UNIT_YARD_MOVE,LOAD,EXPRT,MSCU6322700,Y-TSCT-1B3104.3,1B3104.3,Y-TSCT-Q09,1BA31,R314,T-TJCB8627-2 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,27780,V-TUERQ_000-371112,1B,31,4,3,V-TUERQ_000,37,11,12,34
7,25-03-05 0308,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU3048739,Y-TSCT-1B3104.2,1B3104.2,Y-TSCT-Q09,1BA31,R314,T-TJC91066-2 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,28700,V-TUERQ_000-391112,1B,31,4,2,V-TUERQ_000,39,11,12,34
8,25-03-05 0326,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6704020,Y-TSCT-1B3105.1,1B3105.1,Y-TSCT-Q09,1BA31,R314,T-TJC91628-2 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,28720,V-TUERQ_000-371314,1B,31,5,1,V-TUERQ_000,37,13,14,34
9,25-03-05 0328,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5842199,Y-TSCT-1B3104.1,1B3104.1,Y-TSCT-Q09,1BA31,R314,T-BJAMC801-2 (TQ),TUERQ_000,KRPUS,CNTSN,NOM86,NOM20,22G1,28834,V-TUERQ_000-391314,1B,31,4,1,V-TUERQ_000,39,13,14,34
