order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-22 0649,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU4680108,Y-TSCT-1B0602.3,1B0602.3,Y-TSCT-Q10,1BA06,R314,T-HBAKV252-2 (TQ),WEIDLY4_001,EGSUZ,CNTSN,NOM96,NOM40,45G1,17840,V-WEIDLY4_001-240374,1B,6,2,3,V-WEIDLY4_001,24,3,74,22
1,25-04-22 0655,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU1963081,Y-TSCT-1B0602.2,1B0602.2,Y-TSCT-Q10,1BA06,R314,T-BJA47227F-2 (TQ),WEIDLY4_001,EGSUZ,CNTSN,NOM96,NOM40,45G1,18400,V-WEIDLY4_001-240474,1B,6,2,2,V-WEIDLY4_001,24,4,74,22
2,25-04-22 1659,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU7964982,Y-TSCT-1B0605.1,1B0605.1,Y-TSCT-Q12,1BA06,R314,T-TJCJ7896-2 (TQ),WEIDLY4_001,CIABJ,CNTSN,NOM96,NOM40,45G1,31434,V-WEIDLY4_001-120410,1B,6,5,1,V-WEIDLY4_001,12,4,10,22
3,25-04-22 1410,UNIT_YARD_MOVE,LOAD,EXPRT,FSCU4253731,Y-TSCT-1B1011.2,1B1011.2,Y-TSCT-Q11,1BA10,R314,T-TJC73392-2 (TQ),WEIDLY4_001,EGSUZ,CNTSN,NOM86,NOM40,42G1,22020,V-WEIDLY4_001-160016,1B,10,11,2,V-WEIDLY4_001,16,0,16,22
4,25-04-22 1416,UNIT_YARD_MOVE,LOAD,EXPRT,MSBU4503460,Y-TSCT-1B1011.1,1B1011.1,Y-TSCT-Q11,1BA10,R314,T-TJCE2698-2 (TQ),WEIDLY4_001,EGSUZ,CNTSN,NOM86,NOM40,42G1,27476,V-WEIDLY4_001-160216,1B,10,11,1,V-WEIDLY4_001,16,2,16,22
5,25-04-22 1855,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1550932,Y-TSCT-1B1906.3,1B1906.3,Y-TSCT-Q09,1BA19,R314,T-TJC85102-1 (TQ),WEIDLY4_001,EGSUZ,CNTSN,NOM86,NOM20,22G1,23369,V-WEIDLY4_001-350302,1B,19,6,3,V-WEIDLY4_001,35,3,2,22
6,25-04-22 1857,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3675220,Y-TSCT-1B1906.2,1B1906.2,Y-TSCT-Q09,1BA19,R314,T-TJC35803-2 (TQ),WEIDLY4_001,EGSUZ,CNTSN,NOM86,NOM20,22G1,29267,V-WEIDLY4_001-370302,1B,19,6,2,V-WEIDLY4_001,37,3,2,22
7,25-04-22 0029,UNIT_YARD_MOVE,LOAD,EXPRT,GLDU5293047,Y-TSCT-1B3502.4,1B3502.4,Y-TSCT-Q10,1BA35,R314,T-TJCM5530-2 (TQ),WEIDLY4_001,TGLFW,CNTSN,NOM86,NOM20,22G1,29629,V-WEIDLY4_001-250902,1B,35,2,4,V-WEIDLY4_001,25,9,2,22
8,25-04-22 0031,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU2760246,Y-TSCT-1B3502.3,1B3502.3,Y-TSCT-Q10,1BA35,R314,T-TJCK6775-2 (TQ),WEIDLY4_001,TGLFW,CNTSN,NOM86,NOM20,22G1,30260,V-WEIDLY4_001-251002,1B,35,2,3,V-WEIDLY4_001,25,10,2,22
9,25-04-22 0041,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3041930,Y-TSCT-1B3502.1,1B3502.1,Y-TSCT-Q10,1BA35,R314,T-JLF05387-3 (TQ),WEIDLY4_001,TGLFW,CNTSN,NOM86,NOM20,22G1,30475,V-WEIDLY4_001-251406,1B,35,2,1,V-WEIDLY4_001,25,14,6,22
