order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-29 1413,UNIT_YARD_MOVE,LOAD,EXPRT,JZPU2013047,Y-TSCT-1B2504.4,1B2504.4,Y-TSCT-Q11,1BA25,R314,T-TJCD3312-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM86,NOM20,22G1,22250,V-XIONGW_006-311102,1B,25,4,4,V-XIONGW_006,31,11,2,10
1,25-03-29 1419,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2375350,Y-TSCT-1B2504.3,1B2504.3,Y-TSCT-Q11,1BA25,R314,T-SHFB6188-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM86,NOM20,22G1,22250,V-XIONGW_006-311202,1B,25,4,3,V-XIONGW_006,31,12,2,10
2,25-03-29 1422,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3913260,Y-TSCT-1B2504.2,1B2504.2,Y-TSCT-Q11,1BA25,R314,T-TJCJ2800-3 (TQ),XIONGW_006,AEKLF,CNTSN,NOM86,NOM20,22G1,22170,V-XIONGW_006-311304,1B,25,4,2,V-XIONGW_006,31,13,4,10
3,25-03-29 1445,UNIT_YARD_MOVE,LOAD,EXPRT,TDRU2664124,Y-TSCT-1B2504.1,1B2504.1,Y-TSCT-Q11,1BA25,R313,T-TJCA2172-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM86,NOM20,22G1,22390,V-XIONGW_006-311404,1B,25,4,1,V-XIONGW_006,31,14,4,10
4,25-03-29 1607,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU4282112,Y-TSCT-1B3204.5,1B3204.5,Y-TSCT-Q10,1BA32,R314,T-TJCK6321-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,31020,V-XIONGW_006-420908,1B,32,4,5,V-XIONGW_006,42,9,8,10
5,25-03-29 1609,UNIT_YARD_MOVE,LOAD,EXPRT,SLVU4638909,Y-TSCT-1B3203.5,1B3203.5,Y-TSCT-Q10,1BA32,R314,T-TJCC9809-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,31560,V-XIONGW_006-420708,1B,32,3,5,V-XIONGW_006,42,7,8,10
6,25-03-29 1611,UNIT_YARD_MOVE,LOAD,EXPRT,HMCU9161367,Y-TSCT-1B3204.4,1B3204.4,Y-TSCT-Q10,1BA32,R314,T-TJCC6982-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,30898,V-XIONGW_006-420508,1B,32,4,4,V-XIONGW_006,42,5,8,10
7,25-03-29 1613,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6041678,Y-TSCT-1B3210.5,1B3210.5,Y-TSCT-Q10,1BA32,R314,T-TJC91559-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,32300,V-XIONGW_006-420608,1B,32,10,5,V-XIONGW_006,42,6,8,10
8,25-03-29 1617,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU8141679,Y-TSCT-1B3207.5,1B3207.5,Y-TSCT-Q10,1BA32,R314,T-TJCH1326-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,31840,V-XIONGW_006-420808,1B,32,7,5,V-XIONGW_006,42,8,8,10
9,25-03-29 1618,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6213015,Y-TSCT-1B3210.4,1B3210.4,Y-TSCT-Q10,1BA32,R314,T-HBJY3522-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,32500,V-XIONGW_006-421008,1B,32,10,4,V-XIONGW_006,42,10,8,10
10,25-03-29 1623,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU4639227,Y-TSCT-1B3203.4,1B3203.4,Y-TSCT-Q10,1BA32,R314,T-TJC91559-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,31700,V-XIONGW_006-420910,1B,32,3,4,V-XIONGW_006,42,9,10,10
11,25-03-29 1627,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU4870318,Y-TSCT-1B3202.1,1B3202.1,Y-TSCT-Q12,1BA32,R314,T-TJCH8535-2 (TQ),XIONGW_006,OMSOH,CNTSN,NOM96,NOM40,45G1,19269,V-XIONGW_006-140288,1B,32,2,1,V-XIONGW_006,14,2,88,10
12,25-03-29 1629,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6092660,Y-TSCT-1B3204.3,1B3204.3,Y-TSCT-Q10,1BA32,R314,T-TJCA5255-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,31420,V-XIONGW_006-420710,1B,32,4,3,V-XIONGW_006,42,7,10,10
13,25-03-29 1631,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6195400,Y-TSCT-1B3203.3,1B3203.3,Y-TSCT-Q10,1BA32,R314,T-TJCK6336-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,31700,V-XIONGW_006-420510,1B,32,3,3,V-XIONGW_006,42,5,10,10
14,25-03-29 1642,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6115940,Y-TSCT-1B3210.3,1B3210.3,Y-TSCT-Q10,1BA32,R314,T-TJC15759-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,31700,V-XIONGW_006-420610,1B,32,10,3,V-XIONGW_006,42,6,10,10
15,25-03-29 1646,UNIT_YARD_MOVE,LOAD,EXPRT,ESHU7269786,Y-TSCT-1B3210.2,1B3210.2,Y-TSCT-Q10,1BA32,R314,T-TJCK2087-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,29650,V-XIONGW_006-420810,1B,32,10,2,V-XIONGW_006,42,8,10,10
16,25-03-29 1649,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU4579597,Y-TSCT-1B3210.1,1B3210.1,Y-TSCT-Q10,1BA32,R314,T-TJC55919-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,30043,V-XIONGW_006-421010,1B,32,10,1,V-XIONGW_006,42,10,10,10
17,25-03-29 1652,UNIT_YARD_MOVE,LOAD,EXPRT,SLVU4758308,Y-TSCT-1B3204.2,1B3204.2,Y-TSCT-Q10,1BA32,R314,T-TJC68775-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,32390,V-XIONGW_006-420912,1B,32,4,2,V-XIONGW_006,42,9,12,10
18,25-03-29 1655,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6233407,Y-TSCT-1B3203.2,1B3203.2,Y-TSCT-Q10,1BA32,R314,T-TJC91559-2 (TQ),XIONGW_006,AEKLF,CNTSN,NOM96,NOM40,45G1,31700,V-XIONGW_006-420712,1B,32,3,2,V-XIONGW_006,42,7,12,10
