order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-11 1731,UNIT_YARD_MOVE,LOAD,EXPRT,SLVU4712360,Y-TSCT-2B4610.5,2B4610.5,Y-TSCT-Q12,2BA46,R324,T-TJCJ2517-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,31960,V-YAD2_001-301306,2B,46,10,5,V-YAD2_001,30,13,6,10
1,25-03-11 1732,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU6547468,Y-TSCT-2B4609.5,2B4609.5,Y-TSCT-Q12,2BA46,R324,T-TJC57891-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,31400,V-YAD2_001-301508,2B,46,9,5,V-YAD2_001,30,15,8,10
2,25-03-11 1734,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6209308,Y-TSCT-2B4611.4,2B4611.4,Y-TSCT-Q12,2BA46,R324,T-TJCA5036-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,32060,V-YAD2_001-301308,2B,46,11,4,V-YAD2_001,30,13,8,10
3,25-03-11 1743,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU4496872,Y-TSCT-2B4610.4,2B4610.4,Y-TSCT-Q12,2BA46,R324,T-TJC87026-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,29760,V-YAD2_001-301108,2B,46,10,4,V-YAD2_001,30,11,8,10
4,25-03-11 1746,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6041451,Y-TSCT-2B4609.4,2B4609.4,Y-TSCT-Q12,2BA46,R324,T-TJCF1000-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,32060,V-YAD2_001-300908,2B,46,9,4,V-YAD2_001,30,9,8,10
5,25-03-11 1748,UNIT_YARD_MOVE,LOAD,EXPRT,SLVU4701880,Y-TSCT-2B4606.5,2B4606.5,Y-TSCT-Q12,2BA46,R324,T-TJCK2698-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,32029,V-YAD2_001-301208,2B,46,6,5,V-YAD2_001,30,12,8,10
6,25-03-11 1750,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU4636260,Y-TSCT-2B4605.5,2B4605.5,Y-TSCT-Q12,2BA46,R324,T-TJCK2567-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,32098,V-YAD2_001-301408,2B,46,5,5,V-YAD2_001,30,14,8,10
7,25-03-11 1806,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU4641902,Y-TSCT-2B4607.5,2B4607.5,Y-TSCT-Q12,2BA46,R324,T-TJCB9988-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,30748,V-YAD2_001-301008,2B,46,7,5,V-YAD2_001,30,10,8,10
8,25-03-11 1814,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6053241,Y-TSCT-2B4603.5,2B4603.5,Y-TSCT-Q12,2BA46,R323,T-TJCK2050-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,31911,V-YAD2_001-301608,2B,46,3,5,V-YAD2_001,30,16,8,10
9,25-03-11 1824,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU6883800,Y-TSCT-2B4611.3,2B4611.3,Y-TSCT-Q12,2BA46,R324,T-TJCK6617-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,32160,V-YAD2_001-301510,2B,46,11,3,V-YAD2_001,30,15,10,10
10,25-03-11 1826,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU8009057,Y-TSCT-2B4610.3,2B4610.3,Y-TSCT-Q12,2BA46,R324,T-TJCB6118-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,29906,V-YAD2_001-301310,2B,46,10,3,V-YAD2_001,30,13,10,10
11,25-03-11 1828,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU4939141,Y-TSCT-2B4609.3,2B4609.3,Y-TSCT-Q12,2BA46,R324,T-TJCB8627-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,32060,V-YAD2_001-301110,2B,46,9,3,V-YAD2_001,30,11,10,10
12,25-03-11 1830,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU7960601,Y-TSCT-2B4611.2,2B4611.2,Y-TSCT-Q12,2BA46,R324,T-TJCA5036-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,32110,V-YAD2_001-300910,2B,46,11,2,V-YAD2_001,30,9,10,10
13,25-03-11 1837,UNIT_YARD_MOVE,LOAD,EXPRT,ESHU7263638,Y-TSCT-2B4607.4,2B4607.4,Y-TSCT-Q12,2BA46,R324,T-TJCG8908-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,31770,V-YAD2_001-301010,2B,46,7,4,V-YAD2_001,30,10,10,10
14,25-03-11 1842,UNIT_YARD_MOVE,LOAD,EXPRT,GESU6862774,Y-TSCT-2B4606.4,2B4606.4,Y-TSCT-Q12,2BA46,R324,T-TJC80288-2 (TQ),YAD2_001,AEJEA,CNTSN,NOM96,NOM40,45G1,32217,V-YAD2_001-301210,2B,46,6,4,V-YAD2_001,30,12,10,10
