order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-20 1930,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8449321,Y-TSCT-3A2608.5,3A2608.5,Y-TSCT-Q03,3AA26,R332,T-TJCK6806-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,32140,V-YIS3_002-100302,3A,26,8,5,V-YIS3_002,10,3,2,2
1,25-04-20 1932,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU6350314,Y-TSCT-3A2607.5,3A2607.5,Y-TSCT-Q03,3AA26,R332,T-TJCK6083-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,31350,V-YIS3_002-100102,3A,26,7,5,V-YIS3_002,10,1,2,2
2,25-04-20 1933,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8352774,Y-TSCT-3A2608.4,3A2608.4,Y-TSCT-Q03,3AA26,R332,T-TJCD3503-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,31700,V-YIS3_002-100202,3A,26,8,4,V-YIS3_002,10,2,2,2
3,25-04-20 1935,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8189203,Y-TSCT-3A2607.4,3A2607.4,Y-TSCT-Q03,3AA26,R332,T-TJC58667-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,30600,V-YIS3_002-100402,3A,26,7,4,V-YIS3_002,10,4,2,2
4,25-04-20 1937,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU9878329,Y-TSCT-3A2608.3,3A2608.3,Y-TSCT-Q03,3AA26,R332,T-TJCG1336-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,29100,V-YIS3_002-100304,3A,26,8,3,V-YIS3_002,10,3,4,2
5,25-04-20 1939,UNIT_YARD_MOVE,LOAD,EXPRT,UETU7120798,Y-TSCT-3A2607.3,3A2607.3,Y-TSCT-Q03,3AA26,R332,T-TJC55565-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,29100,V-YIS3_002-100104,3A,26,7,3,V-YIS3_002,10,1,4,2
6,25-04-20 1941,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8312426,Y-TSCT-3A2608.2,3A2608.2,Y-TSCT-Q03,3AA26,R332,T-TJCM1113-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,29170,V-YIS3_002-100204,3A,26,8,2,V-YIS3_002,10,2,4,2
7,25-04-20 1945,UNIT_YARD_MOVE,LOAD,EXPRT,UETU7185720,Y-TSCT-3A2607.1,3A2607.1,Y-TSCT-Q03,3AA26,R332,T-TJC91072-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,29100,V-YIS3_002-100306,3A,26,7,1,V-YIS3_002,10,3,6,2
8,25-04-20 1948,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU8276114,Y-TSCT-3A2608.1,3A2608.1,Y-TSCT-Q03,3AA26,R332,T-TJCM5077-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,29100,V-YIS3_002-100506,3A,26,8,1,V-YIS3_002,10,5,6,2
9,25-04-20 1950,UNIT_YARD_MOVE,LOAD,EXPRT,UETU5572839,Y-TSCT-3A2607.1,3A2607.1,Y-TSCT-Q03,3AA26,R332,T-TJCM5501-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,29100,V-YIS3_002-100404,3A,26,7,1,V-YIS3_002,10,4,4,2
10,25-04-20 1952,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8284495,Y-TSCT-3A2605.5,3A2605.5,Y-TSCT-Q03,3AA26,R332,T-TJCB6558-2 (TQ),YIS3_002,PHMNL,CNTSN,NOM96,NOM40,45G1,28420,V-YIS3_002-100106,3A,26,5,5,V-YIS3_002,10,1,6,2
