order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-19 0121,UNIT_YARD_MOVE,LOAD,EXPRT,GCXU5230539,Y-TSCT-1A4808.5,1A4808.5,Y-TSCT-Q04,1AA48,R311,T-TJC97622-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,31310,V-YONGFEI_00A-381386,1A,48,8,5,V-YONGFEI_00A,38,13,86,27
1,25-02-19 0130,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU1617802,Y-TSCT-1A4809.4,1A4809.4,Y-TSCT-Q04,1AA48,R311,T-TJCA6300-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,20915,V-YONGFEI_00A-381388,1A,48,9,4,V-YONGFEI_00A,38,13,88,27
2,25-02-19 0148,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU7115230,Y-TSCT-1A4809.2,1A4809.2,Y-TSCT-Q04,1AA48,R311,T-HBB3D256-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,22391,V-YONGFEI_00A-381390,1A,48,9,2,V-YONGFEI_00A,38,13,90,27
3,25-02-19 0218,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU5405127,Y-TSCT-1A4811.4,1A4811.4,Y-TSCT-Q04,1AA48,R311,T-TJCF1602-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,20915,V-YONGFEI_00A-381486,1A,48,11,4,V-YONGFEI_00A,38,14,86,27
4,25-02-19 0238,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU6350526,Y-TSCT-1A4808.5,1A4808.5,Y-TSCT-Q04,1AA48,R311,T-TJCF1609-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,20965,V-YONGFEI_00A-381488,1A,48,8,5,V-YONGFEI_00A,38,14,88,27
5,25-02-19 0253,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU7116853,Y-TSCT-1A4809.1,1A4809.1,Y-TSCT-Q04,1AA48,R311,T-HBB6F729-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,22396,V-YONGFEI_00A-381290,1A,48,9,1,V-YONGFEI_00A,38,12,90,27
6,25-02-19 0739,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU6335715,Y-TSCT-1A4810.5,1A4810.5,Y-TSCT-Q06,1AA48,R311,T-TJCK6082-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,28719,V-YONGFEI_00A-220386,1A,48,10,5,V-YONGFEI_00A,22,3,86,27
7,25-02-19 0741,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU4978614,Y-TSCT-1A4810.4,1A4810.4,Y-TSCT-Q06,1AA48,R311,T-TJCK2590-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,25837,V-YONGFEI_00A-220186,1A,48,10,4,V-YONGFEI_00A,22,1,86,27
8,25-02-19 0745,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU5777052,Y-TSCT-1A4810.3,1A4810.3,Y-TSCT-Q06,1AA48,R311,T-TJCC6839-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,25808,V-YONGFEI_00A-220086,1A,48,10,3,V-YONGFEI_00A,22,0,86,27
9,25-02-19 0746,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU7784804,Y-TSCT-1A4810.2,1A4810.2,Y-TSCT-Q06,1AA48,R311,T-TJCH1001-2 (TQ),YONGFEI_00A,PKKHI,CNTSN,NOM96,NOM40,45G1,26037,V-YONGFEI_00A-220286,1A,48,10,2,V-YONGFEI_00A,22,2,86,27
