order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-24 1331,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU9113874,Y-TSCT-1A5006.5,1A5006.5,Y-TSCT-Q02,1AA50,R311,T-TJCJ2008-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,32714,V-YONGL_014-300302,1A,50,6,5,V-YONGL_014,30,3,2,5
1,25-02-24 1336,UNIT_YARD_MOVE,LOAD,EXPRT,FSCU5955558,Y-TSCT-1A5005.5,1A5005.5,Y-TSCT-Q02,1AA50,R311,T-TJCK2577-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,31010,V-YONGL_014-300102,1A,50,5,5,V-YONGL_014,30,1,2,5
2,25-02-24 1338,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU9849770,Y-TSCT-1A5004.5,1A5004.5,Y-TSCT-Q02,1AA50,R311,T-TJC91788-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,22747,V-YONGL_014-300202,1A,50,4,5,V-YONGL_014,30,2,2,5
3,25-02-24 1343,UNIT_YARD_MOVE,LOAD,EXPRT,FSCU5939217,Y-TSCT-1A5006.4,1A5006.4,Y-TSCT-Q02,1AA50,R311,T-TJCD0767-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,33224,V-YONGL_014-300402,1A,50,6,4,V-YONGL_014,30,4,2,5
4,25-02-24 1349,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU9132236,Y-TSCT-1A5005.4,1A5005.4,Y-TSCT-Q02,1AA50,R311,T-TJCA5255-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,32842,V-YONGL_014-300602,1A,50,5,4,V-YONGL_014,30,6,2,5
5,25-02-24 1354,UNIT_YARD_MOVE,LOAD,EXPRT,OTPU6293294,Y-TSCT-1A5004.4,1A5004.4,Y-TSCT-Q02,1AA50,R311,T-TJCH1776-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,20800,V-YONGL_014-300802,1A,50,4,4,V-YONGL_014,30,8,2,5
6,25-02-24 1356,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU9344132,Y-TSCT-1A5003.4,1A5003.4,Y-TSCT-Q02,1AA50,R311,T-TJCA5255-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,29690,V-YONGL_014-301002,1A,50,3,4,V-YONGL_014,30,10,2,5
7,25-02-24 1400,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU9316787,Y-TSCT-1A5006.3,1A5006.3,Y-TSCT-Q02,1AA50,R311,T-TJCK6979-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,32779,V-YONGL_014-300304,1A,50,6,3,V-YONGL_014,30,3,4,5
8,25-02-24 1403,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU1102148,Y-TSCT-1A5005.3,1A5005.3,Y-TSCT-Q02,1AA50,R311,T-TJCG8261-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,29960,V-YONGL_014-300104,1A,50,5,3,V-YONGL_014,30,1,4,5
9,25-02-24 1404,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU9306425,Y-TSCT-1A5004.3,1A5004.3,Y-TSCT-Q02,1AA50,R311,T-TJC18980-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,22014,V-YONGL_014-300204,1A,50,4,3,V-YONGL_014,30,2,4,5
10,25-02-24 1406,UNIT_YARD_MOVE,LOAD,EXPRT,IKSU4004465,Y-TSCT-1A5003.3,1A5003.3,Y-TSCT-Q02,1AA50,R311,T-TJC79507-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,29520,V-YONGL_014-300404,1A,50,3,3,V-YONGL_014,30,4,4,5
11,25-02-24 1409,UNIT_YARD_MOVE,LOAD,EXPRT,KKFU6773984,Y-TSCT-1A5002.3,1A5002.3,Y-TSCT-Q02,1AA50,R311,T-TJCG1010-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,31732,V-YONGL_014-300604,1A,50,2,3,V-YONGL_014,30,6,4,5
12,25-02-24 1411,UNIT_YARD_MOVE,LOAD,EXPRT,FSCU5903404,Y-TSCT-1A5006.2,1A5006.2,Y-TSCT-Q02,1AA50,R311,T-TJAW1693-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,32672,V-YONGL_014-300804,1A,50,6,2,V-YONGL_014,30,8,4,5
13,25-02-24 1424,UNIT_YARD_MOVE,LOAD,EXPRT,FSCU5831808,Y-TSCT-1A5004.2,1A5004.2,Y-TSCT-Q02,1AA50,R311,T-TJC23160-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,20590,V-YONGL_014-300306,1A,50,4,2,V-YONGL_014,30,3,6,5
14,25-02-24 1427,UNIT_YARD_MOVE,LOAD,EXPRT,FSCU5939285,Y-TSCT-1A5003.2,1A5003.2,Y-TSCT-Q02,1AA50,R311,T-TJCK6933-2 (TQ),YONGL_014,KRPU2,CNTSN,NOM96,NOM40,45R1,29860,V-YONGL_014-300106,1A,50,3,2,V-YONGL_014,30,1,6,5
