order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-24 1639,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU3767030,Y-TSCT-1A1708.2,1A1708.2,Y-TSCT-Q02,1AA17,R312,T-TJCA2393-3 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,22022,V-YONGL_01C-330206,1A,17,8,2,V-YONGL_01C,33,2,6,3
1,25-04-24 1641,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2437961,Y-TSCT-1A1707.2,1A1707.2,Y-TSCT-Q02,1AA17,R312,T-TJCA0310-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,22002,V-YONGL_01C-350206,1A,17,7,2,V-YONGL_01C,35,2,6,3
2,25-04-24 1646,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2006642,Y-TSCT-1A1706.2,1A1706.2,Y-TSCT-Q02,1AA17,R312,T-TJCK2157-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,21972,V-YONGL_01C-330606,1A,17,6,2,V-YONGL_01C,33,6,6,3
3,25-04-24 1648,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1334281,Y-TSCT-1A1710.2,1A1710.2,Y-TSCT-Q02,1AA17,R312,T-TJCD3103-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,22002,V-YONGL_01C-350606,1A,17,10,2,V-YONGL_01C,35,6,6,3
4,25-04-24 1651,UNIT_YARD_MOVE,LOAD,EXPRT,NYKU3770365,Y-TSCT-1A1709.2,1A1709.2,Y-TSCT-Q02,1AA17,R312,T-TJCF1959-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,22022,V-YONGL_01C-331006,1A,17,9,2,V-YONGL_01C,33,10,6,3
5,25-04-24 1653,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU6665148,Y-TSCT-1A1711.2,1A1711.2,Y-TSCT-Q02,1AA17,R312,T-TJCA0310-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,21922,V-YONGL_01C-351006,1A,17,11,2,V-YONGL_01C,35,10,6,3
6,25-04-24 1655,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU2849376,Y-TSCT-1A1707.1,1A1707.1,Y-TSCT-Q02,1AA17,R312,T-TJCD3103-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,21972,V-YONGL_01C-330708,1A,17,7,1,V-YONGL_01C,33,7,8,20
7,25-04-24 1657,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5115800,Y-TSCT-1A1706.1,1A1706.1,Y-TSCT-Q02,1AA17,R312,T-TJCD3103-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,22022,V-YONGL_01C-350708,1A,17,6,1,V-YONGL_01C,35,7,8,20
8,25-04-24 1659,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU3212954,Y-TSCT-1A1711.1,1A1711.1,Y-TSCT-Q02,1AA17,R312,T-TJCF1959-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,22002,V-YONGL_01C-330308,1A,17,11,1,V-YONGL_01C,33,3,8,20
9,25-04-24 1701,UNIT_YARD_MOVE,LOAD,EXPRT,KKTU7739799,Y-TSCT-1A1710.1,1A1710.1,Y-TSCT-Q02,1AA17,R312,T-TJCK6238-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,22152,V-YONGL_01C-350308,1A,17,10,1,V-YONGL_01C,35,3,8,20
10,25-04-24 1706,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU7486000,Y-TSCT-1A1709.1,1A1709.1,Y-TSCT-Q02,1AA17,R312,T-TJCF1220-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,22052,V-YONGL_01C-330208,1A,17,9,1,V-YONGL_01C,33,2,8,20
11,25-04-24 1707,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2458199,Y-TSCT-1A1708.1,1A1708.1,Y-TSCT-Q02,1AA17,R312,T-TJCF1220-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,22002,V-YONGL_01C-350208,1A,17,8,1,V-YONGL_01C,35,2,8,20
12,25-04-24 1444,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2101299,Y-TSCT-1A5103.4,1A5103.4,Y-TSCT-Q05,1AA51,R311,T-TJC16382-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,26900,V-YONGL_01C-070304,1A,51,3,4,V-YONGL_01C,7,3,4,20
13,25-04-24 1446,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU4568210,Y-TSCT-1A5103.3,1A5103.3,Y-TSCT-Q05,1AA51,R311,T-TJC15167-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,26180,V-YONGL_01C-070404,1A,51,3,3,V-YONGL_01C,7,4,4,20
14,25-04-24 1448,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2655873,Y-TSCT-1A5103.2,1A5103.2,Y-TSCT-Q05,1AA51,R311,T-TJC70166-3 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,26750,V-YONGL_01C-070506,1A,51,3,2,V-YONGL_01C,7,5,6,3
15,25-04-24 1450,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU4547531,Y-TSCT-1A5103.1,1A5103.1,Y-TSCT-Q05,1AA51,R311,T-TJC08906-3 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,24841,V-YONGL_01C-070606,1A,51,3,1,V-YONGL_01C,7,6,6,20
16,25-04-24 1454,UNIT_YARD_MOVE,LOAD,EXPRT,NYKU3814490,Y-TSCT-1A5104.4,1A5104.4,Y-TSCT-Q05,1AA51,R311,T-TJC16715-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,29308,V-YONGL_01C-070810,1A,51,4,4,V-YONGL_01C,7,8,10,20
17,25-04-24 1646,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2656083,Y-TSCT-1A5109.3,1A5109.3,Y-TSCT-Q04,1AA51,R311,T-TJCK6862-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,16807,V-YONGL_01C-170708,1A,51,9,3,V-YONGL_01C,17,7,8,20
18,25-04-24 1648,UNIT_YARD_MOVE,LOAD,EXPRT,CICU7766210,Y-TSCT-1A5109.2,1A5109.2,Y-TSCT-Q04,1AA51,R311,T-TJCG1215-1 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,19060,V-YONGL_01C-190708,1A,51,9,2,V-YONGL_01C,19,7,8,3
19,25-04-24 1708,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2194540,Y-TSCT-1A5109.1,1A5109.1,Y-TSCT-Q04,1AA51,R311,T-TJCK6685-2 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,17137,V-YONGL_01C-171008,1A,51,9,1,V-YONGL_01C,17,10,8,20
20,25-04-24 1753,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2048910,Y-TSCT-1A5105.3,1A5105.3,Y-TSCT-Q05,1AA51,R311,T-TJCC8819-3 (TQ),YONGL_01C,KRPU2,CNTSN,NOM86,NOM20,22G1,19609,V-YONGL_01C-090504,1A,51,5,3,V-YONGL_01C,9,5,4,20
