order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-05-01 0345,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU4409890,Y-TSCT-2A4602.4,2A4602.4,Y-TSCT-Q02,2AA46,R322,T-TJCM5077-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,17876,V-YONGRUI_00C-501388,2A,46,2,4,V-YONGRUI_00C,50,13,88,3
1,25-05-01 0351,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU3221188,Y-TSCT-2A4610.4,2A4610.4,Y-TSCT-Q03,2AA46,R322,T-TJCJ2535-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,16398,V-YONGRUI_00C-380390,2A,46,10,4,V-YONGRUI_00C,38,3,90,3
2,25-05-01 0353,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU3151964,Y-TSCT-2A4610.3,2A4610.3,Y-TSCT-Q03,2AA46,R322,T-TJC56957-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,15250,V-YONGRUI_00C-380490,2A,46,10,3,V-YONGRUI_00C,38,4,90,3
3,25-05-01 0356,UNIT_YARD_MOVE,LOAD,EXPRT,SUDU8996904,Y-TSCT-2A4602.3,2A4602.3,Y-TSCT-Q02,2AA46,R322,T-TJCM5551-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,19604,V-YONGRUI_00C-501188,2A,46,2,3,V-YONGRUI_00C,50,11,88,3
4,25-05-01 0401,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU5238016,Y-TSCT-2A4601.1,2A4601.1,Y-TSCT-Q02,2AA46,R322,T-TJC67829-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,14133,V-YONGRUI_00C-501088,2A,46,1,1,V-YONGRUI_00C,50,10,88,3
5,25-05-01 0405,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU1162233,Y-TSCT-2A4602.2,2A4602.2,Y-TSCT-Q02,2AA46,R322,T-TJC85288-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,20620,V-YONGRUI_00C-501288,2A,46,2,2,V-YONGRUI_00C,50,12,88,3
6,25-05-01 0425,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU1813084,Y-TSCT-2A4602.1,2A4602.1,Y-TSCT-Q02,2AA46,R322,T-TJCF1995-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,15724,V-YONGRUI_00C-500790,2A,46,2,1,V-YONGRUI_00C,50,7,90,3
7,25-05-01 0458,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU6393133,Y-TSCT-2A4603.5,2A4603.5,Y-TSCT-Q02,2AA46,R322,T-TJCD3698-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,27236,V-YONGRUI_00C-540910,2A,46,3,5,V-YONGRUI_00C,54,9,10,3
8,25-05-01 0501,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU4360720,Y-TSCT-2A4603.4,2A4603.4,Y-TSCT-Q02,2AA46,R322,T-TJCB6105-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,29596,V-YONGRUI_00C-540710,2A,46,3,4,V-YONGRUI_00C,54,7,10,3
9,25-05-01 0505,UNIT_YARD_MOVE,LOAD,EXPRT,AXIU1658991,Y-TSCT-2A4603.3,2A4603.3,Y-TSCT-Q02,2AA46,R322,T-TJC97162-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,29516,V-YONGRUI_00C-540510,2A,46,3,3,V-YONGRUI_00C,54,5,10,3
10,25-05-01 0521,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU9009008,Y-TSCT-2A4603.2,2A4603.2,Y-TSCT-Q02,2AA46,R322,T-TJC19619-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,27076,V-YONGRUI_00C-540712,2A,46,3,2,V-YONGRUI_00C,54,7,12,3
11,25-05-01 0523,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU4897937,Y-TSCT-2A4603.1,2A4603.1,Y-TSCT-Q02,2AA46,R322,T-TJCB6575-2 (TQ),YONGRUI_00C,KRPUS,CNTSN,NOM96,NOM40,45G1,26894,V-YONGRUI_00C-540512,2A,46,3,1,V-YONGRUI_00C,54,5,12,3
