order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-05-04 2222,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1203895,Y-TSCT-1B1911.1,1B1911.1,Y-TSCT-Q12,1BA19,R314,T-TJA05252D-3 (TQ),ZHAOR_003,KRPUS,CNTSN,NOM86,NOM20,22G1,22300,V-ZHAOR_003-130382,1B,19,11,1,V-ZHAOR_003,13,3,82,3
1,25-05-04 2234,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1932639,Y-TSCT-1B5702.1,1B5702.1,Y-TSCT-Q12,1BA57,R313,T-TJA02361D-1 (TQ),ZHAOR_003,KRPUS,CNTSN,NOM86,NOM20,22G1,22300,V-ZHAOR_003-130682,1B,57,2,1,V-ZHAOR_003,13,6,82,3
2,25-05-04 2236,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2470643,Y-TSCT-1B5701.1,1B5701.1,Y-TSCT-Q12,1BA57,R313,T-TJA02361D-3 (TQ),ZHAOR_003,KRPUS,CNTSN,NOM86,NOM20,22G1,22300,V-ZHAOR_003-150682,1B,57,1,1,V-ZHAOR_003,15,6,82,3
3,25-05-04 1633,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9901657,Y-TSCT-1C6205.4,1C6205.4,Y-TSCT-Q12,1CA62,R315,T-TJCG7688-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,14000,V-ZHAOR_003-060002,1C,62,5,4,V-ZHAOR_003,6,0,2,0
4,25-05-04 1638,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU5191970,Y-TSCT-1C6205.3,1C6205.3,Y-TSCT-Q12,1CA62,R315,T-TJAU3610-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,13200,V-ZHAOR_003-060104,1C,62,5,3,V-ZHAOR_003,6,1,4,0
5,25-05-04 1640,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6524671,Y-TSCT-1C6205.2,1C6205.2,Y-TSCT-Q12,1CA62,R315,T-TJAU3726-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,13510,V-ZHAOR_003-060004,1C,62,5,2,V-ZHAOR_003,6,0,4,0
6,25-05-04 1644,UNIT_YARD_MOVE,LOAD,EXPRT,HALU5652907,Y-TSCT-1C6205.1,1C6205.1,Y-TSCT-Q12,1CA62,R315,T-TJCG7661-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,16966,V-ZHAOR_003-060204,1C,62,5,1,V-ZHAOR_003,6,2,4,0
7,25-05-04 1648,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU5414068,Y-TSCT-1C6204.5,1C6204.5,Y-TSCT-Q12,1CA62,R315,T-TJAU3552-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,11500,V-ZHAOR_003-060106,1C,62,4,5,V-ZHAOR_003,6,1,6,0
8,25-05-04 1654,UNIT_YARD_MOVE,LOAD,EXPRT,WBPU7076091,Y-TSCT-1C6204.4,1C6204.4,Y-TSCT-Q12,1CA62,R315,T-TJCC8023-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,10710,V-ZHAOR_003-060006,1C,62,4,4,V-ZHAOR_003,6,0,6,0
9,25-05-04 1658,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7753442,Y-TSCT-1C6204.3,1C6204.3,Y-TSCT-Q12,1CA62,R315,T-TJAU3781-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,11780,V-ZHAOR_003-060206,1C,62,4,3,V-ZHAOR_003,6,2,6,0
10,25-05-04 1702,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9104740,Y-TSCT-1C6204.2,1C6204.2,Y-TSCT-Q12,1CA62,R315,T-TJCG9980-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,11670,V-ZHAOR_003-060308,1C,62,4,2,V-ZHAOR_003,6,3,8,0
11,25-05-04 1704,UNIT_YARD_MOVE,LOAD,EXPRT,HALU5662530,Y-TSCT-1C6203.5,1C6203.5,Y-TSCT-Q12,1CA62,R315,T-TJAU3552-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,12980,V-ZHAOR_003-060108,1C,62,3,5,V-ZHAOR_003,6,1,8,0
12,25-05-04 1711,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6401806,Y-TSCT-1C6203.4,1C6203.4,Y-TSCT-Q12,1CA62,R315,T-TJAU3610-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,12690,V-ZHAOR_003-060008,1C,62,3,4,V-ZHAOR_003,6,0,8,0
13,25-05-04 1712,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU8563060,Y-TSCT-1C6203.3,1C6203.3,Y-TSCT-Q12,1CA62,R315,T-TJAU3726-2 (TQ),ZHAOR_003,KRKAN,CNTSN,NOM96,NOM40,45G1,12830,V-ZHAOR_003-060208,1C,62,3,3,V-ZHAOR_003,6,2,8,0
