order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-29 0411,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU1991447,Y-TSCT-1B2103.5,1B2103.5,Y-TSCT-Q09,1BA21,R314,T-TJCK6377-1 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,27518,V-ZHONGG_000-371006,1B,21,3,5,V-ZHONGG_000,37,10,6,87
1,25-04-29 0413,UNIT_YARD_MOVE,LOAD,EXPRT,CARU3669317,Y-TSCT-1B2103.4,1B2103.4,Y-TSCT-Q09,1BA21,R314,T-TJCG8261-1 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,28008,V-ZHONGG_000-391006,1B,21,3,4,V-ZHONGG_000,39,10,6,87
2,25-04-29 0416,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6318223,Y-TSCT-1B2103.3,1B2103.3,Y-TSCT-Q09,1BA21,R314,T-TJCK6806-2 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,28164,V-ZHONGG_000-370208,1B,21,3,3,V-ZHONGG_000,37,2,8,87
3,25-04-29 0418,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5634839,Y-TSCT-1B2103.2,1B2103.2,Y-TSCT-Q09,1BA21,R314,T-TJCK6321-1 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,27999,V-ZHONGG_000-390208,1B,21,3,2,V-ZHONGG_000,39,2,8,87
4,25-04-29 0435,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1494593,Y-TSCT-1B2103.1,1B2103.1,Y-TSCT-Q09,1BA21,R314,T-SHFQ7925-1 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,27984,V-ZHONGG_000-370608,1B,21,3,1,V-ZHONGG_000,37,6,8,87
5,25-04-29 0437,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5876410,Y-TSCT-1B2102.4,1B2102.4,Y-TSCT-Q09,1BA21,R314,T-TJCK6703-2 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,27558,V-ZHONGG_000-390608,1B,21,2,4,V-ZHONGG_000,39,6,8,87
6,25-04-29 0439,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3279560,Y-TSCT-1B2102.3,1B2102.3,Y-TSCT-Q09,1BA21,R314,T-TJCK0730-2 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,28104,V-ZHONGG_000-371008,1B,21,2,3,V-ZHONGG_000,37,10,8,87
7,25-04-29 0442,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU1029221,Y-TSCT-1B2102.2,1B2102.2,Y-TSCT-Q09,1BA21,R314,T-TJCK6083-2 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,27999,V-ZHONGG_000-391008,1B,21,2,2,V-ZHONGG_000,39,10,8,87
8,25-04-29 0445,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2769740,Y-TSCT-1B2102.1,1B2102.1,Y-TSCT-Q09,1BA21,R314,T-TJCK6336-2 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,28104,V-ZHONGG_000-370410,1B,21,2,1,V-ZHONGG_000,37,4,10,87
9,25-04-29 0447,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU2833511,Y-TSCT-1B2101.3,1B2101.3,Y-TSCT-Q09,1BA21,R314,T-HBE9937X-1 (TQ),ZHONGG_000,CIABJ,CNTSN,NOM86,NOM20,22G1,27364,V-ZHONGG_000-390410,1B,21,1,3,V-ZHONGG_000,39,4,10,87
