order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-18 2221,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0163603,Y-TSCT-2C3502.3,2C3502.3,Y-TSCT-Q09,2CA35,R326,T-TJCA5036-2 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19340,V-ZILL_013-090202,2C,35,2,3,V-ZILL_013,9,2,2,1
1,25-02-18 2223,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0184334,Y-TSCT-2C3502.2,2C3502.2,Y-TSCT-Q09,2CA35,R326,T-TJC91066-2 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19360,V-ZILL_013-090604,2C,35,2,2,V-ZILL_013,9,6,4,1
2,25-02-18 2225,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0703570,Y-TSCT-2C3502.1,2C3502.1,Y-TSCT-Q09,2CA35,R326,T-TJCC5176-2 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19340,V-ZILL_013-090806,2C,35,2,1,V-ZILL_013,9,8,6,1
3,25-02-18 2234,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0159558,Y-TSCT-2C3505.5,2C3505.5,Y-TSCT-Q09,2CA35,R326,T-TJCB0627-2 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19340,V-ZILL_013-070204,2C,35,5,5,V-ZILL_013,7,2,4,1
4,25-02-18 2236,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2176640,Y-TSCT-2C3504.5,2C3504.5,Y-TSCT-Q09,2CA35,R326,T-TJCB9578-3 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19370,V-ZILL_013-090204,2C,35,4,5,V-ZILL_013,9,2,4,1
5,25-02-18 2238,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1398518,Y-TSCT-2C3503.4,2C3503.4,Y-TSCT-Q09,2CA35,R326,T-BJAGQ538-2 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-ZILL_013-070404,2C,35,3,4,V-ZILL_013,7,4,4,1
6,25-02-18 2241,UNIT_YARD_MOVE,LOAD,EXPRT,NSDU2001795,Y-TSCT-2C3505.4,2C3505.4,Y-TSCT-Q09,2CA35,R326,T-BJAMC801-2 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19360,V-ZILL_013-070206,2C,35,5,4,V-ZILL_013,7,2,6,1
7,25-02-18 2243,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0160950,Y-TSCT-2C3504.4,2C3504.4,Y-TSCT-Q09,2CA35,R326,T-TJCA5939-2 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19340,V-ZILL_013-090206,2C,35,4,4,V-ZILL_013,9,2,6,1
8,25-02-18 2245,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1297514,Y-TSCT-2C3505.3,2C3505.3,Y-TSCT-Q09,2CA35,R326,T-TJCA7282-2 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-ZILL_013-070406,2C,35,5,3,V-ZILL_013,7,4,6,1
9,25-02-18 2247,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0100420,Y-TSCT-2C3504.3,2C3504.3,Y-TSCT-Q09,2CA35,R326,T-TJCE2717-2 (TQ),ZILL_013,JPONA,CNTSN,NOM86,NOM20,22G1,19240,V-ZILL_013-090406,2C,35,4,3,V-ZILL_013,9,4,6,1
