order,target,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,0,25-02-27 1353,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6885891,Y-TSCT-1A4710.5,1A4710.5,Y-TSCT-Q06,1AA47,R311,T-TJCK2261-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25848,V-AILK_009-170502,1A,47,10,5,V-AILK_009,17,5,2,18
1,1,25-02-27 1355,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU2902109,Y-TSCT-1A4709.5,1A4709.5,Y-TSCT-Q06,1AA47,R311,T-TJCA3600-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25828,V-AILK_009-190502,1A,47,9,5,V-AILK_009,19,5,2,18
2,2,25-02-27 1357,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6035178,Y-TSCT-1A4708.5,1A4708.5,Y-TSCT-Q06,1AA47,R311,T-TJCD1516-3 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25908,V-AILK_009-170102,1A,47,8,5,V-AILK_009,17,1,2,18
3,3,25-02-27 1358,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU1355275,Y-TSCT-1A4711.4,1A4711.4,Y-TSCT-Q06,1AA47,R311,T-TJC93198-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25728,V-AILK_009-190102,1A,47,11,4,V-AILK_009,19,1,2,18
4,4,25-02-27 1402,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688254,Y-TSCT-1A4704.5,1A4704.5,Y-TSCT-Q06,1AA47,R311,T-TJCC0681-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170802,1A,47,4,5,V-AILK_009,17,8,2,18
5,5,25-02-27 1404,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688629,Y-TSCT-1A4704.4,1A4704.4,Y-TSCT-Q06,1AA47,R311,T-TJCA8879-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190802,1A,47,4,4,V-AILK_009,19,8,2,18
6,6,25-02-27 1521,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU2215679,Y-TSCT-1A4710.4,1A4710.4,Y-TSCT-Q06,1AA47,R311,T-TJCA7553-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25728,V-AILK_009-170504,1A,47,10,4,V-AILK_009,17,5,4,18
7,7,25-02-27 1523,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU1932607,Y-TSCT-1A4709.4,1A4709.4,Y-TSCT-Q06,1AA47,R311,T-TJCA3611-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25728,V-AILK_009-190504,1A,47,9,4,V-AILK_009,19,5,4,18
8,8,25-02-27 1525,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU1595108,Y-TSCT-1A4708.4,1A4708.4,Y-TSCT-Q06,1AA47,R311,T-TJCA5255-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25808,V-AILK_009-170104,1A,47,8,4,V-AILK_009,17,1,4,18
9,9,25-02-27 1527,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU2232758,Y-TSCT-1A4711.3,1A4711.3,Y-TSCT-Q06,1AA47,R311,T-TJCH1877-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25728,V-AILK_009-190104,1A,47,11,3,V-AILK_009,19,1,4,18
