order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-19 1411,UNIT_YARD_MOVE,LOAD,EXPRT,CULU1943155,Y-TSCT-2A6910.5,2A6910.5,Y-TSCT-Q06,2AA69,R321,T-TJC02716-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29200,V-BOL_008-130302,2A,69,10,5,V-BOL_008,13,3,2,19
1,25-04-19 1413,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2113309,Y-TSCT-2A6909.5,2A6909.5,Y-TSCT-Q06,2AA69,R321,T-TJC19696-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-150302,2A,69,9,5,V-BOL_008,15,3,2,19
2,25-04-19 1415,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU3893059,Y-TSCT-2A6908.5,2A6908.5,Y-TSCT-Q06,2AA69,R321,T-HBJ6Q996-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-130202,2A,69,8,5,V-BOL_008,13,2,2,19
3,25-04-19 1416,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2039705,Y-TSCT-2A6907.5,2A6907.5,Y-TSCT-Q06,2AA69,R321,T-TJC21135-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29230,V-BOL_008-150202,2A,69,7,5,V-BOL_008,15,2,2,19
4,25-04-19 1422,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6971999,Y-TSCT-2A6906.5,2A6906.5,Y-TSCT-Q06,2AA69,R321,T-TJC21959-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-130504,2A,69,6,5,V-BOL_008,13,5,4,19
5,25-04-19 1424,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1096248,Y-TSCT-2A6905.5,2A6905.5,Y-TSCT-Q06,2AA69,R321,T-TJC62090-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-150504,2A,69,5,5,V-BOL_008,15,5,4,19
6,25-04-19 1426,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2029117,Y-TSCT-2A6904.5,2A6904.5,Y-TSCT-Q06,2AA69,R321,T-TJC21959-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-130104,2A,69,4,5,V-BOL_008,13,1,4,19
7,25-04-19 1428,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1156795,Y-TSCT-2A6903.5,2A6903.5,Y-TSCT-Q06,2AA69,R321,T-TJCK6116-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-150104,2A,69,3,5,V-BOL_008,15,1,4,19
8,25-04-19 1436,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2351483,Y-TSCT-2A6911.4,2A6911.4,Y-TSCT-Q06,2AA69,R321,T-TJC09251-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29150,V-BOL_008-130404,2A,69,11,4,V-BOL_008,13,4,4,19
9,25-04-19 1437,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6488126,Y-TSCT-2A6911.3,2A6911.3,Y-TSCT-Q06,2AA69,R321,T-HBJ6Q996-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29270,V-BOL_008-150404,2A,69,11,3,V-BOL_008,15,4,4,19
10,25-04-19 1441,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2143366,Y-TSCT-2A6910.4,2A6910.4,Y-TSCT-Q06,2AA69,R321,T-TJCM1971-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-130506,2A,69,10,4,V-BOL_008,13,5,6,19
11,25-04-19 1443,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU1380040,Y-TSCT-2A6910.3,2A6910.3,Y-TSCT-Q06,2AA69,R321,T-TJC05121-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29330,V-BOL_008-150506,2A,69,10,3,V-BOL_008,15,5,6,19
12,25-04-19 1445,UNIT_YARD_MOVE,LOAD,EXPRT,TRLU9369975,Y-TSCT-2A6909.4,2A6909.4,Y-TSCT-Q06,2AA69,R321,T-TJCB9869-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29350,V-BOL_008-130106,2A,69,9,4,V-BOL_008,13,1,6,19
13,25-04-19 1447,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1155715,Y-TSCT-2A6909.3,2A6909.3,Y-TSCT-Q06,2AA69,R321,T-TJC05121-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-150106,2A,69,9,3,V-BOL_008,15,1,6,19
14,25-04-19 1455,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3911139,Y-TSCT-2A6908.4,2A6908.4,Y-TSCT-Q06,2AA69,R321,T-TJC05121-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-130406,2A,69,8,4,V-BOL_008,13,4,6,19
15,25-04-19 1457,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1048700,Y-TSCT-2A6908.3,2A6908.3,Y-TSCT-Q06,2AA69,R321,T-TJC19696-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29220,V-BOL_008-150406,2A,69,8,3,V-BOL_008,15,4,6,19
16,25-04-19 1459,UNIT_YARD_MOVE,LOAD,EXPRT,TDRU2722663,Y-TSCT-2A6907.4,2A6907.4,Y-TSCT-Q06,2AA69,R321,T-TJC21959-2 (TQ),BOL_008,INPAV,CNTSN,NOM86,NOM20,22G1,29380,V-BOL_008-130708,2A,69,7,4,V-BOL_008,13,7,8,19
