order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-27 0056,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU2026120,Y-TSCT-1B1911.1,1B1911.1,Y-TSCT-Q11,1BA19,R314,T-TJA05252D-1 (TQ),CHANGD1_010,SGSIN,CNTSN,NOM86,NOM20,22G1,25639,V-CHANGD1_010-170182,1B,19,11,1,V-CHANGD1_010,17,1,82,4
1,25-04-26 1950,UNIT_YARD_MOVE,LOAD,EXPRT,UETU4115761,Y-TSCT-1B4201.1,1B4201.1,Y-TSCT-Q07,1BA42,R314,T-TJA05252D-2 (TQ),CHANGD1_010,SGSIN,CNTSN,NOM86,NOM40,42G1,22466,V-CHANGD1_010-620816,1B,42,1,1,V-CHANGD1_010,62,8,16,4
2,25-04-26 2344,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU3070446,Y-TSCT-1C1411.1,1C1411.1,Y-TSCT-Q12,1CA14,R316,T-TJCK6082-2 (TQ),CHANGD1_010,SGSIN,CNTSN,NOM86,NOM40,42G1,7846,V-CHANGD1_010-100618,1C,14,11,1,V-CHANGD1_010,10,6,18,20
3,25-04-26 1625,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU5460778,Y-TSCT-1C5208.5,1C5208.5,Y-TSCT-Q07,1CA52,R316,T-TJCK6816-2 (TQ),CHANGD1_010,INNSA,CNTSN,NOM96,NOM40,45G1,9720,V-CHANGD1_010-541310,1C,52,8,5,V-CHANGD1_010,54,13,10,7
4,25-04-26 1630,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU5498894,Y-TSCT-1C5202.3,1C5202.3,Y-TSCT-Q07,1CA52,R315,T-TJA21179D-2 (TQ),CHANGD1_010,INNSA,CNTSN,NOM96,NOM40,45G1,25620,V-CHANGD1_010-541110,1C,52,2,3,V-CHANGD1_010,54,11,10,7
5,25-04-26 1634,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU5189322,Y-TSCT-1C5204.3,1C5204.3,Y-TSCT-Q07,1CA52,R315,T-TJCG1662-2 (TQ),CHANGD1_010,INNSA,CNTSN,NOM96,NOM40,45G1,31374,V-CHANGD1_010-540910,1C,52,4,3,V-CHANGD1_010,54,9,10,7
6,25-04-26 1638,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU8030162,Y-TSCT-1C5207.5,1C5207.5,Y-TSCT-Q07,1CA52,R315,T-SHES6221-2 (TQ),CHANGD1_010,INNSA,CNTSN,NOM96,NOM40,45G1,14210,V-CHANGD1_010-541312,1C,52,7,5,V-CHANGD1_010,54,13,12,7
7,25-04-26 1646,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU8298007,Y-TSCT-1C5206.5,1C5206.5,Y-TSCT-Q07,1CA52,R315,T-TJCG1993-2 (TQ),CHANGD1_010,INNSA,CNTSN,NOM96,NOM40,45G1,9416,V-CHANGD1_010-541112,1C,52,6,5,V-CHANGD1_010,54,11,12,7
8,25-04-26 1651,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU1677223,Y-TSCT-1C5205.5,1C5205.5,Y-TSCT-Q07,1CA52,R315,T-TJCG1396-2 (TQ),CHANGD1_010,INNSA,CNTSN,NOM96,NOM40,45G1,10950,V-CHANGD1_010-540912,1C,52,5,5,V-CHANGD1_010,54,9,12,7
9,25-04-26 1652,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU8024365,Y-TSCT-1C5208.4,1C5208.4,Y-TSCT-Q07,1CA52,R315,T-TJCC3109-2 (TQ),CHANGD1_010,INNSA,CNTSN,NOM96,NOM40,45G1,8563,V-CHANGD1_010-541314,1C,52,8,4,V-CHANGD1_010,54,13,14,7
