order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-06 0430,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU6199052,Y-TSCT-1A1308.3,1A1308.3,Y-TSCT-Q03,1AA13,R312,T-TJCK6709-3 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,29520,V-CHANGD4_00C-490304,1A,13,8,3,V-CHANGD4_00C,49,3,4,6
1,25-03-06 0432,UNIT_YARD_MOVE,LOAD,EXPRT,EISU2352551,Y-TSCT-1A1308.2,1A1308.2,Y-TSCT-Q03,1AA13,R312,T-TJC91916-3 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,29520,V-CHANGD4_00C-510304,1A,13,8,2,V-CHANGD4_00C,51,3,4,6
2,25-03-06 0436,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU3453290,Y-TSCT-1A1308.1,1A1308.1,Y-TSCT-Q03,1AA13,R312,T-TJCG7127-3 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,29600,V-CHANGD4_00C-490306,1A,13,8,1,V-CHANGD4_00C,49,3,6,6
3,25-03-06 0438,UNIT_YARD_MOVE,LOAD,EXPRT,CSNU1668139,Y-TSCT-1A1309.4,1A1309.4,Y-TSCT-Q03,1AA13,R312,T-TJC79698-3 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,22425,V-CHANGD4_00C-510306,1A,13,9,4,V-CHANGD4_00C,51,3,6,6
4,25-03-06 0443,UNIT_YARD_MOVE,LOAD,EXPRT,CSNU1941069,Y-TSCT-1A1311.4,1A1311.4,Y-TSCT-Q03,1AA13,R312,T-TJC68932-2 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,22425,V-CHANGD4_00C-490308,1A,13,11,4,V-CHANGD4_00C,49,3,8,6
5,25-03-06 0445,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3766862,Y-TSCT-1A1311.3,1A1311.3,Y-TSCT-Q03,1AA13,R312,T-TJCB6118-2 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,22120,V-CHANGD4_00C-510308,1A,13,11,3,V-CHANGD4_00C,51,3,8,6
6,25-03-06 0502,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0601849,Y-TSCT-1A1311.2,1A1311.2,Y-TSCT-Q03,1AA13,R312,T-TJCA0697-2 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,22210,V-CHANGD4_00C-490310,1A,13,11,2,V-CHANGD4_00C,49,3,10,6
7,25-03-06 0504,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3552150,Y-TSCT-1A1311.1,1A1311.1,Y-TSCT-Q03,1AA13,R312,T-TJCD3732-2 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,22600,V-CHANGD4_00C-510310,1A,13,11,1,V-CHANGD4_00C,51,3,10,6
8,25-03-06 0512,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU6235186,Y-TSCT-1A1310.3,1A1310.3,Y-TSCT-Q03,1AA13,R312,T-TJCF1527-1 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,17626,V-CHANGD4_00C-490312,1A,13,10,3,V-CHANGD4_00C,49,3,12,6
9,25-03-06 0514,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU1563090,Y-TSCT-1A1309.3,1A1309.3,Y-TSCT-Q03,1AA13,R312,T-TJCX1870-2 (TQ),CHANGD4_00C,BEANR,CNTSN,NOM86,NOM20,22G1,17245,V-CHANGD4_00C-510312,1A,13,9,3,V-CHANGD4_00C,51,3,12,6
