order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-20 1202,UNIT_YARD_MOVE,LOAD,EXPRT,CSNU1326687,Y-TSCT-1A1309.5,1A1309.5,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-310392,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-010102,1A,13,9,5,V-CHANGH25_179,1,1,2,7
1,25-02-20 1321,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU1995520,Y-TSCT-1A1311.3,1A1311.3,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-210492,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-050302,1A,13,11,3,V-CHANGH25_179,5,3,2,7
2,25-02-20 1322,UNIT_YARD_MOVE,LOAD,EXPRT,MAGU2149235,Y-TSCT-1A1311.2,1A1311.2,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-090494,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-070302,1A,13,11,2,V-CHANGH25_179,7,3,2,7
3,25-02-20 1328,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU3032898,Y-TSCT-1A1308.5,1A1308.5,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-210492,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-050202,1A,13,8,5,V-CHANGH25_179,5,2,2,7
4,25-02-20 1330,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU2288628,Y-TSCT-1A1308.4,1A1308.4,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-210492,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-070202,1A,13,8,4,V-CHANGH25_179,7,2,2,7
5,25-02-20 1332,UNIT_YARD_MOVE,LOAD,EXPRT,CBHU4260245,Y-TSCT-1A1307.5,1A1307.5,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-050686,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-050504,1A,13,7,5,V-CHANGH25_179,5,5,4,7
6,25-02-20 1334,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU3810636,Y-TSCT-1A1307.4,1A1307.4,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-210492,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-070504,1A,13,7,4,V-CHANGH25_179,7,5,4,7
7,25-02-20 1343,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU1925163,Y-TSCT-1A1305.5,1A1305.5,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-170890,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-050104,1A,13,5,5,V-CHANGH25_179,5,1,4,7
8,25-02-20 1346,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU3474230,Y-TSCT-1A1305.4,1A1305.4,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-310486,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-070104,1A,13,5,4,V-CHANGH25_179,7,1,4,7
9,25-02-20 1354,UNIT_YARD_MOVE,LOAD,EXPRT,CSLU2218587,Y-TSCT-1A1304.5,1A1304.5,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-210492,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-050404,1A,13,4,5,V-CHANGH25_179,5,4,4,7
10,25-02-20 1356,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU2687490,Y-TSCT-1A1304.4,1A1304.4,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-310682,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-070404,1A,13,4,4,V-CHANGH25_179,7,4,4,7
11,25-02-20 1359,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5919356,Y-TSCT-1A1303.5,1A1303.5,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-210492,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-050506,1A,13,3,5,V-CHANGH25_179,5,5,6,7
12,25-02-20 1401,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2115642,Y-TSCT-1A1303.4,1A1303.4,Y-TSCT-Q02,1AA13,R312,V-HUAX178_389-210492,CHANGH25_179,CNJIN,CNTSN,NOM86,NOM20,22G1,2250,V-CHANGH25_179-070506,1A,13,3,4,V-CHANGH25_179,7,5,6,7
