order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-25 1855,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9034169,Y-TSCT-1C3009.4,1C3009.4,Y-TSCT-Q09,1CA30,R315,T-TJA25008D-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,14484,V-CHANGHP_000-180912,1C,30,9,4,V-CHANGHP_000,18,9,12,16
1,25-04-25 1857,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033305,Y-TSCT-1C3009.3,1C3009.3,Y-TSCT-Q09,1CA30,R315,T-TJCB6005-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,14464,V-CHANGHP_000-180712,1C,30,9,3,V-CHANGHP_000,18,7,12,16
2,25-04-25 1900,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033990,Y-TSCT-1C3009.2,1C3009.2,Y-TSCT-Q09,1CA30,R315,T-TJCB7290-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,14483,V-CHANGHP_000-180812,1C,30,9,2,V-CHANGHP_000,18,8,12,16
3,25-04-25 1906,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033898,Y-TSCT-1C3009.1,1C3009.1,Y-TSCT-Q09,1CA30,R316,T-TJCD0078-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,13451,V-CHANGHP_000-181012,1C,30,9,1,V-CHANGHP_000,18,10,12,16
4,25-04-25 2005,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9034019,Y-TSCT-1C3007.2,1C3007.2,Y-TSCT-Q07,1CA30,R316,T-TJCC6982-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,27375,V-CHANGHP_000-340912,1C,30,7,2,V-CHANGHP_000,34,9,12,16
5,25-04-25 2007,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033835,Y-TSCT-1C3007.1,1C3007.1,Y-TSCT-Q07,1CA30,R316,T-TJCC6982-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,29767,V-CHANGHP_000-341012,1C,30,7,1,V-CHANGHP_000,34,10,12,16
6,25-04-25 2121,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033223,Y-TSCT-1C3010.2,1C3010.2,Y-TSCT-Q09,1CA30,R315,T-TJCH8890-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,31180,V-CHANGHP_000-100208,1C,30,10,2,V-CHANGHP_000,10,2,8,16
7,25-04-25 2123,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033840,Y-TSCT-1C3011.2,1C3011.2,Y-TSCT-Q09,1CA30,R315,T-TJC97162-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,23819,V-CHANGHP_000-100210,1C,30,11,2,V-CHANGHP_000,10,2,10,16
8,25-04-25 2124,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033291,Y-TSCT-1C3010.1,1C3010.1,Y-TSCT-Q09,1CA30,R315,T-TJC18752-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,28853,V-CHANGHP_000-100312,1C,30,10,1,V-CHANGHP_000,10,3,12,16
9,25-04-25 2127,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033080,Y-TSCT-1C3011.1,1C3011.1,Y-TSCT-Q09,1CA30,R315,T-TJCK6307-2 (TQ),CHANGHP_000,AEJEA,CNTSN,NOM96,NOM40,45G1,20190,V-CHANGHP_000-100412,1C,30,11,1,V-CHANGHP_000,10,4,12,16
10,25-04-25 2132,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033049,Y-TSCT-1C3008.5,1C3008.5,Y-TSCT-Q09,1CA30,R315,T-TJC97996-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30872,V-CHANGHP_000-100504,1C,30,8,5,V-CHANGHP_000,10,5,4,18
11,25-04-25 2135,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033033,Y-TSCT-1C3008.4,1C3008.4,Y-TSCT-Q09,1CA30,R315,T-TJCG1596-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30872,V-CHANGHP_000-100506,1C,30,8,4,V-CHANGHP_000,10,5,6,18
12,25-04-25 2147,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9035416,Y-TSCT-1C3008.3,1C3008.3,Y-TSCT-Q09,1CA30,R316,T-TJCG1612-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30872,V-CHANGHP_000-100508,1C,30,8,3,V-CHANGHP_000,10,5,8,18
13,25-04-25 2154,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033096,Y-TSCT-1C3006.5,1C3006.5,Y-TSCT-Q09,1CA30,R316,T-SDUW6725-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30873,V-CHANGHP_000-100510,1C,30,6,5,V-CHANGHP_000,10,5,10,18
14,25-04-25 2156,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9034852,Y-TSCT-1C3008.2,1C3008.2,Y-TSCT-Q09,1CA30,R316,T-TJCC9707-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30872,V-CHANGHP_000-100912,1C,30,8,2,V-CHANGHP_000,10,9,12,18
15,25-04-25 2201,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9034997,Y-TSCT-1C3008.1,1C3008.1,Y-TSCT-Q09,1CA30,R316,T-TJCK6088-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30872,V-CHANGHP_000-100712,1C,30,8,1,V-CHANGHP_000,10,7,12,18
16,25-04-25 2210,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033157,Y-TSCT-1C3005.5,1C3005.5,Y-TSCT-Q09,1CA30,R316,T-TJCG1026-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30873,V-CHANGHP_000-101184,1C,30,5,5,V-CHANGHP_000,10,11,84,18
17,25-04-25 2320,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033115,Y-TSCT-1C3006.4,1C3006.4,Y-TSCT-Q09,1CA30,R316,T-TJCG1010-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30873,V-CHANGHP_000-101282,1C,30,6,4,V-CHANGHP_000,10,12,82,18
18,25-04-25 2323,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033408,Y-TSCT-1C3006.3,1C3006.3,Y-TSCT-Q09,1CA30,R316,T-TJCE2229-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30872,V-CHANGHP_000-101082,1C,30,6,3,V-CHANGHP_000,10,10,82,18
19,25-04-25 2325,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033938,Y-TSCT-1C3006.2,1C3006.2,Y-TSCT-Q09,1CA30,R316,T-TJCE2525-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30872,V-CHANGHP_000-100882,1C,30,6,2,V-CHANGHP_000,10,8,82,18
20,25-04-25 2329,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033624,Y-TSCT-1C3006.1,1C3006.1,Y-TSCT-Q09,1CA30,R316,T-TJCF1677-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,31092,V-CHANGHP_000-100884,1C,30,6,1,V-CHANGHP_000,10,8,84,18
21,25-04-25 2332,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9032973,Y-TSCT-1C3005.4,1C3005.4,Y-TSCT-Q09,1CA30,R316,T-TJCE2267-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30873,V-CHANGHP_000-101084,1C,30,5,4,V-CHANGHP_000,10,10,84,18
22,25-04-25 2337,UNIT_YARD_MOVE,LOAD,EXPRT,DPWU9033100,Y-TSCT-1C3005.3,1C3005.3,Y-TSCT-Q09,1CA30,R316,T-TJCG1138-2 (TQ),CHANGHP_000,EGSOK,CNTSN,NOM96,NOM40,45G1,30873,V-CHANGHP_000-101284,1C,30,5,3,V-CHANGHP_000,10,12,84,18
