order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-14 2109,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU4605790,Y-TSCT-1A4107.1,1A4107.1,Y-TSCT-Q02,1AA41,R311,T-TJCK2138-1 (TQ),CHANGJ7_016,INMUN,CNTSN,NOM86,NOM20,22U1,24310,V-CHANGJ7_016-330412,1A,41,7,1,V-CHANGJ7_016,33,4,12,13
1,25-04-14 2112,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU4608819,Y-TSCT-1A4104.2,1A4104.2,Y-TSCT-Q02,1AA41,R311,T-TJCK6219-3 (TQ),CHANGJ7_016,INMUN,CNTSN,NOM86,NOM20,22U1,24570,V-CHANGJ7_016-350412,1A,41,4,2,V-CHANGJ7_016,35,4,12,13
2,25-04-14 2141,UNIT_YARD_MOVE,LOAD,EXPRT,CRXU2461627,Y-TSCT-1A5506.5,1A5506.5,Y-TSCT-Q02,1AA55,R311,T-TJCG1298-2 (TQ),CHANGJ7_016,INNSA,CNTSN,NOM86,NOM20,22G1,28973,V-CHANGJ7_016-371102,1A,55,6,5,V-CHANGJ7_016,37,11,2,7
3,25-04-14 2143,UNIT_YARD_MOVE,LOAD,EXPRT,FYCU7235380,Y-TSCT-1A5505.5,1A5505.5,Y-TSCT-Q02,1AA55,R311,T-TJCK6933-3 (TQ),CHANGJ7_016,INNSA,CNTSN,NOM86,NOM20,22G1,29650,V-CHANGJ7_016-391102,1A,55,5,5,V-CHANGJ7_016,39,11,2,7
4,25-04-14 2148,UNIT_YARD_MOVE,LOAD,EXPRT,VSBU2017025,Y-TSCT-1A5506.4,1A5506.4,Y-TSCT-Q02,1AA55,R311,T-TJCG7992-2 (TQ),CHANGJ7_016,INNSA,CNTSN,NOM86,NOM20,22G1,26442,V-CHANGJ7_016-371304,1A,55,6,4,V-CHANGJ7_016,37,13,4,7
5,25-04-14 2150,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3670419,Y-TSCT-1A5505.4,1A5505.4,Y-TSCT-Q02,1AA55,R311,T-TJCG1177-2 (TQ),CHANGJ7_016,INNSA,CNTSN,NOM86,NOM20,22G1,29600,V-CHANGJ7_016-391304,1A,55,5,4,V-CHANGJ7_016,39,13,4,7
6,25-04-14 2153,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU2344904,Y-TSCT-1A5506.3,1A5506.3,Y-TSCT-Q02,1AA55,R311,T-TJCD3519-2 (TQ),CHANGJ7_016,INNSA,CNTSN,NOM86,NOM20,22G1,24140,V-CHANGJ7_016-370904,1A,55,6,3,V-CHANGJ7_016,37,9,4,7
7,25-04-14 2155,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU2572950,Y-TSCT-1A5505.3,1A5505.3,Y-TSCT-Q02,1AA55,R311,T-TJCG1168-2 (TQ),CHANGJ7_016,INNSA,CNTSN,NOM86,NOM20,22G1,29290,V-CHANGJ7_016-390904,1A,55,5,3,V-CHANGJ7_016,39,9,4,7
8,25-04-14 2200,UNIT_YARD_MOVE,LOAD,EXPRT,CRSU1538213,Y-TSCT-1A5506.2,1A5506.2,Y-TSCT-Q02,1AA55,R311,T-TJC85790-2 (TQ),CHANGJ7_016,INNSA,CNTSN,NOM86,NOM20,22G1,24290,V-CHANGJ7_016-371306,1A,55,6,2,V-CHANGJ7_016,37,13,6,7
9,25-04-14 2203,UNIT_YARD_MOVE,LOAD,EXPRT,DAHU2109216,Y-TSCT-1A5505.2,1A5505.2,Y-TSCT-Q02,1AA55,R311,T-TJCG1800-2 (TQ),CHANGJ7_016,INNSA,CNTSN,NOM86,NOM20,22G1,29200,V-CHANGJ7_016-391306,1A,55,5,2,V-CHANGJ7_016,39,13,6,7
